lineage,t_rel_s,gpu_busy_pct,concurrent_requests
agentix-serving,0.0,0.04,0
agentix-serving,1.0,39.22,0
agentix-serving,2.0,84.63,0
agentix-serving,3.0,85.55,0
agentix-serving,4.0,74.21,0
agentix-serving,5.0,0.01,0
agentix-serving,6.0,10.3,0
agentix-serving,7.0,8.42,0
agentix-serving,8.0,16.18,0
agentix-serving,9.0,37.06,0
agentix-serving,10.0,28.8,0
agentix-serving,11.0,8.31,0
agentix-serving,12.0,39.81,0
agentix-serving,13.0,37.05,0
agentix-serving,14.0,42.01,0
agentix-serving,15.0,3.18,0
agentix-serving,16.0,0.0,0
agentix-serving,17.0,12.18,0
agentix-serving,18.0,7.15,0
agentix-serving,19.0,10.84,0
agentix-serving,20.0,8.11,0
agentix-serving,21.0,14.48,0
agentix-serving,22.0,9.22,0
agentix-serving,23.0,8.52,0
agentix-serving,24.0,8.41,0
agentix-serving,25.0,9.91,0
agentix-serving,26.0,7.97,0
agentix-serving,27.0,9.99,0
agentix-serving,28.0,10.57,0
agentix-serving,29.0,8.76,0
agentix-serving,30.0,8.01,0
