lineage,t_rel_s,gpu_busy_pct,concurrent_requests
llama-agentix-core,0.0,22.81,0
llama-agentix-core,1.0,84.52,0
llama-agentix-core,2.0,87.13,0
llama-agentix-core,3.0,15.38,0
llama-agentix-core,4.0,0.0,0
llama-agentix-core,5.0,0.0,0
llama-agentix-core,6.0,0.0,0
llama-agentix-core,7.0,0.0,0
llama-agentix-core,8.0,0.0,0
llama-agentix-core,9.0,0.0,0
llama-agentix-core,10.0,0.0,0
llama-agentix-core,11.0,19.05,0
llama-agentix-core,12.0,4.27,0
llama-agentix-core,13.0,21.4,0
llama-agentix-core,14.0,4.82,0
llama-agentix-core,15.0,0.0,0
llama-agentix-core,16.0,0.0,0
llama-agentix-core,17.0,0.0,0
llama-agentix-core,18.0,18.43,0
llama-agentix-core,19.0,0.26,0
llama-agentix-core,20.0,9.01,0
llama-agentix-core,21.0,0.5,0
llama-agentix-core,22.0,0.0,0
llama-agentix-core,23.0,0.0,0
llama-agentix-core,24.0,0.0,0
llama-agentix-core,25.0,0.0,0
llama-agentix-core,26.0,45.4,0
llama-agentix-core,27.0,42.3,0
llama-agentix-core,28.0,16.28,0
llama-agentix-core,29.0,0.53,0
llama-agentix-core,30.0,11.97,0
llama-agentix-core,31.0,6.26,0
llama-agentix-core,32.0,6.92,0
llama-agentix-core,33.0,6.85,0
llama-agentix-core,34.0,6.82,0
llama-agentix-core,35.0,6.96,0
llama-agentix-core,36.0,6.84,0
llama-agentix-core,37.0,6.97,0
llama-agentix-core,38.0,7.36,0
llama-agentix-core,39.0,14.09,0
llama-agentix-core,40.0,7.1,0
llama-agentix-core,41.0,8.05,0
llama-agentix-core,42.0,7.63,0
llama-agentix-core,43.0,7.51,0
llama-agentix-core,44.0,7.93,0
llama-agentix-core,45.0,7.97,0
llama-agentix-core,46.0,7.11,0
llama-agentix-core,47.0,7.43,0
llama-agentix-core,48.0,9.23,0
llama-agentix-core,49.0,8.58,0
llama-agentix-core,50.0,8.05,0
llama-agentix-core,51.0,10.57,0
llama-agentix-core,52.0,13.29,0
llama-agentix-core,53.0,9.33,0
llama-agentix-core,54.0,8.82,0
llama-agentix-core,55.0,10.03,0
llama-agentix-core,56.0,8.14,0
llama-agentix-core,57.0,9.52,0
llama-agentix-core,58.0,11.09,0
llama-agentix-core,59.0,8.31,0
llama-agentix-core,60.0,13.89,0
llama-agentix-core,61.0,7.66,0
llama-agentix-core,62.0,10.78,0
llama-agentix-core,63.0,8.54,0
llama-agentix-core,64.0,8.38,0
llama-agentix-core,65.0,10.35,0
llama-agentix-core,66.0,10.94,0
llama-agentix-core,67.0,8.88,0
llama-agentix-core,68.0,8.58,0
llama-agentix-core,69.0,12.89,0
llama-agentix-core,70.0,9.42,0
llama-agentix-core,71.0,10.01,0
llama-agentix-core,72.0,8.95,0
llama-agentix-core,73.0,12.3,0
llama-agentix-core,74.0,9.68,0
llama-agentix-core,75.0,10.37,0
llama-agentix-core,76.0,10.21,0
llama-agentix-core,77.0,10.23,0
llama-agentix-core,78.0,9.83,0
llama-agentix-core,79.0,11.3,0
llama-agentix-core,80.0,10.12,0
llama-agentix-core,81.0,10.84,0
llama-agentix-core,82.0,8.2,0
llama-agentix-core,83.0,11.75,0
llama-agentix-core,84.0,10.4,0
llama-agentix-core,85.0,9.61,0
llama-agentix-core,86.0,11.63,0
llama-agentix-core,87.0,13.52,0
llama-agentix-core,88.0,9.98,0
llama-agentix-core,89.0,14.41,0
llama-agentix-core,90.0,9.22,0
llama-agentix-core,91.0,10.46,0
llama-agentix-core,92.0,9.23,0
llama-agentix-core,93.0,12.02,0
llama-agentix-core,94.0,8.5,0
llama-agentix-core,95.0,9.96,0
llama-agentix-core,96.0,10.3,0
llama-agentix-core,97.0,8.94,0
llama-agentix-core,98.0,12.07,0
llama-agentix-core,99.0,9.17,0
llama-agentix-core,100.0,11.64,0
llama-agentix-core,101.0,11.09,0
llama-agentix-core,102.0,9.83,0
llama-agentix-core,103.0,10.39,0
llama-agentix-core,104.0,8.92,0
llama-agentix-core,105.0,10.61,0
llama-agentix-core,106.0,8.55,0
llama-agentix-core,107.0,9.9,0
llama-agentix-core,108.0,10.96,0
llama-agentix-core,109.0,10.09,0
llama-agentix-core,110.0,7.33,0
llama-agentix-core,111.0,9.11,0
llama-agentix-core,112.0,9.28,0
llama-agentix-core,113.0,7.91,0
llama-agentix-core,114.0,9.56,0
llama-agentix-core,115.0,9.61,0
llama-agentix-core,116.0,8.6,0
llama-agentix-core,117.0,9.09,0
llama-agentix-core,118.0,8.3,0
llama-agentix-core,119.0,8.0,0
llama-agentix-core,120.0,9.37,0
llama-agentix-core,121.0,8.52,0
llama-agentix-core,122.0,8.02,0
llama-agentix-core,123.0,8.33,0
llama-agentix-core,124.0,8.55,0
llama-agentix-core,125.0,9.78,0
llama-agentix-core,126.0,8.68,0
llama-agentix-core,127.0,9.49,0
llama-agentix-core,128.0,8.16,0
llama-agentix-core,129.0,8.45,0
llama-agentix-core,130.0,8.38,0
llama-agentix-core,131.0,9.44,0
llama-agentix-core,132.0,8.24,0
llama-agentix-core,133.0,7.53,0
llama-agentix-core,134.0,9.36,0
llama-agentix-core,135.0,8.23,0
llama-agentix-core,136.0,7.83,0
llama-agentix-core,137.0,8.75,0
llama-agentix-core,138.0,7.93,0
llama-agentix-core,139.0,10.47,0
llama-agentix-core,140.0,8.66,0
llama-agentix-core,141.0,8.96,0
llama-agentix-core,142.0,8.78,0
llama-agentix-core,143.0,9.91,0
llama-agentix-core,144.0,6.9,0
llama-agentix-core,145.0,10.43,0
llama-agentix-core,146.0,6.7,0
llama-agentix-core,147.0,8.55,0
llama-agentix-core,148.0,7.93,0
llama-agentix-core,149.0,7.65,0
llama-agentix-core,150.0,8.48,0
llama-agentix-core,151.0,7.82,0
llama-agentix-core,152.0,9.81,0
llama-agentix-core,153.0,6.79,0
llama-agentix-core,154.0,7.79,0
llama-agentix-core,155.0,7.8,0
llama-agentix-core,156.0,7.41,0
llama-agentix-core,157.0,9.75,0
llama-agentix-core,158.0,6.56,0
llama-agentix-core,159.0,7.08,0
llama-agentix-core,160.0,8.44,0
llama-agentix-core,161.0,7.44,0
llama-agentix-core,162.0,7.51,0
llama-agentix-core,163.0,7.96,0
llama-agentix-core,164.0,7.79,0
llama-agentix-core,165.0,7.82,0
llama-agentix-core,166.0,8.35,0
llama-agentix-core,167.0,6.88,0
llama-agentix-core,168.0,6.76,0
llama-agentix-core,169.0,7.12,0
llama-agentix-core,170.0,6.81,0
llama-agentix-core,171.0,6.76,0
llama-agentix-core,172.0,6.82,0
llama-agentix-core,173.0,6.72,0
llama-agentix-core,174.0,6.89,0
llama-agentix-core,175.0,6.18,0
llama-agentix-core,176.0,6.76,0
llama-agentix-core,177.0,6.61,0
llama-agentix-core,178.0,6.93,0
llama-agentix-core,179.0,6.81,0
llama-agentix-core,180.0,6.84,0
llama-agentix-core,181.0,6.52,0
llama-agentix-core,182.0,6.82,0
llama-agentix-core,183.0,6.71,0
llama-agentix-core,184.0,6.89,0
llama-agentix-core,185.0,6.82,0
llama-agentix-core,186.0,6.87,0
llama-agentix-core,187.0,6.85,0
llama-agentix-core,188.0,6.79,0
llama-agentix-core,189.0,6.94,0
llama-agentix-core,190.0,6.95,0
llama-agentix-core,191.0,6.75,0
llama-agentix-core,192.0,6.92,0
llama-agentix-core,193.0,6.03,0
llama-agentix-core,194.0,6.89,0
llama-agentix-core,195.0,6.91,0
llama-agentix-core,196.0,7.14,0
