policy,program_id,class,call_index,submit_ns,first_token_ns,finish_ns,queue_wait_ns,decode_ns,call_ns,prompt_tokens,output_tokens
plas,p00001,chat,0,165806961388758,165807038415475,165808369472331,77026717,1331056856,1408083573,352,76
plas,p00004,lats,0,165807739125384,165807799312944,165808735247316,60187560,935934372,996121932,1007,52
plas,p00003,chat,0,165807338906839,165807392022415,165808968832892,53115576,1576810477,1629926053,594,88
plas,p00000,agent,0,165806222727847,165806328040315,165809155255164,105312468,2827214849,2932527317,988,159
plas,p00007,chat,0,165808597211798,165808665814342,165809420663769,68602544,754849427,823451971,577,43
plas,p00002,agent,0,165807004272493,165807043313175,165809553976749,39040682,2510663574,2549704256,774,140
plas,p00003,chat,1,165808968974902,165809027184730,165810002945435,58209828,975760705,1033970533,403,52
plas,p00000,agent,1,165809155423833,165809209286654,165810669163394,53862821,1459876740,1513739561,1192,77
plas,p00007,chat,1,165809420747512,165809484980143,165810802281898,64232631,1317301755,1381534386,540,69
plas,p00008,agent,0,165809101292473,165809155696264,165810820333259,54403791,1664636995,1719040786,622,88
plas,p00005,lats,0,165807823919778,165807870566709,165810973149511,46646931,3102582802,3149229733,440,166
plas,p00006,agent,0,165808211853918,165808281766128,165811232805619,69912210,2951039491,3020951701,1313,158
plas,p00004,lats,1,165808735393362,165808793365416,165811439960998,57972054,2646595582,2704567636,274,141
plas,p00011,chat,0,165810972928418,165811032697162,165811762997707,59768744,730300545,790069289,216,40
plas,p00012,chat,0,165811437141301,165811502385316,165812079590235,65244015,577204919,642448934,625,32
plas,p00003,chat,2,165810003085963,165810087374869,165812154389053,84288906,2067014184,2151303090,504,112
plas,p00009,agent,0,165810047751653,165810094685912,165812302459728,46934259,2207773816,2254708075,1821,119
plas,p00010,lats,0,165810114921639,165810168542756,165812302802602,53621117,2134259846,2187880963,440,115
plas,p00013,lats,0,165811605218488,165811653507338,165813029056518,48288850,1375549180,1423838030,525,75
plas,p00014,chat,0,165812028195268,165812079955964,165813090590705,51760696,1010634741,1062395437,414,55
plas,p00006,agent,1,165811232943827,165811296661530,165813777833810,63717703,2481172280,2544889983,1920,134
plas,p00010,lats,1,165812302865319,165812365172755,165813832401728,62307436,1467228973,1529536409,769,79
plas,p00012,chat,1,165812079711719,165812136602776,165814061318753,56891057,1924715977,1981607034,346,104
plas,p00015,lats,0,165812681404537,165812736067749,165814281727054,54663212,1545659305,1600322517,260,83
plas,p00002,agent,1,165809554109963,165809664742657,165814291949658,110632694,4627207001,4737839695,1976,248
plas,p00004,lats,2,165811440067500,165811502402023,165814356320010,62334523,2853917987,2916252510,335,153
plas,p00000,agent,2,165810669301664,165810730873868,165814506123958,61572204,3775250090,3836822294,939,202
plas,p00005,lats,1,165810973219013,165811032722547,165814620380510,59503534,3587657963,3647161497,283,192
plas,p00008,agent,1,165810820471060,165810884862878,165814988678854,64391818,4103815976,4168207794,2021,219
plas,p00014,chat,1,165813090724222,165813145986338,165815538736064,55262116,2392749726,2448011842,226,127
plas,p00015,lats,1,165814281852868,165814343454549,165815637188327,61601681,1293733778,1355335459,452,69
plas,p00010,lats,2,165813832549665,165813877666770,165815736526606,45117105,1858859836,1903976941,429,98
plas,p00020,chat,0,165814808928650,165814858877569,165815797211098,49948919,938333529,988282448,532,50
plas,p00017,agent,0,165814162477978,165814216348952,165815932175741,53870974,1715826789,1769697763,1614,90
plas,p00004,lats,3,165814356447445,165814415165539,165816107735996,58718094,1692570457,1751288551,828,89
plas,p00013,lats,1,165813029193552,165813090995210,165816396498985,61801658,3305503775,3367305433,591,174
plas,p00009,agent,1,165812302600038,165812365211279,165816531802663,62611241,4166591384,4229202625,528,220
plas,p00000,agent,3,165814506264137,165814566921202,165816592866294,60657065,2025945092,2086602157,1921,105
plas,p00016,agent,0,165813207532830,165813261698761,165816642821072,54165931,3381122311,3435288242,729,177
plas,p00020,chat,1,165815797351566,165815857371971,165816846947022,60020405,989575051,1049595456,307,51
plas,p00008,agent,2,165814988765895,165815052990058,165816929968132,64224163,1876978074,1941202237,1855,97
plas,p00010,lats,3,165815736662715,165815797638445,165817098556638,60975730,1300918193,1361893923,649,66
plas,p00005,lats,2,165814620525055,165814686052645,165817162377298,65527590,2476324653,2541852243,529,127
plas,p00015,lats,2,165815637319200,165815697862087,165817529461119,60542887,1831599032,1892141919,349,92
plas,p00020,chat,2,165816847089896,165816910717340,165817549509858,63627444,638792518,702419962,437,32
plas,p00002,agent,2,165814292062529,165814356748986,165817586120944,64686457,3229371958,3294058415,1564,164
plas,p00006,agent,2,165813777988541,165813840456954,165817791834152,62468413,3951377198,4013845611,832,202
plas,p00019,agent,0,165814296577844,165814356691504,165817792183714,60113660,3435492210,3495605870,536,175
plas,p00018,agent,0,165814230815279,165814292359830,165817858807048,61544551,3566447218,3627991769,856,181
plas,p00014,chat,2,165815538874182,165815599948111,165817920629061,61073929,2320680950,2381754879,495,116
plas,p00017,agent,1,165815932313861,165815995476713,165818019524156,63162852,2024047443,2087210295,1842,101
plas,p00004,lats,4,165816107875140,165816169004054,165818453424345,61128914,2284420291,2345549205,281,113
plas,p00010,lats,4,165817098695294,165817162827577,165818453883829,64132283,1291056252,1355188535,786,64
plas,p00009,agent,2,165816531942733,165816602333304,165818558583479,70390571,1956250175,2026640746,1857,96
plas,p00022,chat,0,165816790615856,165816847359761,165818726833122,56743905,1879473361,1936217266,541,92
plas,p00025,chat,0,165817291939571,165817349885672,165818958701684,57946101,1608816012,1666762113,221,79
