policy,program_id,class,call_index,submit_ns,first_token_ns,finish_ns,queue_wait_ns,decode_ns,call_ns,prompt_tokens,output_tokens
plas,p00001,chat,0,166924051680856,166924135037088,166925472077431,83356232,1337040343,1420396575,352,76
plas,p00004,lats,0,166924830251293,166924881906696,166925821049449,51655403,939142753,990798156,1007,52
plas,p00003,chat,0,166924430038547,166924490955366,166926071600577,60916819,1580645211,1641562030,594,88
plas,p00000,agent,0,166923312402568,166923431327936,166926273070781,118925368,2841742845,2960668213,988,159
plas,p00007,chat,0,166925688215632,166925751056580,166926508414881,62840948,757358301,820199249,577,43
plas,p00002,agent,0,166924094272772,166924140250409,166926655226993,45977637,2514976584,2560954221,774,140
plas,p00003,chat,1,166926071779820,166926128976173,166927108369421,57196353,979393248,1036589601,403,52
plas,p00000,agent,1,166926273227356,166926328784445,166927799530544,55557089,1470746099,1526303188,1192,77
plas,p00007,chat,1,166926508629455,166926567688151,166927894386882,59058696,1326698731,1385757427,540,69
plas,p00008,agent,0,166926190840306,166926239612685,166927913809276,48772379,1674196591,1722968970,622,88
plas,p00005,lats,0,166924914138394,166924970858778,166928083920442,56720384,3113061664,3169782048,440,166
plas,p00006,agent,0,166925303230650,166925384721414,166928352359059,81490764,2967637645,3049128409,1313,158
plas,p00004,lats,1,166925821264953,166925876593398,166928543952411,55328445,2667359013,2722687458,274,141
plas,p00011,chat,0,166928063706407,166928145474326,166928877694647,81767919,732220321,813988240,216,40
plas,p00012,chat,0,166928527592099,166928609977594,166929178784830,82385495,568807236,651192731,625,32
plas,p00003,chat,2,166927108550021,166927196354109,166929293615885,87804088,2097261776,2185065864,504,112
plas,p00010,lats,0,166927204885424,166927258992059,166929423227520,54106635,2164235461,2218342096,440,115
plas,p00009,agent,0,166927137219674,166927204712966,166929442882928,67493292,2238169962,2305663254,1821,119
plas,p00013,lats,0,166928695768660,166928748527518,166930148964715,52758858,1400437197,1453196055,525,75
plas,p00014,chat,0,166929117250684,166929179240396,166930208693563,61989712,1029453167,1091442879,414,55
plas,p00006,agent,1,166928352580934,166928415992025,166930940545910,63411091,2524553885,2587964976,1920,134
