lineage,t_rel_s,gpu_busy_pct,concurrent_requests
qwen3-agentix-core,0.0,24.09,0
qwen3-agentix-core,1.0,85.49,0
qwen3-agentix-core,2.0,35.47,0
qwen3-agentix-core,3.0,0.0,0
qwen3-agentix-core,4.0,0.0,0
qwen3-agentix-core,5.0,0.0,0
qwen3-agentix-core,6.0,0.0,0
qwen3-agentix-core,7.0,0.0,0
qwen3-agentix-core,8.0,0.0,0
qwen3-agentix-core,9.0,0.0,0
qwen3-agentix-core,10.0,0.0,0
qwen3-agentix-core,11.0,0.0,0
qwen3-agentix-core,12.0,30.71,0
qwen3-agentix-core,13.0,38.94,0
qwen3-agentix-core,14.0,0.0,0
qwen3-agentix-core,15.0,21.22,0
qwen3-agentix-core,16.0,0.02,0
qwen3-agentix-core,17.0,0.0,0
qwen3-agentix-core,18.0,0.0,0
qwen3-agentix-core,19.0,4.09,0
qwen3-agentix-core,20.0,0.37,0
qwen3-agentix-core,21.0,2.27,0
qwen3-agentix-core,22.0,1.83,0
qwen3-agentix-core,23.0,0.0,0
qwen3-agentix-core,24.0,0.0,0
qwen3-agentix-core,25.0,0.0,0
qwen3-agentix-core,26.0,0.0,0
qwen3-agentix-core,27.0,14.04,0
qwen3-agentix-core,28.0,11.45,0
qwen3-agentix-core,29.0,0.89,0
qwen3-agentix-core,30.0,4.07,0
qwen3-agentix-core,31.0,12.43,0
qwen3-agentix-core,32.0,12.87,0
qwen3-agentix-core,33.0,13.55,0
qwen3-agentix-core,34.0,13.04,0
qwen3-agentix-core,35.0,12.65,0
qwen3-agentix-core,36.0,13.51,0
qwen3-agentix-core,37.0,12.66,0
qwen3-agentix-core,38.0,12.59,0
qwen3-agentix-core,39.0,13.36,0
qwen3-agentix-core,40.0,13.78,0
qwen3-agentix-core,41.0,13.9,0
qwen3-agentix-core,42.0,13.38,0
qwen3-agentix-core,43.0,13.64,0
qwen3-agentix-core,44.0,12.96,0
qwen3-agentix-core,45.0,13.57,0
qwen3-agentix-core,46.0,10.75,0
qwen3-agentix-core,47.0,13.09,0
qwen3-agentix-core,48.0,13.36,0
qwen3-agentix-core,49.0,13.6,0
qwen3-agentix-core,50.0,13.95,0
qwen3-agentix-core,51.0,13.6,0
qwen3-agentix-core,52.0,14.83,0
qwen3-agentix-core,53.0,13.64,0
qwen3-agentix-core,54.0,13.89,0
qwen3-agentix-core,55.0,13.98,0
qwen3-agentix-core,56.0,13.76,0
qwen3-agentix-core,57.0,14.25,0
qwen3-agentix-core,58.0,13.79,0
qwen3-agentix-core,59.0,13.35,0
qwen3-agentix-core,60.0,14.2,0
qwen3-agentix-core,61.0,14.77,0
qwen3-agentix-core,62.0,14.87,0
qwen3-agentix-core,63.0,15.89,0
qwen3-agentix-core,64.0,13.68,0
qwen3-agentix-core,65.0,13.86,0
qwen3-agentix-core,66.0,14.32,0
qwen3-agentix-core,67.0,14.44,0
qwen3-agentix-core,68.0,14.72,0
qwen3-agentix-core,69.0,15.13,0
qwen3-agentix-core,70.0,14.99,0
qwen3-agentix-core,71.0,14.35,0
qwen3-agentix-core,72.0,14.22,0
qwen3-agentix-core,73.0,14.6,0
qwen3-agentix-core,74.0,15.34,0
qwen3-agentix-core,75.0,14.67,0
qwen3-agentix-core,76.0,14.26,0
qwen3-agentix-core,77.0,14.4,0
qwen3-agentix-core,78.0,14.58,0
qwen3-agentix-core,79.0,14.39,0
qwen3-agentix-core,80.0,14.22,0
qwen3-agentix-core,81.0,14.14,0
qwen3-agentix-core,82.0,14.68,0
qwen3-agentix-core,83.0,14.81,0
qwen3-agentix-core,84.0,14.15,0
qwen3-agentix-core,85.0,14.72,0
qwen3-agentix-core,86.0,14.01,0
qwen3-agentix-core,87.0,13.73,0
qwen3-agentix-core,88.0,14.53,0
qwen3-agentix-core,89.0,14.56,0
qwen3-agentix-core,90.0,14.09,0
qwen3-agentix-core,91.0,14.19,0
qwen3-agentix-core,92.0,14.53,0
qwen3-agentix-core,93.0,13.59,0
qwen3-agentix-core,94.0,13.35,0
qwen3-agentix-core,95.0,13.33,0
qwen3-agentix-core,96.0,13.57,0
qwen3-agentix-core,97.0,13.28,0
qwen3-agentix-core,98.0,13.48,0
qwen3-agentix-core,99.0,13.59,0
qwen3-agentix-core,100.0,13.43,0
qwen3-agentix-core,101.0,13.82,0
qwen3-agentix-core,102.0,12.91,0
qwen3-agentix-core,103.0,13.24,0
qwen3-agentix-core,104.0,13.57,0
qwen3-agentix-core,105.0,13.61,0
qwen3-agentix-core,106.0,13.35,0
qwen3-agentix-core,107.0,13.35,0
qwen3-agentix-core,108.0,11.14,0
qwen3-agentix-core,109.0,13.51,0
