lineage,t_rel_s,gpu_busy_pct,concurrent_requests
qwen3-serving,0.0,22.55,0
qwen3-serving,1.0,86.78,0
qwen3-serving,2.0,24.18,0
qwen3-serving,3.0,0.0,0
qwen3-serving,4.0,4.1,0
qwen3-serving,5.0,0.33,0
qwen3-serving,6.0,2.3,0
qwen3-serving,7.0,1.94,0
qwen3-serving,8.0,13.62,0
qwen3-serving,9.0,11.9,0
qwen3-serving,10.0,0.89,0
qwen3-serving,11.0,0.3,0
qwen3-serving,12.0,12.16,0
qwen3-serving,13.0,13.03,0
qwen3-serving,14.0,13.46,0
qwen3-serving,15.0,12.86,0
qwen3-serving,16.0,12.91,0
qwen3-serving,17.0,13.56,0
qwen3-serving,18.0,12.39,0
qwen3-serving,19.0,12.9,0
qwen3-serving,20.0,13.76,0
qwen3-serving,21.0,13.61,0
qwen3-serving,22.0,13.53,0
qwen3-serving,23.0,13.63,0
qwen3-serving,24.0,13.86,0
qwen3-serving,25.0,13.57,0
qwen3-serving,26.0,13.7,0
qwen3-serving,27.0,11.52,0
qwen3-serving,28.0,12.34,0
qwen3-serving,29.0,13.78,0
qwen3-serving,30.0,13.43,0
qwen3-serving,31.0,13.86,0
qwen3-serving,32.0,13.6,0
qwen3-serving,33.0,14.55,0
qwen3-serving,34.0,13.81,0
qwen3-serving,35.0,13.9,0
qwen3-serving,36.0,13.81,0
qwen3-serving,37.0,14.19,0
qwen3-serving,38.0,13.63,0
qwen3-serving,39.0,13.55,0
qwen3-serving,40.0,14.14,0
qwen3-serving,41.0,13.45,0
qwen3-serving,42.0,14.57,0
qwen3-serving,43.0,14.94,0
qwen3-serving,44.0,15.08,0
qwen3-serving,45.0,13.57,0
qwen3-serving,46.0,14.86,0
qwen3-serving,47.0,14.84,0
qwen3-serving,48.0,14.19,0
qwen3-serving,49.0,14.34,0
qwen3-serving,50.0,14.44,0
qwen3-serving,51.0,14.48,0
qwen3-serving,52.0,14.44,0
qwen3-serving,53.0,14.5,0
qwen3-serving,54.0,15.05,0
qwen3-serving,55.0,15.83,0
qwen3-serving,56.0,15.22,0
qwen3-serving,57.0,14.85,0
qwen3-serving,58.0,15.42,0
qwen3-serving,59.0,14.92,0
qwen3-serving,60.0,15.22,0
qwen3-serving,61.0,14.97,0
qwen3-serving,62.0,14.71,0
qwen3-serving,63.0,15.9,0
qwen3-serving,64.0,13.95,0
qwen3-serving,65.0,14.62,0
qwen3-serving,66.0,14.67,0
qwen3-serving,67.0,14.77,0
qwen3-serving,68.0,14.71,0
qwen3-serving,69.0,15.47,0
qwen3-serving,70.0,14.69,0
qwen3-serving,71.0,15.26,0
qwen3-serving,72.0,15.25,0
qwen3-serving,73.0,13.45,0
qwen3-serving,74.0,13.86,0
qwen3-serving,75.0,13.55,0
qwen3-serving,76.0,13.52,0
qwen3-serving,77.0,13.88,0
qwen3-serving,78.0,13.45,0
qwen3-serving,79.0,14.05,0
qwen3-serving,80.0,13.77,0
qwen3-serving,81.0,13.66,0
qwen3-serving,82.0,13.06,0
qwen3-serving,83.0,13.41,0
qwen3-serving,84.0,13.47,0
qwen3-serving,85.0,13.68,0
qwen3-serving,86.0,13.47,0
qwen3-serving,87.0,12.12,0
qwen3-serving,88.0,13.45,0
qwen3-serving,89.0,12.5,0
qwen3-serving,90.0,13.57,0
qwen3-serving,91.0,13.61,0
