policy,program_id,class,call_index,submit_ns,first_token_ns,finish_ns,queue_wait_ns,decode_ns,call_ns,prompt_tokens,output_tokens
plas,p00000,lats,0,37210014977175,37210084866273,37210305905549,69889098,221039276,290928374,356,37
plas,p00000,lats,4,37210015722240,37210088603860,37210323944781,72881620,235340921,308222541,512,40
plas,p00000,lats,3,37210015610864,37210088595060,37210363782121,72984196,275187061,348171257,508,48
plas,p00000,lats,2,37210015494546,37210088585656,37210394050409,73091110,305464753,378555863,265,54
plas,p00000,lats,1,37210015290510,37210084889156,37210545179051,69598646,460289895,529888541,258,88
plas,p00000,lats,5,37210636094436,37210660284693,37210818878087,24190257,158593394,182783651,337,28
plas,p00000,lats,8,37210753595790,37210774866017,37210953764074,21270227,178898057,200168284,516,36
plas,p00000,lats,7,37210729715206,37210753508206,37210973598251,23793000,220090045,243883045,480,43
plas,p00000,lats,6,37210627630430,37210656496801,37211300799247,28866371,644302446,673168817,643,124
plas,p00000,lats,9,37210656606275,37210686130424,37211305854653,29524149,619724229,649248378,551,121
plas,p00000,lats,14,37211325453537,37211366350089,37211529812611,40896552,163462522,204359074,475,32
plas,p00000,lats,11,37211332226558,37211368735962,37211652829422,36509404,284093460,320602864,253,54
plas,p00000,lats,10,37211444678060,37211467613475,37211733007098,22935415,265393623,288329038,719,53
plas,p00000,lats,12,37211413137133,37211436042357,37211827760334,22905224,391717977,414623201,227,77
plas,p00000,lats,13,37211587729620,37211615229980,37211928006176,27500360,312776196,340276556,436,66
plas,p00001,lats,3,37212072050706,37212107800130,37212456635332,35749424,348835202,384584626,381,59
plas,p00001,lats,1,37212071829072,37212107781166,37212484081622,35952094,376300456,412252550,227,64
plas,p00001,lats,0,37212071613776,37212107771116,37212544852442,36157340,437081326,473238666,456,75
plas,p00002,bfcl,0,37212369506353,37212412919350,37212550157682,43412997,137238332,180651329,1423,26
plas,p00000,lats,16,37212295452582,37212326214655,37212587322334,30762073,261107679,291869752,381,44
plas,p00000,lats,18,37212341149386,37212362400494,37212602496818,21251108,240096324,261347432,571,41
plas,p00001,lats,4,37212072143312,37212107809835,37212673293137,35666523,565483302,601149825,579,100
plas,p00000,lats,15,37212001966517,37212025093397,37212689657591,23126880,664564194,687691074,418,116
plas,p00002,bfcl,1,37212685865447,37212708832393,37212835553441,22966946,126721048,149687994,776,26
plas,p00000,lats,19,37212116525521,37212136894628,37212840339407,20369107,703444779,723813886,279,126
plas,p00001,lats,2,37212071955028,37212107791251,37212855308878,35836223,747517627,783353850,278,134
plas,p00000,lats,17,37211930557316,37211957797516,37212916760481,27240200,958962965,986203165,460,169
plas,p00003,bfcl,0,37212879145788,37212903470558,37213092345491,24324770,188874933,213199703,573,33
plas,p00002,bfcl,2,37213142923046,37213164213821,37213242179229,21290775,77965408,99256183,291,15
plas,p00000,lats,23,37212920321882,37212943619800,37213301605781,23297918,357985981,381283899,669,64
plas,p00001,lats,9,37213039397216,37213057971446,37213402564779,18574230,344593333,363167563,261,64
plas,p00002,bfcl,3,37213383573027,37213402686682,37213485662958,19113655,82976276,102089931,609,17
plas,p00000,lats,22,37213200180233,37213215704000,37213563862417,15523767,348158417,363682184,529,67
plas,p00000,lats,21,37213073109684,37213092506321,37213574106689,19396637,481600368,500997005,132,91
plas,p00001,lats,5,37213187651162,37213211150082,37213645718731,23498920,434568649,458067569,530,84
plas,p00000,lats,24,37213004035890,37213023716294,37213696444216,19680404,672727922,692408326,341,126
plas,p00000,lats,20,37213019821643,37213038215304,37213739484988,18393661,701269684,719663345,344,131
plas,p00001,lats,6,37212967835536,37212987420092,37213786546687,19584556,799126595,818711151,199,146
plas,p00001,lats,7,37212863977725,37212900453464,37213866711380,36475739,966257916,1002733655,398,176
plas,p00003,bfcl,1,37213703651956,37213726928500,37213996703246,23276544,269774746,293051290,349,49
plas,p00000,lats,26,37213776360008,37213804302211,37214007009312,27942203,202707101,230649304,305,39
plas,p00000,lats,25,37213781563900,37213804311276,37214007077348,22747376,202766072,225513448,275,39
plas,p00000,lats,27,37213766380764,37213801141330,37214124655955,34760566,323514625,358275191,837,63
plas,p00001,lats,8,37213783660299,37213804292207,37214157778761,20631908,353486554,374118462,244,67
plas,p00000,lats,28,37213910376570,37213931475627,37214198741303,21099057,267265676,288364733,418,49
plas,p00003,bfcl,2,37214124391842,37214149380257,37214250229379,24988415,100849122,125837537,658,18
plas,p00000,lats,29,37213801228591,37213822095957,37214410508841,20867366,588412884,609280250,457,108
plas,p00001,lats,10,37214173971775,37214198857638,37214464749574,24885863,265891936,290777799,174,47
plas,p00001,lats,14,37214246914515,37214271857837,37214489824213,24943322,217966376,242909698,742,39
plas,p00003,bfcl,3,37214296096744,37214319380287,37214547659930,23283543,228279643,251563186,935,42
plas,p00000,lats,30,37214424011923,37214462515183,37214730824786,38503260,268309603,306812863,307,45
plas,p00001,lats,13,37214305852529,37214323026435,37214769757909,17173906,446731474,463905380,273,75
plas,p00002,bfcl,4,37214543787693,37214577512085,37214792280969,33724392,214768884,248493276,601,37
plas,p00000,lats,33,37214438618520,37214464885856,37214831842035,26267336,366956179,393223515,245,62
plas,p00003,bfcl,4,37214687064654,37214723913083,37214831966965,36848429,108053882,144902311,543,21
plas,p00004,lats,1,37214592112817,37214618970679,37214853877698,26857862,234907019,261764881,530,41
plas,p00000,lats,34,37214433435479,37214464876879,37214859004460,31441400,394127581,425568981,436,67
plas,p00000,lats,31,37214425931572,37214462524606,37214923348652,36593034,460824046,497417080,420,80
plas,p00004,lats,2,37214592252715,37214618979590,37214928454917,26726875,309475327,336202202,765,55
plas,p00004,lats,4,37214592483653,37214618996655,37214939150851,26513002,320154196,346667198,193,57
plas,p00004,lats,0,37214591884751,37214618961243,37214954643460,27076492,335682217,362758709,263,60
plas,p00001,lats,12,37214161328151,37214197053383,37214975199026,35725232,778145643,813870875,906,136
plas,p00005,bfcl,0,37214700636031,37214727354403,37214990792309,26718372,263437906,290156278,1092,50
plas,p00003,bfcl,5,37214941395174,37214961094589,37215135256546,19699415,174161957,193861372,945,31
plas,p00000,lats,32,37214550106307,37214579815877,37215184334009,29709570,604518132,634227702,453,104
