lineage,t_rel_s,gpu_busy_pct,concurrent_requests
qwenvl-agentix-core,0.0,0.2,0
qwenvl-agentix-core,1.0,65.48,0
qwenvl-agentix-core,2.0,44.86,0
qwenvl-agentix-core,3.0,1.64,0
qwenvl-agentix-core,4.0,1.59,0
qwenvl-agentix-core,5.0,78.96,0
qwenvl-agentix-core,6.0,76.05,0
qwenvl-agentix-core,7.0,0.0,0
qwenvl-agentix-core,8.0,0.0,0
qwenvl-agentix-core,9.0,0.0,0
qwenvl-agentix-core,10.0,0.0,0
qwenvl-agentix-core,11.0,0.0,0
qwenvl-agentix-core,12.0,0.0,0
qwenvl-agentix-core,13.0,0.0,0
qwenvl-agentix-core,14.0,15.01,0
qwenvl-agentix-core,15.0,14.24,0
qwenvl-agentix-core,16.0,2.91,0
qwenvl-agentix-core,17.0,8.97,0
qwenvl-agentix-core,18.0,0.09,0
qwenvl-agentix-core,19.0,0.0,0
qwenvl-agentix-core,20.0,0.0,0
qwenvl-agentix-core,21.0,0.0,0
qwenvl-agentix-core,22.0,0.0,0
qwenvl-agentix-core,23.0,0.02,0
qwenvl-agentix-core,24.0,8.27,0
qwenvl-agentix-core,25.0,4.0,0
qwenvl-agentix-core,26.0,1.19,0
qwenvl-agentix-core,27.0,0.0,0
qwenvl-agentix-core,28.0,0.0,0
qwenvl-agentix-core,29.0,0.0,0
qwenvl-agentix-core,30.0,2.1,0
qwenvl-agentix-core,31.0,20.37,0
qwenvl-agentix-core,32.0,17.15,0
qwenvl-agentix-core,33.0,7.35,0
qwenvl-agentix-core,34.0,0.32,0
qwenvl-agentix-core,35.0,7.18,0
qwenvl-agentix-core,36.0,5.62,0
qwenvl-agentix-core,37.0,7.97,0
qwenvl-agentix-core,38.0,8.0,0
qwenvl-agentix-core,39.0,8.25,0
qwenvl-agentix-core,40.0,8.16,0
qwenvl-agentix-core,41.0,7.89,0
qwenvl-agentix-core,42.0,8.01,0
qwenvl-agentix-core,43.0,8.07,0
qwenvl-agentix-core,44.0,11.36,0
qwenvl-agentix-core,45.0,9.0,0
qwenvl-agentix-core,46.0,8.65,0
qwenvl-agentix-core,47.0,9.14,0
qwenvl-agentix-core,48.0,9.6,0
qwenvl-agentix-core,49.0,9.01,0
qwenvl-agentix-core,50.0,9.23,0
qwenvl-agentix-core,51.0,9.7,0
qwenvl-agentix-core,52.0,8.99,0
qwenvl-agentix-core,53.0,9.68,0
qwenvl-agentix-core,54.0,8.79,0
qwenvl-agentix-core,55.0,10.64,0
qwenvl-agentix-core,56.0,12.2,0
qwenvl-agentix-core,57.0,9.54,0
qwenvl-agentix-core,58.0,9.17,0
qwenvl-agentix-core,59.0,10.68,0
qwenvl-agentix-core,60.0,9.91,0
qwenvl-agentix-core,61.0,9.19,0
qwenvl-agentix-core,62.0,10.27,0
qwenvl-agentix-core,63.0,9.79,0
qwenvl-agentix-core,64.0,11.48,0
qwenvl-agentix-core,65.0,10.93,0
qwenvl-agentix-core,66.0,10.62,0
qwenvl-agentix-core,67.0,10.15,0
qwenvl-agentix-core,68.0,9.91,0
qwenvl-agentix-core,69.0,13.34,0
qwenvl-agentix-core,70.0,11.04,0
qwenvl-agentix-core,71.0,12.68,0
qwenvl-agentix-core,72.0,11.96,0
qwenvl-agentix-core,73.0,13.58,0
qwenvl-agentix-core,74.0,13.65,0
qwenvl-agentix-core,75.0,12.45,0
qwenvl-agentix-core,76.0,10.6,0
qwenvl-agentix-core,77.0,13.81,0
qwenvl-agentix-core,78.0,14.39,0
qwenvl-agentix-core,79.0,14.03,0
qwenvl-agentix-core,80.0,13.6,0
qwenvl-agentix-core,81.0,11.1,0
qwenvl-agentix-core,82.0,10.78,0
qwenvl-agentix-core,83.0,12.27,0
qwenvl-agentix-core,84.0,10.7,0
qwenvl-agentix-core,85.0,11.32,0
qwenvl-agentix-core,86.0,11.92,0
qwenvl-agentix-core,87.0,12.25,0
qwenvl-agentix-core,88.0,12.28,0
qwenvl-agentix-core,89.0,11.08,0
qwenvl-agentix-core,90.0,12.46,0
qwenvl-agentix-core,91.0,12.5,0
qwenvl-agentix-core,92.0,11.35,0
qwenvl-agentix-core,93.0,10.91,0
qwenvl-agentix-core,94.0,11.0,0
qwenvl-agentix-core,95.0,11.97,0
qwenvl-agentix-core,96.0,11.81,0
qwenvl-agentix-core,97.0,9.82,0
qwenvl-agentix-core,98.0,11.64,0
qwenvl-agentix-core,99.0,11.58,0
qwenvl-agentix-core,100.0,10.35,0
qwenvl-agentix-core,101.0,11.4,0
qwenvl-agentix-core,102.0,12.86,0
qwenvl-agentix-core,103.0,11.56,0
qwenvl-agentix-core,104.0,10.86,0
qwenvl-agentix-core,105.0,12.65,0
qwenvl-agentix-core,106.0,11.56,0
qwenvl-agentix-core,107.0,10.75,0
qwenvl-agentix-core,108.0,10.32,0
qwenvl-agentix-core,109.0,9.2,0
qwenvl-agentix-core,110.0,9.91,0
qwenvl-agentix-core,111.0,10.35,0
qwenvl-agentix-core,112.0,9.31,0
qwenvl-agentix-core,113.0,9.72,0
qwenvl-agentix-core,114.0,8.94,0
qwenvl-agentix-core,115.0,9.81,0
qwenvl-agentix-core,116.0,8.79,0
qwenvl-agentix-core,117.0,8.94,0
qwenvl-agentix-core,118.0,8.89,0
qwenvl-agentix-core,119.0,9.44,0
qwenvl-agentix-core,120.0,8.91,0
qwenvl-agentix-core,121.0,9.17,0
qwenvl-agentix-core,122.0,8.9,0
qwenvl-agentix-core,123.0,8.25,0
qwenvl-agentix-core,124.0,8.3,0
qwenvl-agentix-core,125.0,8.88,0
qwenvl-agentix-core,126.0,8.27,0
qwenvl-agentix-core,127.0,8.46,0
qwenvl-agentix-core,128.0,8.34,0
qwenvl-agentix-core,129.0,8.43,0
qwenvl-agentix-core,130.0,8.09,0
qwenvl-agentix-core,131.0,7.88,0
qwenvl-agentix-core,132.0,6.99,0
qwenvl-agentix-core,133.0,8.37,0
