lineage,t_rel_s,gpu_busy_pct,concurrent_requests
qwenvl-serving,0.0,0.01,0
qwenvl-serving,1.0,51.78,0
qwenvl-serving,2.0,46.27,0
qwenvl-serving,3.0,1.6,0
qwenvl-serving,4.0,1.29,0
qwenvl-serving,5.0,38.87,0
qwenvl-serving,6.0,99.96,0
qwenvl-serving,7.0,23.39,0
qwenvl-serving,8.0,2.04,0
qwenvl-serving,9.0,3.16,0
qwenvl-serving,10.0,8.97,0
qwenvl-serving,11.0,15.94,0
qwenvl-serving,12.0,16.28,0
qwenvl-serving,13.0,5.83,0
qwenvl-serving,14.0,0.31,0
qwenvl-serving,15.0,7.23,0
qwenvl-serving,16.0,7.3,0
qwenvl-serving,17.0,7.88,0
qwenvl-serving,18.0,8.13,0
qwenvl-serving,19.0,8.25,0
qwenvl-serving,20.0,7.82,0
qwenvl-serving,21.0,8.17,0
qwenvl-serving,22.0,7.83,0
qwenvl-serving,23.0,8.21,0
qwenvl-serving,24.0,11.35,0
qwenvl-serving,25.0,8.42,0
qwenvl-serving,26.0,8.91,0
qwenvl-serving,27.0,8.65,0
qwenvl-serving,28.0,9.51,0
qwenvl-serving,29.0,9.11,0
qwenvl-serving,30.0,9.29,0
qwenvl-serving,31.0,9.29,0
qwenvl-serving,32.0,8.96,0
qwenvl-serving,33.0,9.57,0
qwenvl-serving,34.0,9.38,0
qwenvl-serving,35.0,10.36,0
qwenvl-serving,36.0,11.7,0
qwenvl-serving,37.0,8.97,0
qwenvl-serving,38.0,8.81,0
qwenvl-serving,39.0,10.37,0
qwenvl-serving,40.0,9.48,0
qwenvl-serving,41.0,9.24,0
qwenvl-serving,42.0,9.58,0
qwenvl-serving,43.0,9.69,0
qwenvl-serving,44.0,11.59,0
qwenvl-serving,45.0,10.98,0
qwenvl-serving,46.0,10.1,0
qwenvl-serving,47.0,10.69,0
qwenvl-serving,48.0,10.48,0
qwenvl-serving,49.0,14.2,0
qwenvl-serving,50.0,10.57,0
qwenvl-serving,51.0,13.04,0
qwenvl-serving,52.0,11.84,0
qwenvl-serving,53.0,13.09,0
qwenvl-serving,54.0,13.25,0
qwenvl-serving,55.0,13.05,0
qwenvl-serving,56.0,11.98,0
qwenvl-serving,57.0,12.36,0
qwenvl-serving,58.0,13.59,0
qwenvl-serving,59.0,12.86,0
qwenvl-serving,60.0,11.58,0
qwenvl-serving,61.0,11.79,0
qwenvl-serving,62.0,11.55,0
qwenvl-serving,63.0,13.14,0
qwenvl-serving,64.0,12.4,0
qwenvl-serving,65.0,11.76,0
qwenvl-serving,66.0,12.09,0
qwenvl-serving,67.0,12.72,0
qwenvl-serving,68.0,11.43,0
qwenvl-serving,69.0,10.93,0
qwenvl-serving,70.0,13.0,0
qwenvl-serving,71.0,11.4,0
qwenvl-serving,72.0,10.81,0
qwenvl-serving,73.0,12.94,0
qwenvl-serving,74.0,11.88,0
qwenvl-serving,75.0,10.63,0
qwenvl-serving,76.0,11.62,0
qwenvl-serving,77.0,11.52,0
qwenvl-serving,78.0,11.04,0
qwenvl-serving,79.0,11.35,0
qwenvl-serving,80.0,11.3,0
qwenvl-serving,81.0,12.32,0
qwenvl-serving,82.0,11.65,0
qwenvl-serving,83.0,11.96,0
qwenvl-serving,84.0,11.85,0
qwenvl-serving,85.0,12.2,0
qwenvl-serving,86.0,11.51,0
qwenvl-serving,87.0,10.34,0
qwenvl-serving,88.0,9.82,0
qwenvl-serving,89.0,10.6,0
qwenvl-serving,90.0,9.32,0
qwenvl-serving,91.0,9.32,0
qwenvl-serving,92.0,10.23,0
qwenvl-serving,93.0,9.6,0
qwenvl-serving,94.0,9.53,0
qwenvl-serving,95.0,8.21,0
qwenvl-serving,96.0,9.25,0
qwenvl-serving,97.0,8.87,0
qwenvl-serving,98.0,9.67,0
qwenvl-serving,99.0,8.81,0
qwenvl-serving,100.0,9.11,0
qwenvl-serving,101.0,9.35,0
qwenvl-serving,102.0,9.01,0
qwenvl-serving,103.0,8.37,0
qwenvl-serving,104.0,8.8,0
qwenvl-serving,105.0,8.51,0
qwenvl-serving,106.0,8.29,0
qwenvl-serving,107.0,8.41,0
qwenvl-serving,108.0,8.37,0
qwenvl-serving,109.0,8.12,0
qwenvl-serving,110.0,7.91,0
qwenvl-serving,111.0,6.91,0
qwenvl-serving,112.0,8.26,0
qwenvl-serving,113.0,8.24,0
qwenvl-serving,114.0,7.99,0
qwenvl-serving,115.0,8.41,0
qwenvl-serving,116.0,8.22,0
