workload,phase,call_id,op_index,op_type,engine,instances,gpu_ns_mean,gpu_ns_median,gpu_ns_min,gpu_ns_max,gpu_ns_stdev,nvtx_cpu_ns_mean,nvtx_cpu_ns_median,nvtx_cpu_ns_min,nvtx_cpu_ns_max,kernels_per_instance,gpu_over_cpu_pct,kernel_families
planner_debate,measured,critic-a,6,RMSNormOp,ve,20,19391.8,19373.5,19100,19551,101.1,293070.9,284228.0,241844,472062,7,6.6,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,measured,critic-a,7,AddOp,ve,20,2036.5,2047.5,1920,2112,42.0,106028.9,103558.5,97695,123537,1,1.9,elementwise_binary
planner_debate,measured,critic-a,8,RMSNormOp,ve,20,19110.3,19131.0,18846,19231,83.3,248544.0,247497.5,214027,341258,7,7.7,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,measured,critic-a,10,LinearOp,me,20,19801.2,19836.5,19581,19901,99.4,140826.5,140014.5,117826,180306,1,14.1,gemm
planner_debate,measured,critic-a,11,LinearOp,me,20,19687.9,19676.5,19453,19933,131.3,104179.1,103092.5,95053,125104,1,18.9,gemm
planner_debate,measured,critic-a,12,LinearOp,me,20,19626.8,19645.0,19357,19773,103.4,104453.4,96861.5,91350,204638,1,18.8,gemm
planner_debate,measured,critic-a,13,ViewOp,de,20,0,0.0,0,0,0.0,75599.2,74416.0,67983,94600,0,0.0,
planner_debate,measured,critic-a,14,TransposeOp,de,20,12407.3,12350.0,12190,12925,197.3,128711.4,127606.0,115325,151214,1,9.6,copy
planner_debate,measured,critic-a,,call_overhead,,20,276008.6,283212.5,169411,525347,69162.5,,,,,2,,elementwise_binary|memcpy|rng_init
planner_debate,measured,critic-b,6,RMSNormOp,ve,20,20490.8,19389.0,19227,41530,4827.8,304424.6,293271.5,247310,481426,7,6.7,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,measured,critic-b,7,AddOp,ve,20,2039.8,2047.5,1983,2112,42.8,110750.3,104637.5,95823,184226,1,1.8,elementwise_binary
planner_debate,measured,critic-b,8,RMSNormOp,ve,20,19076.5,19085.0,18844,19196,92.1,260167.1,249845.5,207117,424758,7,7.3,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,measured,critic-b,10,LinearOp,me,20,19689.3,19724.5,19453,19805,97.6,152226,145627.0,122048,210264,1,12.9,gemm
planner_debate,measured,critic-b,11,LinearOp,me,20,19671.8,19660.5,19453,19901,109.5,110000.8,103293.5,96239,178089,1,17.9,gemm
planner_debate,measured,critic-b,12,LinearOp,me,20,19633.5,19660.5,19420,19805,126.1,104805.8,97183.5,94468,171956,1,18.7,gemm
planner_debate,measured,critic-b,13,ViewOp,de,20,0,0.0,0,0,0.0,101468.9,77590.0,67811,440153,0,0.0,
planner_debate,measured,critic-b,14,TransposeOp,de,20,12463.4,12446.0,12190,13117,222.3,137333.8,131606.5,120808,221822,1,9.1,copy
planner_debate,measured,critic-b,,call_overhead,,20,301898.3,319831.0,194686,327111,40527.8,,,,,2,,elementwise_binary|memcpy|rng_init
planner_debate,measured,critic-merge,6,RMSNormOp,ve,20,19381.0,19390.0,19290,19518,67.4,306227.8,304871.0,238826,383583,7,6.3,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,measured,critic-merge,7,AddOp,ve,20,2041.2,2048.0,1983,2112,38.6,108526.5,105360.5,95468,136746,1,1.9,elementwise_binary
planner_debate,measured,critic-merge,8,RMSNormOp,ve,20,19137.9,19149.0,18941,19294,83.5,244430.4,242069.0,212344,291704,7,7.8,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,measured,critic-merge,10,LinearOp,me,20,29940.3,19820.5,19549,222777,44239.9,160730.4,149934.0,117992,340985,1,18.6,gemm
planner_debate,measured,critic-merge,11,LinearOp,me,20,19663.7,19676.5,19453,19868,97.1,108604.1,103760.0,96442,138657,1,18.1,gemm
planner_debate,measured,critic-merge,12,LinearOp,me,20,19647.8,19676.0,19452,19837,103.1,108975.2,98807.0,91635,219127,1,18.0,gemm
planner_debate,measured,critic-merge,13,ViewOp,de,20,0,0.0,0,0,0.0,77466.9,76091.5,68876,94159,0,0.0,
planner_debate,measured,critic-merge,14,TransposeOp,de,20,12376.8,12381.5,12190,12733,116.3,132365,130796.0,113704,153015,1,9.4,copy
planner_debate,measured,critic-merge,,call_overhead,,20,305596.8,320039.0,199067,324871,35751.6,,,,,2,,elementwise_binary|memcpy|rng_init
planner_debate,measured,planner-final,6,RMSNormOp,ve,20,18918.4,17756.0,17566,34361,3834.3,310210.8,296318.5,268349,447571,7,6.1,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,measured,planner-final,7,AddOp,ve,20,2698.7,1696.0,1664,21437,4299.0,113560.4,105603.5,100659,177481,1,2.4,elementwise_binary
planner_debate,measured,planner-final,8,RMSNormOp,ve,20,17432.5,17485.5,17181,17566,123.0,260710.8,249216.5,225676,368951,7,6.7,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,measured,planner-final,10,LinearOp,me,20,14568.4,14557.0,14493,14622,38.3,153179.6,146806.5,120413,214448,1,9.5,gemm
planner_debate,measured,planner-final,11,LinearOp,me,20,14602.2,14590.0,14525,14686,40.9,108665.9,102235.0,96418,165297,1,13.4,gemm
planner_debate,measured,planner-final,12,LinearOp,me,20,21513,14525.5,14493,154213,30443.5,118916.4,96435.0,92792,252288,1,18.1,gemm
planner_debate,measured,planner-final,13,ViewOp,de,20,0,0.0,0,0,0.0,87989.9,76493.5,69165,197308,0,0.0,
planner_debate,measured,planner-final,14,TransposeOp,de,20,12124.1,12094.0,12062,12286,64.3,135447.5,130044.5,113687,185561,1,9.0,copy
planner_debate,measured,planner-final,,call_overhead,,20,390961.0,408376.0,257202,412055,45863.6,,,,,2,,elementwise_binary|memcpy|rng_init
planner_debate,measured,planner-seed,6,RMSNormOp,ve,20,17729.5,17757.0,17532,17854,88.4,300224.8,294448.0,239919,398746,7,5.9,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,measured,planner-seed,7,AddOp,ve,20,3260.2,1696.0,1663,32794,6775.6,114998.4,105936.0,96446,163350,1,2.8,elementwise_binary
planner_debate,measured,planner-seed,8,RMSNormOp,ve,20,23074.5,17437.0,17116,131657,24911.0,255813.3,243180.0,215552,443978,7,9.0,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,measured,planner-seed,10,LinearOp,me,20,14557.5,14557.5,14493,14621,32.0,146900,142578.5,125344,218962,1,9.9,gemm
planner_debate,measured,planner-seed,11,LinearOp,me,20,14599,14590.0,14526,14654,33.7,112750.1,102868.5,95069,160092,1,12.9,gemm
planner_debate,measured,planner-seed,12,LinearOp,me,20,14528.6,14525.0,14493,14590,33.5,108813.9,98823.0,92259,174724,1,13.4,gemm
planner_debate,measured,planner-seed,13,ViewOp,de,20,0,0.0,0,0,0.0,76138.6,75183.0,69365,91817,0,0.0,
planner_debate,measured,planner-seed,14,TransposeOp,de,20,12124.2,12126.0,12061,12222,50.1,137645.4,129544.5,113523,216479,1,8.8,copy
planner_debate,measured,planner-seed,,call_overhead,,20,115456.1,123738.5,76082,126122,17120.9,,,,,2,,elementwise_binary|memcpy|rng_init
planner_debate,warmup,critic-a,6,RMSNormOp,ve,5,19484,19357,19324,19994,255.8,414762.2,314460,308229,773675,7,4.7,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,warmup,critic-a,7,AddOp,ve,5,2040.8,2047,1984,2079,31.0,113347,107320,104358,126123,1,1.8,elementwise_binary
planner_debate,warmup,critic-a,8,RMSNormOp,ve,5,19176.8,19198,19067,19229,59.9,246793.2,237014,229657,291797,7,7.8,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,warmup,critic-a,10,LinearOp,me,5,19785.4,19804,19581,19933,129.0,207131,170376,142948,396049,1,9.6,gemm
planner_debate,warmup,critic-a,11,LinearOp,me,5,30471.4,19709,19453,73619,21574.3,121396.2,109689,102166,152333,1,25.1,gemm
planner_debate,warmup,critic-a,12,LinearOp,me,5,19599.8,19644,19484,19709,96.4,101399.8,98546,94466,116980,1,19.3,gemm
planner_debate,warmup,critic-a,13,ViewOp,de,5,0,0,0,0,0.0,82485.2,79078,74926,96322,0,0.0,
planner_debate,warmup,critic-a,14,TransposeOp,de,5,12330.4,12349,12254,12382,52.1,150104.2,148342,133564,171548,1,8.2,copy
planner_debate,warmup,critic-a,,call_overhead,,5,279015.6,279855,272302,282509,3554.8,,,,,2,,elementwise_binary|memcpy|rng_init
planner_debate,warmup,critic-b,6,RMSNormOp,ve,5,19350.6,19355,19229,19516,101.4,319324.2,309701,295299,350921,7,6.1,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,warmup,critic-b,7,AddOp,ve,5,2034.8,2016,1984,2111,43.1,117958.6,119346,103827,133808,1,1.7,elementwise_binary
planner_debate,warmup,critic-b,8,RMSNormOp,ve,5,19043.8,19070,18878,19133,88.7,249135.4,245735,236706,272267,7,7.6,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,warmup,critic-b,10,LinearOp,me,5,19753.6,19709,19613,19933,108.1,157872.2,156072,149399,171874,1,12.5,gemm
planner_debate,warmup,critic-b,11,LinearOp,me,5,19638.2,19676,19549,19709,61.8,104122,103982,103161,105270,1,18.9,gemm
planner_debate,warmup,critic-b,12,LinearOp,me,5,19708.2,19708,19644,19804,53.5,100102.6,97133,95521,113103,1,19.7,gemm
planner_debate,warmup,critic-b,13,ViewOp,de,5,0,0,0,0,0.0,89162,81114,76025,125007,0,0.0,
planner_debate,warmup,critic-b,14,TransposeOp,de,5,12490.4,12541,12221,12670,167.9,140793,137215,128461,159638,1,8.9,copy
planner_debate,warmup,critic-b,,call_overhead,,5,318331,319944,312713,322343,3485.0,,,,,2,,elementwise_binary|memcpy|rng_init
planner_debate,warmup,critic-merge,6,RMSNormOp,ve,5,19427.2,19422,19355,19516,55.1,309245.4,297504,280987,378873,7,6.3,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,warmup,critic-merge,7,AddOp,ve,5,2041.4,2079,1952,2112,61.9,109388.6,106484,101971,123272,1,1.9,elementwise_binary
planner_debate,warmup,critic-merge,8,RMSNormOp,ve,5,18991.8,18973,18907,19101,63.2,235587.2,235277,232021,239288,7,8.1,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,warmup,critic-merge,10,LinearOp,me,5,19772.6,19773,19581,19933,112.6,158686.6,157270,145081,174907,1,12.5,gemm
planner_debate,warmup,critic-merge,11,LinearOp,me,5,19708.4,19708,19517,19933,132.8,110249.2,107683,102521,126321,1,17.9,gemm
planner_debate,warmup,critic-merge,12,LinearOp,me,5,19753.4,19804,19645,19805,65.9,101238.2,98152,96040,114123,1,19.5,gemm
planner_debate,warmup,critic-merge,13,ViewOp,de,5,0,0,0,0,0.0,77240.4,77042,75319,80059,0,0.0,
planner_debate,warmup,critic-merge,14,TransposeOp,de,5,12369.2,12382,12158,12670,186.2,134427.8,131553,127736,144638,1,9.2,copy
planner_debate,warmup,critic-merge,,call_overhead,,5,318848.4,319495,314280,321926,2549.5,,,,,2,,elementwise_binary|memcpy|rng_init
planner_debate,warmup,planner-final,6,RMSNormOp,ve,5,17794.6,17820,17628,17917,105.6,294460.2,302415,277587,308201,7,6.0,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,warmup,planner-final,7,AddOp,ve,5,1721.2,1728,1663,1760,37.4,114050.8,109466,105177,125308,1,1.5,elementwise_binary
planner_debate,warmup,planner-final,8,RMSNormOp,ve,5,17333.4,17374,17147,17437,110.4,243635.8,241806,234820,259245,7,7.1,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,warmup,planner-final,10,LinearOp,me,5,14576.6,14557,14557,14622,26.1,148662.6,145860,138895,164246,1,9.8,gemm
planner_debate,warmup,planner-final,11,LinearOp,me,5,14589.6,14590,14526,14622,34.9,105922.2,102491,101666,119186,1,13.8,gemm
planner_debate,warmup,planner-final,12,LinearOp,me,5,14544.6,14557,14494,14589,42.9,99823,96852,94248,114524,1,14.6,gemm
planner_debate,warmup,planner-final,13,ViewOp,de,5,0,0,0,0,0.0,75846.4,75994,73778,77724,0,0.0,
planner_debate,warmup,planner-final,14,TransposeOp,de,5,12125.8,12126,12061,12222,53.8,130520,130065,125674,135835,1,9.3,copy
planner_debate,warmup,planner-final,,call_overhead,,5,408407.8,408122,406807,410167,1212.8,,,,,2,,elementwise_binary|memcpy|rng_init
planner_debate,warmup,planner-seed,6,RMSNormOp,ve,5,17987.4,17757,17628,19004,519.3,36301222,293628,280253,180303007,7,0.0,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,warmup,planner-seed,7,AddOp,ve,5,1702.2,1696,1632,1760,42.5,146559.4,104781,102125,316225,1,1.2,elementwise_binary
planner_debate,warmup,planner-seed,8,RMSNormOp,ve,5,17507.4,17531,17181,17886,228.7,280534,236352,231024,439464,7,6.2,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,warmup,planner-seed,10,LinearOp,me,5,14666.4,14590,14557,14974,157.7,49628626.6,148831,138250,247548816,1,0.0,gemm
planner_debate,warmup,planner-seed,11,LinearOp,me,5,14601.8,14589,14557,14653,32.6,148660.6,122152,102588,284899,1,9.8,gemm
planner_debate,warmup,planner-seed,12,LinearOp,me,5,14525.6,14526,14462,14589,40.2,104390.6,97808,95252,129593,1,13.9,gemm
planner_debate,warmup,planner-seed,13,ViewOp,de,5,0,0,0,0,0.0,108649.8,78330,75223,229938,0,0.0,
planner_debate,warmup,planner-seed,14,TransposeOp,de,5,12106.4,12093,12061,12190,48.1,205855,131923,129049,499594,1,5.9,copy
planner_debate,warmup,planner-seed,,call_overhead,,5,122487,122378,116618,127529,3903.2,,,,,2,,elementwise_binary|memcpy|rng_init
