Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
19.6,540182747,1,540182747.0,540182747.0,540182747,540182747,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=0
9.1,251081133,25,10043245.3,143050.0,125344,247548816,49480330.2,PushPop,:agentsys.mllm::planner-seed::10::LinearOp
6.8,187510607,25,7500424.3,293920.0,239919,180303007,36000554.8,PushPop,:agentsys.mllm::planner-seed::6::RMSNormOp
2.8,77384132,1,77384132.0,77384132.0,77384132,77384132,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=4
2.8,76935106,1,76935106.0,76935106.0,76935106,76935106,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=1
2.8,76146361,1,76146361.0,76146361.0,76146361,76146361,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=2
2.8,76084334,1,76084334.0,76084334.0,76084334,76084334,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=4
2.8,76023998,1,76023998.0,76023998.0,76023998,76023998,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=2
2.8,76001447,1,76001447.0,76001447.0,76001447,76001447,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=3
2.8,75931277,1,75931277.0,75931277.0,75931277,75931277,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=3
2.7,74822145,1,74822145.0,74822145.0,74822145,74822145,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=1
2.7,73280620,1,73280620.0,73280620.0,73280620,73280620,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=0
2.5,69703051,1,69703051.0,69703051.0,69703051,69703051,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=17
2.5,67577963,1,67577963.0,67577963.0,67577963,67577963,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=19
2.4,66045669,1,66045669.0,66045669.0,66045669,66045669,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=16
2.3,64091313,1,64091313.0,64091313.0,64091313,64091313,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=15
2.3,62269435,1,62269435.0,62269435.0,62269435,62269435,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=12
2.3,61994133,1,61994133.0,61994133.0,61994133,61994133,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=9
2.2,61770322,1,61770322.0,61770322.0,61770322,61770322,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=11
2.2,61554564,1,61554564.0,61554564.0,61554564,61554564,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=13
2.2,61353164,1,61353164.0,61353164.0,61353164,61353164,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=10
2.2,61339447,1,61339447.0,61339447.0,61339447,61339447,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=8
2.2,61325234,1,61325234.0,61325234.0,61325234,61325234,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=5
2.2,61277772,1,61277772.0,61277772.0,61277772,61277772,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=14
2.2,61047932,1,61047932.0,61047932.0,61047932,61047932,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=6
2.2,61019011,1,61019011.0,61019011.0,61019011,61019011,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=7
2.2,60488509,1,60488509.0,60488509.0,60488509,60488509,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=18
0.3,7935229,25,317409.2,290734.0,241844,773675,104171.6,PushPop,:agentsys.mllm::critic-a::6::RMSNormOp
0.3,7685113,25,307404.5,298974.0,247310,481426,46547.3,PushPop,:agentsys.mllm::critic-b::6::RMSNormOp
0.3,7676518,25,307060.7,299267.0,268349,447571,41394.5,PushPop,:agentsys.mllm::planner-final::6::RMSNormOp
0.3,7670783,25,306831.3,298900.0,238826,383583,37049.5,PushPop,:agentsys.mllm::critic-merge::6::RMSNormOp
0.2,6518936,25,260757.4,242324.0,215552,443978,61906.6,PushPop,:agentsys.mllm::planner-seed::8::RMSNormOp
0.2,6449019,25,257960.8,245763.0,207117,424758,41979.6,PushPop,:agentsys.mllm::critic-b::8::RMSNormOp
0.2,6432394,25,257295.8,246928.0,225676,368951,35537.9,PushPop,:agentsys.mllm::planner-final::8::RMSNormOp
0.2,6204845,25,248193.8,243497.0,214027,341258,26477.0,PushPop,:agentsys.mllm::critic-a::8::RMSNormOp
0.2,6066543,25,242661.7,239288.0,212344,291704,17278.5,PushPop,:agentsys.mllm::critic-merge::8::RMSNormOp
0.1,4008040,25,160321.6,151817.0,117992,340985,42215.1,PushPop,:agentsys.mllm::critic-merge::10::LinearOp
