workload,phase,call_id,op_index,op_type,engine,instances,gpu_ns_mean,gpu_ns_median,gpu_ns_min,gpu_ns_max,gpu_ns_stdev,nvtx_cpu_ns_mean,nvtx_cpu_ns_median,nvtx_cpu_ns_min,nvtx_cpu_ns_max,kernels_per_instance,gpu_over_cpu_pct,kernel_families
planner_debate_L,measured,critic-a,6,RMSNormOp,ve,8,16160106.8,16258573.0,15840520,16318945,187626.2,16438976,16533393.5,16099679,16602684,224,98.3,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L,measured,critic-a,7,AddOp,ve,8,649154.4,646059.5,643147,666090,7491.7,769217.2,758066.0,746871,819249,32,84.4,elementwise_binary
planner_debate_L,measured,critic-a,8,RMSNormOp,ve,8,15805838.9,15802606.0,15774185,15857364,27118.0,16056366,16034141.5,15993613,16204946,224,98.4,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L,measured,critic-a,10,LinearOp,me,8,25834567,25814974.0,25453894,26170104,262021.6,26051274.2,26071345.5,25654265,26370544,32,99.2,gemm|memset
planner_debate_L,measured,critic-a,11,LinearOp,me,8,26315477.9,26283571.0,25675040,27033110,446015.2,26484584.2,26432508.5,25840785,27223320,32,99.4,gemm|memset
planner_debate_L,measured,critic-a,12,LinearOp,me,8,26571126.5,26721732.5,25970877,26957812,361586.7,26736344,26866858.5,26145443,27098276,32,99.4,gemm|memset
planner_debate_L,measured,critic-a,13,ViewOp,de,8,0,0.0,0,0,0.0,176547.6,172809.0,146437,207640,0,0.0,
planner_debate_L,measured,critic-a,14,TransposeOp,de,8,7365265.4,7250445.0,7167086,7736288,215401.0,7501709.1,7397623.0,7314199,7876480,32,98.2,copy
planner_debate_L,measured,critic-a,,call_overhead,,8,2570917.9,2558314.5,2511499,2679848,48547.2,,,,,2,,elementwise_binary|memcpy|rng_init
planner_debate_L,measured,critic-b,6,RMSNormOp,ve,8,16011556,15988843.5,15806281,16242331,188945.5,16303936.5,16341741.5,16080551,16509478,224,98.2,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L,measured,critic-b,7,AddOp,ve,8,660502,643962.5,638892,781957,45950.5,772086.9,755786.0,733602,878770,32,85.5,elementwise_binary
planner_debate_L,measured,critic-b,8,RMSNormOp,ve,8,16039443.8,16076276.0,15805422,16245153,155919.7,16270566,16301181.0,16024126,16468409,224,98.6,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L,measured,critic-b,10,LinearOp,me,8,25834054.5,25796593.5,25475023,26150897,205861.4,26064600.1,26026549.5,25693219,26340531,32,99.1,gemm|memset
planner_debate_L,measured,critic-b,11,LinearOp,me,8,26476193,26637731.5,25915136,26893848,384157.4,26660784,26772498.0,26051674,27091649,32,99.3,gemm|memset
planner_debate_L,measured,critic-b,12,LinearOp,me,8,26800602.9,26952410.5,25904692,27595019,546623.7,26957645.2,27107516.5,26040530,27768337,32,99.4,gemm|memset
planner_debate_L,measured,critic-b,13,ViewOp,de,8,0,0.0,0,0,0.0,174144.8,172157.5,160593,190116,0,0.0,
planner_debate_L,measured,critic-b,14,TransposeOp,de,8,7160080.9,7192911.0,6807868,7353546,147849.8,7307382,7344443.5,6922728,7496768,32,98.0,copy
planner_debate_L,measured,critic-b,,call_overhead,,8,2956204.8,2891919.0,2841024,3389325,168589.3,,,,,2,,elementwise_binary|memcpy|rng_init
planner_debate_L,measured,critic-merge,6,RMSNormOp,ve,8,16022424.4,16005480.0,15831503,16268678,187027.8,16293618.4,16280690.5,16088088,16532847,224,98.3,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L,measured,critic-merge,7,AddOp,ve,8,646401.6,644858.0,640201,657513,4999.6,767500,758991.0,737088,829892,32,84.2,elementwise_binary
planner_debate_L,measured,critic-merge,8,RMSNormOp,ve,8,16021828,16079571.5,15773556,16259235,189831.9,16240655.9,16299635.5,15987043,16495806,224,98.7,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L,measured,critic-merge,10,LinearOp,me,8,25963910,25976968.5,25470410,26303095,257202.2,26185541.5,26230773.5,25653279,26497847,32,99.2,gemm|memset
planner_debate_L,measured,critic-merge,11,LinearOp,me,8,26138308.6,26049343.0,25578860,26804734,378423.2,26376191.5,26358556.5,25768622,26957853,32,99.1,gemm|memset
planner_debate_L,measured,critic-merge,12,LinearOp,me,8,26678414.2,26848016.0,25618790,27302099,602334.2,26853032.6,27023801.5,25769710,27586292,32,99.3,gemm|memset
planner_debate_L,measured,critic-merge,13,ViewOp,de,8,0,0.0,0,0,0.0,166221.6,162725.0,147942,193530,0,0.0,
planner_debate_L,measured,critic-merge,14,TransposeOp,de,8,7150904,7195486.0,6735806,7766810,301096.4,7287014.8,7319011.0,6872023,7922479,32,98.1,copy
planner_debate_L,measured,critic-merge,,call_overhead,,8,2887843.4,2884464.0,2858113,2915454,18965.0,,,,,2,,elementwise_binary|memcpy|rng_init
planner_debate_L,measured,planner-final,6,RMSNormOp,ve,8,9150749.9,9042752.5,9012373,9484935,183488.4,9421218.9,9327395.5,9252578,9760326,224,97.1,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L,measured,planner-final,7,AddOp,ve,8,433461,431873.0,431474,444177,4066.2,569342.6,555231.0,531253,662624,32,76.1,elementwise_binary
planner_debate_L,measured,planner-final,8,RMSNormOp,ve,8,9331348.6,9525937.0,8973648,9551138,263505.3,9543224,9738463.0,9187620,9760611,224,97.8,copy|elementwise_binary|elementwise_unary|reduce
