Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
92.7,5419952195,550,9854458.5,6287441.5,1746,26962489,9671718.3,cudaEventSynchronize
5.3,311697643,31438,9914.7,4443.0,3533,53461849,394180.2,cudaLaunchKernel
0.6,35467818,14,2533415.6,2172383.0,776037,6222349,1756131.6,cuLibraryLoadData
0.5,30993549,2,15496774.5,15496774.5,15490894,15502655,8316.3,cudaHostAlloc
0.2,11815128,3168,3729.5,3141.0,2567,24767,1898.9,cudaMemsetAsync
0.2,10148450,2112,4805.1,4336.5,3714,35739,1572.9,cuLaunchKernel
0.1,6155503,2112,2914.5,437.0,330,5081486,110561.5,cuKernelGetFunction
0.1,5952247,1210,4919.2,3594.5,1198,153356,5961.6,cudaEventRecord
0.1,3489681,2,1744840.5,1744840.5,1465785,2023896,394644.1,cudaGetDeviceProperties
0.1,3127830,1,3127830.0,3127830.0,3127830,3127830,0.0,cudaFree
0.0,2885366,1120,2576.2,1900.0,518,26900,2611.1,cudaEventCreateWithFlags
0.0,2692888,110,24480.8,24369.5,14438,36236,3257.3,cudaMemcpyAsync
0.0,2216174,13,170474.9,144452.0,11358,279296,80596.7,cudaMalloc
0.0,1587386,1100,1443.1,1142.0,513,11053,1025.0,cudaEventDestroy
0.0,516559,108,4783.0,4890.0,1062,13943,3526.6,cudaEventQuery
0.0,263232,838,314.1,255.0,167,6233,257.6,cuGetProcAddress_v2
0.0,199043,175,1137.4,606.0,362,15994,1384.8,cudaStreamIsCapturing
0.0,97289,11,8844.5,7747.0,5953,16645,3170.2,cudaDeviceSynchronize
0.0,57137,14,4081.2,5555.0,579,7107,2648.8,cuLibraryGetKernel
0.0,9725,3,3241.7,3130.0,2243,4352,1058.9,cuInit
0.0,5558,3,1852.7,257.0,215,5086,2800.2,cuModuleGetLoadingMode
0.0,2979,2,1489.5,1489.5,810,2169,961.0,cudaGetDriverEntryPoint
