workload,phase,iteration,wall_ns,gpu_busy_union_ns,gpu_busy_pct,operator_gpu_ns,call_overhead_gpu_ns,sum_attributed_gpu_ns,kernel_launches,memcpy_memset,operator_nvtx_cpu_ns
planner_debate_L_it1,warmup,0,1099381914,30957866,2.82,17018810,13939056,30957866,105,19,364909676
planner_debate_L_it1,warmup,1,702327508,30197320,4.3,17045886,13151434,30197320,105,19,21131506
planner_debate_L_it1,warmup,2,656309035,30498908,4.65,17088824,13410084,30498908,105,19,21008284
planner_debate_L_it1,measured,0,565543675,30574041,5.41,17053914,13520127,30574041,105,19,20555202
planner_debate_L_it1,measured,1,554283626,31006411,5.59,16926301,14080110,31006411,105,19,20321811
planner_debate_L_it1,measured,2,551497667,30602099,5.55,16920826,13681273,30602099,105,19,20368512
planner_debate_L_it1,measured,3,551130806,30607477,5.55,16887709,13719768,30607477,105,19,20276220
planner_debate_L_it1,measured,4,579913099,30358402,5.23,17011484,13346918,30358402,105,19,20776930
planner_debate_L_it1,measured,5,558873239,30236800,5.41,16879579,13357221,30236800,105,19,20606411
planner_debate_L_it1,measured,6,554877644,30471291,5.49,16909342,13561949,30471291,105,19,20276867
planner_debate_L_it1,measured,7,555849423,30193638,5.43,16879713,13313925,30193638,105,19,20475596
