workload,phase,call_id,op_index,op_type,engine,instances,gpu_ns_mean,gpu_ns_median,gpu_ns_min,gpu_ns_max,gpu_ns_stdev,nvtx_cpu_ns_mean,nvtx_cpu_ns_median,nvtx_cpu_ns_min,nvtx_cpu_ns_max,kernels_per_instance,gpu_over_cpu_pct,kernel_families
planner_debate_L_it1,measured,critic-a,6,RMSNormOp,ve,8,517497.2,517697.0,515570,519153,1078.4,632364.4,632726.5,619386,646685,7,81.8,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,critic-a,7,AddOp,ve,8,27111,27135.0,26527,27487,271.9,94212.6,93316.5,86795,106647,1,28.8,elementwise_binary
planner_debate_L_it1,measured,critic-a,8,RMSNormOp,ve,8,491377.9,490674.0,489842,494226,1503.6,559343.1,559782.5,555615,562487,7,87.8,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,critic-a,10,LinearOp,me,8,852755.9,852839.5,851848,853640,615.9,984447,983890.0,977546,990526,1,86.6,gemm|memset
planner_debate_L_it1,measured,critic-a,11,LinearOp,me,8,852663.6,852759.5,851656,853512,569.7,927115.4,925429.5,922535,935870,1,92.0,gemm|memset
planner_debate_L_it1,measured,critic-a,12,LinearOp,me,8,864319.2,852375.5,851560,903526,21148.4,934169,922622.0,916953,979487,1,92.5,gemm|memset
planner_debate_L_it1,measured,critic-a,13,ViewOp,de,8,0,0.0,0,0,0.0,66330.4,67287.5,62463,69231,0,0.0,
planner_debate_L_it1,measured,critic-a,14,TransposeOp,de,8,226513.6,226522.0,225945,226841,280.4,316651.8,317218.0,307387,324860,1,71.5,copy
planner_debate_L_it1,measured,critic-a,,call_overhead,,8,2582526.1,2574150.0,2539895,2643445,38069.2,,,,,2,,elementwise_binary|memcpy|rng_init
planner_debate_L_it1,measured,critic-b,6,RMSNormOp,ve,8,518269,517777.0,516689,522097,1589.2,651654.2,642101.5,627811,744922,7,79.5,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,critic-b,7,AddOp,ve,8,26983,26911.0,26815,27199,142.9,97177.9,96649.0,90570,109974,1,27.8,elementwise_binary
planner_debate_L_it1,measured,critic-b,8,RMSNormOp,ve,8,493414.1,490834.5,488178,511122,6920.9,561758.9,560414.0,552609,577685,7,87.8,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,critic-b,10,LinearOp,me,8,852511.6,852551.5,852200,852872,239.3,999544.2,994258.5,984097,1039957,1,85.3,gemm|memset
planner_debate_L_it1,measured,critic-b,11,LinearOp,me,8,852243.9,852280.0,851592,852904,437.7,935825,931437.0,925565,968344,1,91.1,gemm|memset
planner_debate_L_it1,measured,critic-b,12,LinearOp,me,8,851979.6,851976.0,851560,852455,309.0,922320.6,922649.0,917715,926282,1,92.4,gemm|memset
planner_debate_L_it1,measured,critic-b,13,ViewOp,de,8,0,0.0,0,0,0.0,70745.4,69371.0,61614,87764,0,0.0,
planner_debate_L_it1,measured,critic-b,14,TransposeOp,de,8,226645.4,226617.5,226425,226938,169.9,322565.6,318902.0,312440,358053,1,70.3,copy
planner_debate_L_it1,measured,critic-b,,call_overhead,,8,2963943.8,2951324.5,2890573,3054825,49201.8,,,,,2,,elementwise_binary|memcpy|rng_init
planner_debate_L_it1,measured,critic-merge,6,RMSNormOp,ve,8,529212.9,518113.0,513618,611407,31111.2,654600,642757.0,628244,739734,7,80.8,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,critic-merge,7,AddOp,ve,8,29951.2,27071.5,26591,50175,7651.5,114925.2,94855.5,91170,254737,1,26.1,elementwise_binary
planner_debate_L_it1,measured,critic-merge,8,RMSNormOp,ve,8,491137.8,491409.5,488498,493106,1377.1,562763.5,562499.0,557091,575045,7,87.3,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,critic-merge,10,LinearOp,me,8,852895.8,852951.5,852168,853703,556.4,989679.9,987838.5,979060,1005364,1,86.2,gemm|memset
planner_debate_L_it1,measured,critic-merge,11,LinearOp,me,8,852147.9,852135.5,851656,852552,281.2,929643.8,929196.5,927624,932706,1,91.7,gemm|memset
planner_debate_L_it1,measured,critic-merge,12,LinearOp,me,8,867411.5,852088.0,851560,975268,40766.8,939795.2,924494.5,922978,1045990,1,92.3,gemm|memset
planner_debate_L_it1,measured,critic-merge,13,ViewOp,de,8,0,0.0,0,0,0.0,77069.6,68136.0,65600,142360,0,0.0,
planner_debate_L_it1,measured,critic-merge,14,TransposeOp,de,8,226413.5,226394.0,226169,226618,143.1,320163.9,319675.5,312223,329525,1,70.7,copy
planner_debate_L_it1,measured,critic-merge,,call_overhead,,8,3012758,3013690.0,2905965,3157606,84694.3,,,,,2,,elementwise_binary|memcpy|rng_init
planner_debate_L_it1,measured,planner-final,6,RMSNormOp,ve,8,322510.9,319991.0,316631,341718,7440.7,437079.9,435129.5,426026,453680,7,73.8,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,planner-final,7,AddOp,ve,8,14775.8,14767.5,14720,14848,38.2,87610.6,87097.5,79842,96774,1,16.9,elementwise_binary
planner_debate_L_it1,measured,planner-final,8,RMSNormOp,ve,8,290799.5,291095.5,288567,292760,1357.9,357253.5,357315.5,351666,360950,7,81.4,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,planner-final,10,LinearOp,me,8,642337.4,636173.5,634573,685164,16225.7,775485.4,769150.0,759583,813285,1,82.8,gemm
planner_debate_L_it1,measured,planner-final,11,LinearOp,me,8,633494,633182.0,632686,635022,686.3,706849.9,705716.0,701322,714630,1,89.6,gemm
planner_debate_L_it1,measured,planner-final,12,LinearOp,me,8,635837.9,635758.0,634478,638702,1266.3,701489.6,702970.0,694164,707508,1,90.6,gemm
planner_debate_L_it1,measured,planner-final,13,ViewOp,de,8,0,0.0,0,0,0.0,67191,64610.0,59576,90417,0,0.0,
planner_debate_L_it1,measured,planner-final,14,TransposeOp,de,8,177542.9,177643.0,177147,177819,239.3,280034.1,266950.0,263670,365974,1,63.4,copy
planner_debate_L_it1,measured,planner-final,,call_overhead,,8,3830735.1,3820835.0,3687800,4041292,103077.8,,,,,2,,elementwise_binary|memcpy|rng_init
planner_debate_L_it1,measured,planner-seed,6,RMSNormOp,ve,8,320494.8,321366.5,316727,322583,1938.2,440829,434605.5,424489,490637,7,72.7,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,planner-seed,7,AddOp,ve,8,14799.9,14800.0,14688,14912,67.8,84021.1,83114.5,79668,93788,1,17.6,elementwise_binary
planner_debate_L_it1,measured,planner-seed,8,RMSNormOp,ve,8,294303.5,290519.0,286680,325078,11718.3,360791.2,357169.0,352599,388118,7,81.6,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,planner-seed,10,LinearOp,me,8,635997.8,635773.5,634926,637550,727.9,761831.2,761502.5,751165,774947,1,83.5,gemm
planner_debate_L_it1,measured,planner-seed,11,LinearOp,me,8,634702,635070.0,632622,635886,1048.0,701695.8,701493.0,696247,708449,1,90.5,gemm
planner_debate_L_it1,measured,planner-seed,12,LinearOp,me,8,634917.9,634910.0,633998,635790,621.7,698572.4,698417.5,694003,702885,1,90.9,gemm
planner_debate_L_it1,measured,planner-seed,13,ViewOp,de,8,0,0.0,0,0,0.0,65101.1,63206.5,60940,72377,0,0.0,
planner_debate_L_it1,measured,planner-seed,14,TransposeOp,de,8,177638.9,177675.0,177211,177851,190.6,266491.1,264518.5,259449,277446,1,66.7,copy
planner_debate_L_it1,measured,planner-seed,,call_overhead,,8,1182698.4,1133168.0,1086786,1550804,142065.2,,,,,2,,elementwise_binary|memcpy|rng_init
planner_debate_L_it1,warmup,critic-a,6,RMSNormOp,ve,3,518822.7,518705,517841,519922,853.6,722250.7,654790,652742,859220,7,71.8,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,warmup,critic-a,7,AddOp,ve,3,26388.3,27135,24863,27167,1078.7,116927.3,117352,110418,123012,1,22.6,elementwise_binary
planner_debate_L_it1,warmup,critic-a,8,RMSNormOp,ve,3,518577.3,495026,489586,571120,37219.6,604506.3,589085,571517,652917,7,85.8,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,warmup,critic-a,10,LinearOp,me,3,852263.3,851975,851943,852872,430.6,1053662.3,1003800,999188,1157999,1,80.9,gemm|memset
planner_debate_L_it1,warmup,critic-a,11,LinearOp,me,3,852189,852008,851655,852904,525.7,955170.7,947044,944327,974141,1,89.2,gemm|memset
planner_debate_L_it1,warmup,critic-a,12,LinearOp,me,3,852498.3,852424,852423,852648,105.8,942522,942492,939382,945692,1,90.4,gemm|memset
planner_debate_L_it1,warmup,critic-a,13,ViewOp,de,3,0,0,0,0,0.0,81973.3,82052,81242,82626,0,0.0,
planner_debate_L_it1,warmup,critic-a,14,TransposeOp,de,3,228666,226874,226426,232698,2856.9,640021,331488,329810,1258765,1,35.7,copy
