Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
54.4,307835641,550,559701.2,456512.0,1445,1920234,477745.6,cudaEventSynchronize
29.2,165185318,1089,151685.3,6911.0,4242,52352079,2066253.9,cudaLaunchKernel
6.2,35169375,14,2512098.2,2179573.0,760933,6140857,1752557.4,cuLibraryLoadData
5.3,30002189,2,15001094.5,15001094.5,14113643,15888546,1255045.9,cudaHostAlloc
0.9,5313155,1210,4391.0,3187.5,1185,61828,4665.8,cudaEventRecord
0.9,5261280,66,79716.4,901.0,616,5117126,629608.0,cuKernelGetFunction
0.6,3384179,2,1692089.5,1692089.5,1581887,1802292,155849.9,cudaGetDeviceProperties
0.5,2672954,1,2672954.0,2672954.0,2672954,2672954,0.0,cudaFree
0.4,2485458,110,22595.1,24109.0,9680,44679,7071.8,cudaMemcpyAsync
0.4,2447661,1120,2185.4,1432.5,516,46548,2941.7,cudaEventCreateWithFlags
0.3,1881581,12,156798.4,144422.0,5558,272149,78842.9,cudaMalloc
0.2,1171573,1100,1065.1,954.0,529,8732,558.9,cudaEventDestroy
0.2,861623,99,8703.3,5457.0,4066,26595,5300.1,cudaMemsetAsync
0.1,575623,66,8721.6,8158.5,6091,35278,3714.4,cuLaunchKernel
0.1,538192,108,4983.3,3716.5,1065,11821,3843.4,cudaEventQuery
0.0,241683,838,288.4,247.0,164,2835,162.4,cuGetProcAddress_v2
0.0,201802,174,1159.8,701.5,386,16014,1371.0,cudaStreamIsCapturing
0.0,89987,11,8180.6,7538.0,6173,13031,2100.5,cudaDeviceSynchronize
0.0,52633,14,3759.5,5091.0,538,7457,2498.8,cuLibraryGetKernel
0.0,9339,3,3113.0,3144.0,2756,3439,342.6,cuInit
0.0,6285,3,2095.0,267.0,227,5791,3200.9,cuModuleGetLoadingMode
0.0,2992,2,1496.0,1496.0,773,2219,1022.5,cudaGetDriverEntryPoint
