Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
14.7,1099381914,1,1099381914.0,1099381914.0,1099381914,1099381914,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=0
9.4,702327508,1,702327508.0,702327508.0,702327508,702327508,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=1
8.7,656309035,1,656309035.0,656309035.0,656309035,656309035,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=2
7.7,579913099,1,579913099.0,579913099.0,579913099,579913099,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=4
7.5,565543675,1,565543675.0,565543675.0,565543675,565543675,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=0
7.5,558873239,1,558873239.0,558873239.0,558873239,558873239,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=5
7.4,555849423,1,555849423.0,555849423.0,555849423,555849423,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=7
7.4,554877644,1,554877644.0,554877644.0,554877644,554877644,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=6
7.4,554283626,1,554283626.0,554283626.0,554283626,554283626,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=1
7.4,551497667,1,551497667.0,551497667.0,551497667,551497667,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=2
7.3,551130806,1,551130806.0,551130806.0,551130806,551130806,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=3
2.8,213334589,11,19394053.5,763579.0,751165,205668584,61780273.6,PushPop,:agentsys.mllm::planner-seed::10::LinearOp
1.9,141896808,11,12899709.8,439584.0,424489,137469898,41315261.4,PushPop,:agentsys.mllm::planner-seed::6::RMSNormOp
0.1,11088647,11,1008058.8,995629.0,984097,1079967,28344.7,PushPop,:agentsys.mllm::critic-b::10::LinearOp
0.1,11036563,11,1003323.9,989283.0,977546,1157999,51938.4,PushPop,:agentsys.mllm::critic-a::10::LinearOp
0.1,10920947,11,992813.4,988450.0,979060,1015226,10687.2,PushPop,:agentsys.mllm::critic-merge::10::LinearOp
0.1,10551304,11,959209.5,925509.0,922978,1067983,54059.9,PushPop,:agentsys.mllm::critic-merge::12::LinearOp
0.1,10453466,11,950315.1,935874.0,925565,1080350,44795.0,PushPop,:agentsys.mllm::critic-b::11::LinearOp
0.1,10379947,11,943631.5,929292.0,926381,1066952,41379.0,PushPop,:agentsys.mllm::critic-merge::11::LinearOp
0.1,10300918,11,936447.1,925277.0,916953,979487,21362.3,PushPop,:agentsys.mllm::critic-a::12::LinearOp
0.1,10282435,11,934766.8,926572.0,922535,974141,15588.8,PushPop,:agentsys.mllm::critic-a::11::LinearOp
0.1,10184710,11,925882.7,924588.0,917715,940063,6893.3,PushPop,:agentsys.mllm::critic-b::12::LinearOp
0.1,8523869,11,774897.2,770749.0,759583,813285,15613.5,PushPop,:agentsys.mllm::planner-final::10::LinearOp
0.1,7868021,11,715274.6,702883.0,696247,818201,34986.6,PushPop,:agentsys.mllm::planner-seed::11::LinearOp
0.1,7788126,11,708011.5,707307.0,700318,717673,6038.2,PushPop,:agentsys.mllm::planner-final::11::LinearOp
0.1,7744025,11,704002.3,699798.0,694003,721844,9899.6,PushPop,:agentsys.mllm::planner-seed::12::LinearOp
0.1,7741187,11,703744.3,703363.0,694164,713505,5929.5,PushPop,:agentsys.mllm::planner-final::12::LinearOp
0.1,7225667,11,656878.8,637250.0,619386,859220,68212.8,PushPop,:agentsys.mllm::critic-a::6::RMSNormOp
0.1,7176813,11,652437.5,645243.0,628244,739734,31325.1,PushPop,:agentsys.mllm::critic-merge::6::RMSNormOp
0.1,7161254,11,651023.1,643843.0,627811,744922,32248.7,PushPop,:agentsys.mllm::critic-b::6::RMSNormOp
0.1,6288264,11,571660.4,560064.0,555615,652917,28571.2,PushPop,:agentsys.mllm::critic-a::8::RMSNormOp
0.1,6218495,11,565317.7,563448.0,557091,580443,7302.9,PushPop,:agentsys.mllm::critic-merge::8::RMSNormOp
0.1,6206008,11,564182.5,562589.0,552609,577685,8475.0,PushPop,:agentsys.mllm::critic-b::8::RMSNormOp
0.1,4836864,11,439714.9,435378.0,426026,454099,9817.3,PushPop,:agentsys.mllm::planner-final::6::RMSNormOp
0.1,4453277,11,404843.4,319875.0,307387,1258765,283306.3,PushPop,:agentsys.mllm::critic-a::14::TransposeOp
0.1,4037383,11,367034.8,361016.0,352599,410199,17830.5,PushPop,:agentsys.mllm::planner-seed::8::RMSNormOp
0.1,3950670,11,359151.8,357523.0,351666,372012,5962.8,PushPop,:agentsys.mllm::planner-final::8::RMSNormOp
0.0,3622948,11,329358.9,320474.0,312440,382280,21778.5,PushPop,:agentsys.mllm::critic-b::14::TransposeOp
0.0,3541238,11,321930.7,319779.0,312223,332627,6119.4,PushPop,:agentsys.mllm::critic-merge::14::TransposeOp
0.0,3161299,11,287390.8,267729.0,259449,458960,57654.2,PushPop,:agentsys.mllm::planner-seed::14::TransposeOp
0.0,3078523,11,279865.7,268051.0,263670,365974,29643.6,PushPop,:agentsys.mllm::planner-final::14::TransposeOp
0.0,1223857,11,111259.7,95072.0,91170,254737,47863.9,PushPop,:agentsys.mllm::critic-merge::7::AddOp
0.0,1137452,11,103404.7,85221.0,79668,252081,50303.3,PushPop,:agentsys.mllm::planner-seed::7::AddOp
0.0,1104483,11,100407.5,96746.0,86795,123012,12229.1,PushPop,:agentsys.mllm::critic-a::7::AddOp
0.0,1090451,11,99131.9,97923.0,90570,109974,7023.6,PushPop,:agentsys.mllm::critic-b::7::AddOp
0.0,994214,11,90383.1,87748.0,79842,107324,8925.7,PushPop,:agentsys.mllm::planner-final::7::AddOp
0.0,903502,11,82136.5,68925.0,65600,142360,29303.2,PushPop,:agentsys.mllm::critic-merge::13::ViewOp
0.0,833506,11,75773.3,69765.0,61614,99791,11805.8,PushPop,:agentsys.mllm::critic-b::13::ViewOp
0.0,818952,11,74450.2,66100.0,60940,137132,21966.1,PushPop,:agentsys.mllm::planner-seed::13::ViewOp
0.0,776563,11,70596.6,68541.0,62463,82626,7695.9,PushPop,:agentsys.mllm::critic-a::13::ViewOp
0.0,769770,11,69979.1,67088.0,59576,90417,10359.8,PushPop,:agentsys.mllm::planner-final::13::ViewOp
