workload,phase,iteration,wall_ns,gpu_busy_union_ns,gpu_busy_pct,operator_gpu_ns,call_overhead_gpu_ns,sum_attributed_gpu_ns,kernel_launches,memcpy_memset,operator_nvtx_cpu_ns
react_moa_mcts,warmup,0,629585559,3903563,0.62,1081869,2821694,3903563,210,23,456646948
react_moa_mcts,warmup,1,150998848,3487800,2.31,1079383,2408417,3487800,210,23,12750899
react_moa_mcts,warmup,2,148636451,3347912,2.25,1079000,2268912,3347912,210,23,11429374
react_moa_mcts,warmup,3,147611550,3081842,2.09,1078066,2003776,3081842,210,23,11005689
react_moa_mcts,warmup,4,147532170,3019095,2.05,1078864,1940231,3019095,210,23,11426966
react_moa_mcts,measured,0,146369309,2924523,2.0,1077299,1847224,2924523,210,23,10824587
react_moa_mcts,measured,1,146838285,2915509,1.99,1143219,1772290,2915509,210,23,10696163
react_moa_mcts,measured,2,145527207,2823645,1.94,1079347,1744298,2823645,210,23,10377179
react_moa_mcts,measured,3,144984980,2811715,1.94,1079641,1732074,2811715,210,23,10305118
react_moa_mcts,measured,4,146930281,2826230,1.92,1079953,1746277,2826230,210,23,10279703
react_moa_mcts,measured,5,140383211,2920737,2.08,1175833,1744904,2920737,210,23,10509784
react_moa_mcts,measured,6,115777375,2811956,2.43,1079431,1732525,2811956,210,23,10608610
react_moa_mcts,measured,7,116319909,2921232,2.51,1188454,1732778,2921232,210,23,10556218
react_moa_mcts,measured,8,114418046,2815363,2.46,1079252,1736111,2815363,210,23,10451279
react_moa_mcts,measured,9,146466957,2824832,1.93,1079452,1745380,2824832,210,23,10309127
react_moa_mcts,measured,10,145693519,2917557,2.0,1078460,1839097,2917557,210,23,10368624
react_moa_mcts,measured,11,146197166,2871842,1.96,1077854,1793988,2871842,210,23,10549524
react_moa_mcts,measured,12,150379201,3744335,2.49,1089752,2654583,3744335,210,23,11604152
react_moa_mcts,measured,13,151565182,4108757,2.71,1091513,3017244,4108757,210,23,12037581
react_moa_mcts,measured,14,126297825,4230436,3.35,1209960,3020476,4230436,210,23,12092216
react_moa_mcts,measured,15,127242839,4063221,3.19,1079541,2983680,4063221,210,23,12335756
react_moa_mcts,measured,16,127114967,4046005,3.18,1078899,2967106,4046005,210,23,13060861
react_moa_mcts,measured,17,121902457,4124897,3.38,1132484,2992413,4124897,210,23,12233063
react_moa_mcts,measured,18,120345413,4252689,3.53,1264559,2988130,4252689,210,23,12370362
react_moa_mcts,measured,19,119541716,4167621,3.49,1173255,2994366,4167621,210,23,11736975
