workload,phase,call_id,op_index,op_type,engine,instances,gpu_ns_mean,gpu_ns_median,gpu_ns_min,gpu_ns_max,gpu_ns_stdev,nvtx_cpu_ns_mean,nvtx_cpu_ns_median,nvtx_cpu_ns_min,nvtx_cpu_ns_max,kernels_per_instance,gpu_over_cpu_pct,kernel_families
react_moa_mcts,measured,mcts-actor0,6,RMSNormOp,ve,20,21983.9,19373.5,19134,72115,11501.1,267381.2,248400.5,227702,443756,7,8.2,copy|elementwise_binary|elementwise_unary|reduce
react_moa_mcts,measured,mcts-actor0,7,AddOp,ve,20,2066.9,2079.5,1920,2112,47.8,104662.6,102493.0,93290,136008,1,2.0,elementwise_binary
react_moa_mcts,measured,mcts-actor0,8,RMSNormOp,ve,20,19115.4,19070.0,18878,19483,147.7,232649.5,224288.5,206300,348748,7,8.2,copy|elementwise_binary|elementwise_unary|reduce
react_moa_mcts,measured,mcts-actor0,10,LinearOp,me,20,29353.6,20108.5,20029,204831,40257.3,134535.9,118495.5,108820,322429,1,21.8,gemm
react_moa_mcts,measured,mcts-actor0,11,LinearOp,me,20,20121.5,20093.0,19965,20412,109.3,104588.4,101105.0,92803,206480,1,19.2,gemm
react_moa_mcts,measured,mcts-actor0,12,LinearOp,me,20,19999.9,19997.0,19805,20157,81.3,98038.1,93521.5,89754,149249,1,20.4,gemm
react_moa_mcts,measured,mcts-actor0,13,ViewOp,de,20,0,0.0,0,0,0.0,70279.8,69998.5,64591,77500,0,0.0,
react_moa_mcts,measured,mcts-actor0,14,TransposeOp,de,20,12383.6,12398.0,12158,12670,146.8,118933.9,121590.5,107274,131848,1,10.4,copy
react_moa_mcts,measured,mcts-actor0,,call_overhead,,20,240868.8,191825.0,183458,325069,64868.2,,,,,2,,elementwise_binary|memcpy|rng_init
react_moa_mcts,measured,mcts-actor1,6,RMSNormOp,ve,20,19353.8,19341.5,19102,19581,91.7,263889.5,243804.5,225238,402438,7,7.3,copy|elementwise_binary|elementwise_unary|reduce
react_moa_mcts,measured,mcts-actor1,7,AddOp,ve,20,2039.5,2047.0,1919,2112,55.4,104723.1,97151.0,92617,216928,1,1.9,elementwise_binary
react_moa_mcts,measured,mcts-actor1,8,RMSNormOp,ve,20,22339.2,19102.5,18941,83315,13989.3,224060.7,225581.0,203735,259668,7,10.0,copy|elementwise_binary|elementwise_unary|reduce
react_moa_mcts,measured,mcts-actor1,10,LinearOp,me,20,20161.6,20157.0,20028,20381,87.9,127968.8,125262.5,108559,241556,1,15.8,gemm
react_moa_mcts,measured,mcts-actor1,11,LinearOp,me,20,20201.5,20204.5,20028,20348,68.2,100343.6,98916.0,93469,121366,1,20.1,gemm
react_moa_mcts,measured,mcts-actor1,12,LinearOp,me,20,20092.8,20092.5,19837,20285,115.4,95703,94513.5,89908,113063,1,21.0,gemm
react_moa_mcts,measured,mcts-actor1,13,ViewOp,de,20,0,0.0,0,0,0.0,72135.8,71004.5,65340,93785,0,0.0,
react_moa_mcts,measured,mcts-actor1,14,TransposeOp,de,20,17269.2,12478.0,12190,108879,21017.2,123998.7,124086.0,108898,196461,1,13.9,copy
react_moa_mcts,measured,mcts-actor1,,call_overhead,,20,240937,190978.0,183266,326156,64614.1,,,,,2,,elementwise_binary|memcpy|rng_init
react_moa_mcts,measured,mcts-critic,6,RMSNormOp,ve,20,27517.0,19355.5,19070,133483,26631.5,268370.5,243556.5,226874,391051,7,10.3,copy|elementwise_binary|elementwise_unary|reduce
