Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
59.7,248522890,5175,48023.7,7358.0,5003,70878019,1266709.6,cudaLaunchKernel
12.4,51408024,2500,20563.2,2398.0,1560,476459,39841.7,cudaEventSynchronize
11.2,46473215,14,3319515.4,2712368.0,958149,9106048,2605532.0,cuLibraryLoadData
5.4,22587045,5500,4106.7,3700.0,1282,240858,4358.4,cudaEventRecord
2.3,9438565,5020,1880.2,1556.0,572,17432,1231.7,cudaEventCreateWithFlags
1.9,7763501,75,103513.3,945.0,674,7597302,877004.2,cuKernelGetFunction
1.7,7108760,500,14217.5,13226.5,10384,42058,3713.9,cudaMemcpyAsync
1.3,5378807,5000,1075.8,1061.5,651,15295,432.2,cudaEventDestroy
1.1,4677868,2,2338934.0,2338934.0,1760105,2917763,818587.8,cudaGetDeviceProperties
0.8,3489213,2,1744606.5,1744606.5,1616394,1872819,181319.9,cudaHostAlloc
0.8,3304361,1,3304361.0,3304361.0,3304361,3304361,0.0,cudaFree
0.4,1843578,498,3702.0,3011.5,767,18730,2811.7,cudaEventQuery
0.3,1259829,6,209971.5,229655.5,7001,400159,144071.7,cudaMalloc
0.2,805019,75,10733.6,9847.0,7907,45324,4553.3,cuLaunchKernel
0.2,753741,75,10049.9,7009.0,4850,32732,5704.6,cudaMemsetAsync
0.2,699469,753,928.9,714.0,467,20147,925.7,cudaStreamIsCapturing
0.1,308988,838,368.7,255.0,165,2927,267.7,cuGetProcAddress_v2
0.1,218319,25,8732.8,8953.0,7048,11118,1372.7,cudaDeviceSynchronize
0.0,76711,14,5479.4,7160.5,641,9898,3528.2,cuLibraryGetKernel
0.0,14036,3,4678.7,4729.0,3779,5528,875.6,cuInit
0.0,6742,3,2247.3,280.0,254,6208,3430.1,cuModuleGetLoadingMode
0.0,4797,2,2398.5,2398.5,1135,3662,1786.9,cudaGetDriverEntryPoint
