Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
13.5,629585559,1,629585559.0,629585559.0,629585559,629585559,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=0
5.7,264833066,25,10593322.6,171456.0,149406,260581546,52080884.1,PushPop,:agentsys.mllm::react-plan::10::LinearOp
4.1,188736274,25,7549451.0,254070.0,227224,182576495,36463975.7,PushPop,:agentsys.mllm::react-plan::6::RMSNormOp
3.3,151565182,1,151565182.0,151565182.0,151565182,151565182,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=13
3.2,150998848,1,150998848.0,150998848.0,150998848,150998848,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=1
3.2,150379201,1,150379201.0,150379201.0,150379201,150379201,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=12
3.2,148636451,1,148636451.0,148636451.0,148636451,148636451,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=2
3.2,147611550,1,147611550.0,147611550.0,147611550,147611550,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=3
3.2,147532170,1,147532170.0,147532170.0,147532170,147532170,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=4
3.2,146930281,1,146930281.0,146930281.0,146930281,146930281,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=4
3.2,146838285,1,146838285.0,146838285.0,146838285,146838285,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=1
3.1,146466957,1,146466957.0,146466957.0,146466957,146466957,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=9
3.1,146369309,1,146369309.0,146369309.0,146369309,146369309,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=0
3.1,146197166,1,146197166.0,146197166.0,146197166,146197166,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=11
3.1,145693519,1,145693519.0,145693519.0,145693519,145693519,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=10
3.1,145527207,1,145527207.0,145527207.0,145527207,145527207,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=2
