workload,phase,iteration,wall_ns,gpu_busy_union_ns,gpu_busy_pct,operator_gpu_ns,call_overhead_gpu_ns,sum_attributed_gpu_ns,kernel_launches,memcpy_memset,operator_nvtx_cpu_ns
react_moa_mcts_x3_L,warmup,0,7166107795,3342199866,46.64,3259285869,82913997,3342199866,18300,2364,3654373203
react_moa_mcts_x3_L,warmup,1,6568370216,3330217030,50.7,3248983597,81233433,3330217030,18300,2364,3290501539
react_moa_mcts_x3_L,warmup,2,6570333425,3324619512,50.6,3243810778,80808734,3324619512,18300,2364,3284206470
react_moa_mcts_x3_L,measured,0,6504168494,3327587330,51.16,3245509973,82077357,3327587330,18300,2364,3286146738
react_moa_mcts_x3_L,measured,1,6610736458,3325457243,50.3,3243952300,81504943,3325457243,18300,2364,3285600954
react_moa_mcts_x3_L,measured,2,6595384186,3325939374,50.43,3243853515,82085859,3325939374,18300,2364,3284902201
react_moa_mcts_x3_L,measured,3,6605965896,3323494726,50.31,3242228480,81266246,3323494726,18300,2364,3282298086
react_moa_mcts_x3_L,measured,4,6889112891,3321194748,48.21,3237875442,83319306,3321194748,18300,2364,3283439490
react_moa_mcts_x3_L,measured,5,6694798132,3326593389,49.69,3244505586,82087803,3326593389,18300,2364,3286869829
react_moa_mcts_x3_L,measured,6,6606114832,3325400476,50.34,3243343195,82057281,3325400476,18300,2364,3284103034
react_moa_mcts_x3_L,measured,7,6522214492,3311403415,50.77,3230383890,81019525,3311403415,18300,2364,3268758222
