workload,phase,call_id,op_index,op_type,engine,instances,gpu_ns_mean,gpu_ns_median,gpu_ns_min,gpu_ns_max,gpu_ns_stdev,nvtx_cpu_ns_mean,nvtx_cpu_ns_median,nvtx_cpu_ns_min,nvtx_cpu_ns_max,kernels_per_instance,gpu_over_cpu_pct,kernel_families
react_moa_mcts_x3_L,measured,mcts-actor0#r0,6,RMSNormOp,ve,8,15950596.4,15874599.5,15815332,16288603,167323.5,16208552,16141298.0,16067474,16539139,224,98.4,copy|elementwise_binary|elementwise_unary|reduce
react_moa_mcts_x3_L,measured,mcts-actor0#r0,7,AddOp,ve,8,610925.8,604318.5,601453,625037,9782.8,719081.2,700306.5,694583,757490,32,85.0,elementwise_binary
react_moa_mcts_x3_L,measured,mcts-actor0#r0,8,RMSNormOp,ve,8,15909919.5,15804198.5,15775624,16273042,182921.9,16135004,16054367.5,15998175,16479649,224,98.6,copy|elementwise_binary|elementwise_unary|reduce
react_moa_mcts_x3_L,measured,mcts-actor0#r0,10,LinearOp,me,8,25757707.1,25798711.5,25534091,25892257,128623.3,25995381.9,26033189.5,25728980,26086949,32,99.1,gemm|memset
react_moa_mcts_x3_L,measured,mcts-actor0#r0,11,LinearOp,me,8,26477057,26541241.0,25957459,26988223,358519.0,26639028.8,26678477.0,26085224,27172442,32,99.4,gemm|memset
react_moa_mcts_x3_L,measured,mcts-actor0#r0,12,LinearOp,me,8,26631328.5,26585127.5,25961518,27240282,442982.9,26782806.2,26758466.0,26097408,27372607,32,99.4,gemm|memset
react_moa_mcts_x3_L,measured,mcts-actor0#r0,13,ViewOp,de,8,0,0.0,0,0,0.0,159130.1,150250.0,141532,224187,0,0.0,
react_moa_mcts_x3_L,measured,mcts-actor0#r0,14,TransposeOp,de,8,7274754,7282934.0,6846672,7690810,233262.6,7427217.1,7411238.0,6968712,7859654,32,97.9,copy
react_moa_mcts_x3_L,measured,mcts-actor0#r0,,call_overhead,,8,2905917.5,2877338.5,2845293,3111588,79937.5,,,,,2,,elementwise_binary|memcpy|rng_init
react_moa_mcts_x3_L,measured,mcts-actor0#r1,6,RMSNormOp,ve,8,16176838.1,16193261.5,15805126,16320538,153507.6,16433271.1,16447232.5,16055554,16583948,224,98.4,copy|elementwise_binary|elementwise_unary|reduce
react_moa_mcts_x3_L,measured,mcts-actor0#r1,7,AddOp,ve,8,610685.5,604782.0,603246,644364,13083.3,709075.1,706853.5,694646,741156,32,86.1,elementwise_binary
react_moa_mcts_x3_L,measured,mcts-actor0#r1,8,RMSNormOp,ve,8,16005097.5,15993221.5,15772805,16253248,211379.6,16223267.1,16210841.5,15984918,16480679,224,98.7,copy|elementwise_binary|elementwise_unary|reduce
react_moa_mcts_x3_L,measured,mcts-actor0#r1,10,LinearOp,me,8,25880087.8,25895546.0,25527052,26191316,221352.7,26073150,26081978.0,25725849,26394065,32,99.3,gemm|memset
react_moa_mcts_x3_L,measured,mcts-actor0#r1,11,LinearOp,me,8,26277620,26171554.0,25874199,26901637,379648.5,26419724.9,26298634.5,26031100,27036756,32,99.5,gemm|memset
react_moa_mcts_x3_L,measured,mcts-actor0#r1,12,LinearOp,me,8,26458490.9,26305436.5,25707103,27704805,622049.2,26616503.5,26455637.5,25846725,27839362,32,99.4,gemm|memset
react_moa_mcts_x3_L,measured,mcts-actor0#r1,13,ViewOp,de,8,0,0.0,0,0,0.0,169876,160932.0,137221,239417,0,0.0,
react_moa_mcts_x3_L,measured,mcts-actor0#r1,14,TransposeOp,de,8,7168130.2,7211783.5,6911602,7273864,125136.7,7300607.8,7353867.0,7045674,7403061,32,98.2,copy
react_moa_mcts_x3_L,measured,mcts-actor0#r1,,call_overhead,,8,3002990.2,2947751.0,2868363,3395162,162013.7,,,,,2,,elementwise_binary|memcpy|rng_init
react_moa_mcts_x3_L,measured,mcts-actor0#r2,6,RMSNormOp,ve,8,15917757.9,15829624.0,15789576,16261177,176883.6,16302129.1,16081338.5,16051784,17098108,224,97.6,copy|elementwise_binary|elementwise_unary|reduce
react_moa_mcts_x3_L,measured,mcts-actor0#r2,7,AddOp,ve,8,609102,603902.5,601550,646476,14208.8,716951.1,718098.0,689991,759216,32,85.0,elementwise_binary
react_moa_mcts_x3_L,measured,mcts-actor0#r2,8,RMSNormOp,ve,8,16094227.8,16155661.5,15786307,16293054,181550.0,16313622.1,16389853.5,16004688,16507748,224,98.7,copy|elementwise_binary|elementwise_unary|reduce
react_moa_mcts_x3_L,measured,mcts-actor0#r2,10,LinearOp,me,8,25790443.6,25831180.0,25539207,26174449,198813.8,25987752.9,26032387.0,25721920,26391608,32,99.2,gemm|memset
