Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
96.1,33595246583,3300,10180377.8,6605043.0,1609,27055760,10019862.9,cudaEventSynchronize
3.1,1097980110,198132,5541.7,4361.0,3507,54387604,162151.6,cudaLaunchKernel
0.3,89881758,25344,3546.5,3151.0,2589,31620,1623.1,cudaMemsetAsync
0.1,35395491,14,2528249.4,2184170.5,760191,6128042,1760009.7,cuLibraryLoadData
0.1,33848113,7260,4662.3,3503.5,1016,569845,10543.1,cudaEventRecord
0.1,32587018,2,16293509.0,16293509.0,14147444,18439574,3034994.2,cudaHostAlloc
0.0,15540246,660,23545.8,23460.0,10191,39749,3964.9,cudaMemcpyAsync
0.0,15379980,6620,2323.3,1712.0,589,27465,2381.7,cudaEventCreateWithFlags
0.0,14393184,3168,4543.3,4226.5,3566,24981,1321.5,cuLaunchKernel
0.0,8629490,6600,1307.5,942.0,472,1016837,12523.8,cudaEventDestroy
0.0,7281418,3168,2298.4,401.0,309,5804903,103127.4,cuKernelGetFunction
0.0,5173862,2,2586931.0,2586931.0,1773271,3400591,1150689.0,cudaGetDeviceProperties
0.0,3064522,658,4657.3,5086.0,767,16187,3462.9,cudaEventQuery
0.0,2714772,1,2714772.0,2714772.0,2714772,2714772,0.0,cudaFree
0.0,2251360,13,173181.5,186490.0,5456,329586,86511.9,cudaMalloc
0.0,951435,1000,951.4,587.0,354,21935,976.6,cudaStreamIsCapturing
0.0,240235,838,286.7,249.0,160,2285,143.8,cuGetProcAddress_v2
0.0,129344,11,11758.5,10092.0,6522,17390,4423.4,cudaDeviceSynchronize
0.0,49392,14,3528.0,4655.5,596,6050,2252.0,cuLibraryGetKernel
0.0,9390,3,3130.0,3105.0,2539,3746,603.9,cuInit
0.0,5061,3,1687.0,256.0,210,4595,2518.5,cuModuleGetLoadingMode
0.0,2173,2,1086.5,1086.5,727,1446,508.4,cudaGetDriverEntryPoint
