workload,phase,iteration,call_id,op_index,op_type,engine,attribution_basis,nvtx_cpu_ns,nvtx_start,gpu_work_ns,kernel_ns,memcpy_memset_ns,kernel_count,memcpy_memset_count,launch_to_gpu_start_ns,gpu_span_ns,kernel_families,kernel_names
react_tool,measured,0,plan,,call_overhead,,gap_before_operator,,,87439,4991,82448,2,1,15061,232946,elementwise_binary|memcpy|rng_init,"memcpy_Host-to-Device|void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (|void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor"
react_tool,measured,0,answer,,call_overhead,,gap_before_operator,,,269259,4991,264268,2,3,14002,10194279,elementwise_binary|memcpy|rng_init,"memcpy_Device-to-Host|memcpy_Host-to-Device|void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (|void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor"
react_tool,measured,0,plan,6,RMSNormOp,ve,nvtx_operator_range,290540,3395415059,15902,15902,0,7,0,10276,142820,copy|elementwise_binary|elementwise_unary|reduce,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda|void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed|void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at:|void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOn|void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_|void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kerne|void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_"
react_tool,measured,0,plan,7,AddOp,ve,nvtx_operator_range,101352,3395716792,1440,1440,0,1,0,9458,1440,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctorOn"
react_tool,measured,0,plan,8,RMSNormOp,ve,nvtx_operator_range,231943,3395825297,15453,15453,0,7,0,10730,122952,copy|elementwise_binary|elementwise_unary|reduce,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda|void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed|void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at:|void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOn|void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_|void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kerne|void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_"
react_tool,measured,0,plan,10,LinearOp,me,nvtx_operator_range,169222,3396065297,12893,12445,448,1,1,12607,22587,gemm|memset,memset|void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_nn_
react_tool,measured,0,plan,11,LinearOp,me,nvtx_operator_range,127209,3396243550,12765,12349,416,1,1,8819,21339,gemm|memset,memset|void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_nn_
react_tool,measured,0,plan,12,LinearOp,me,nvtx_operator_range,114790,3396378658,12669,12253,416,1,1,7606,20892,gemm|memset,memset|void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_nn_
react_tool,measured,0,plan,13,ViewOp,de,nvtx_operator_range,74719,3396500830,0,0,0,0,0,,,,
react_tool,measured,0,plan,14,TransposeOp,de,nvtx_operator_range,128868,3396581429,9470,9470,0,1,0,12463,9470,copy,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kerne"
react_tool,measured,0,answer,6,RMSNormOp,ve,nvtx_operator_range,273067,3405539484,15804,15804,0,7,0,10935,137157,copy|elementwise_binary|elementwise_unary|reduce,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda|void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed|void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at:|void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOn|void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_|void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kerne|void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_"
react_tool,measured,0,answer,7,AddOp,ve,nvtx_operator_range,102162,3405822974,1472,1472,0,1,0,10198,1472,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctorOn"
react_tool,measured,0,answer,8,RMSNormOp,ve,nvtx_operator_range,230411,3405932231,15134,15134,0,7,0,9066,124520,copy|elementwise_binary|elementwise_unary|reduce,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda|void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed|void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at:|void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOn|void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_|void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kerne|void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_"
react_tool,measured,0,answer,10,LinearOp,me,nvtx_operator_range,174009,3406171159,12893,12446,447,1,1,12179,22939,gemm|memset,memset|void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_nn_
react_tool,measured,0,answer,11,LinearOp,me,nvtx_operator_range,120621,3406354220,12702,12254,448,1,1,7756,20732,gemm|memset,memset|void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_nn_
react_tool,measured,0,answer,12,LinearOp,me,nvtx_operator_range,112395,3406483801,12669,12221,448,1,1,7125,21339,gemm|memset,memset|void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_nn_
react_tool,measured,0,answer,13,ViewOp,de,nvtx_operator_range,74089,3406603613,0,0,0,0,0,,,,
react_tool,measured,0,answer,14,TransposeOp,de,nvtx_operator_range,129744,3406683567,9406,9406,0,1,0,11823,9406,copy,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kerne"
react_tool,measured,1,plan,,call_overhead,,gap_before_operator,,,85135,4991,80144,2,1,15748,227923,elementwise_binary|memcpy|rng_init,"memcpy_Host-to-Device|void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (|void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor"
react_tool,measured,1,answer,,call_overhead,,gap_before_operator,,,282697,4991,277706,2,3,19008,10214307,elementwise_binary|memcpy|rng_init,"memcpy_Device-to-Host|memcpy_Host-to-Device|void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (|void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor"
react_tool,measured,1,plan,6,RMSNormOp,ve,nvtx_operator_range,289413,3414103387,15807,15807,0,7,0,9335,155074,copy|elementwise_binary|elementwise_unary|reduce,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda|void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed|void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at:|void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOn|void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_|void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kerne|void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_"
react_tool,measured,1,plan,7,AddOp,ve,nvtx_operator_range,102658,3414404487,1439,1439,0,1,0,9488,1439,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctorOn"
