workload,phase,call_id,op_index,op_type,engine,instances,gpu_ns_mean,gpu_ns_median,gpu_ns_min,gpu_ns_max,gpu_ns_stdev,nvtx_cpu_ns_mean,nvtx_cpu_ns_median,nvtx_cpu_ns_min,nvtx_cpu_ns_max,kernels_per_instance,gpu_over_cpu_pct,kernel_families
react_tool,measured,answer,6,RMSNormOp,ve,20,19850.5,15804.0,15707,96909,17678.5,266516.7,269621.0,228146,298271,7,7.4,copy|elementwise_binary|elementwise_unary|reduce
react_tool,measured,answer,7,AddOp,ve,20,2572.3,1440.0,1439,23835,4878.0,107124.8,101543.5,92876,161804,1,2.4,elementwise_binary
react_tool,measured,answer,8,RMSNormOp,ve,20,17012.6,15484.5,15133,47318,6955.0,240060.1,230706.0,207383,290823,7,7.1,copy|elementwise_binary|elementwise_unary|reduce
react_tool,measured,answer,10,LinearOp,me,20,12845.4,12829.0,12733,12989,62.1,147924.5,152552.5,127645,174009,1,8.7,gemm|memset
react_tool,measured,answer,11,LinearOp,me,20,12743,12718.0,12636,12958,88.6,155674.1,116908.0,105908,853409,1,8.2,gemm|memset
react_tool,measured,answer,12,LinearOp,me,20,12735.3,12734.0,12669,12830,48.9,113041.4,111256.5,102368,139423,1,11.3,gemm|memset
react_tool,measured,answer,13,ViewOp,de,20,0,0.0,0,0,0.0,72736.9,72565.0,65917,87675,0,0.0,
react_tool,measured,answer,14,TransposeOp,de,20,9388.6,9374.5,9310,9471,47.9,125435.5,127761.5,110238,143947,1,7.5,copy
react_tool,measured,answer,,call_overhead,,20,240853.7,267516.0,161633,282697,43768.2,,,,,2,,elementwise_binary|memcpy|rng_init
react_tool,measured,plan,6,RMSNormOp,ve,20,15904.3,15902.0,15804,15996,55.4,267891.2,272611.5,227844,297232,7,5.9,copy|elementwise_binary|elementwise_unary|reduce
react_tool,measured,plan,7,AddOp,ve,20,1444.5,1440.0,1439,1472,11.6,100671.1,100434.5,92438,112812,1,1.4,elementwise_binary
react_tool,measured,plan,8,RMSNormOp,ve,20,15411,15484.5,15067,15549,157.5,227608.5,229340.0,204826,255497,7,6.8,copy|elementwise_binary|elementwise_unary|reduce
react_tool,measured,plan,10,LinearOp,me,20,12837.2,12829.0,12734,12958,54.4,148515.6,149917.5,126312,178098,1,8.6,gemm|memset
react_tool,measured,plan,11,LinearOp,me,20,12720.4,12716.5,12605,12925,69.0,118207.3,118251.0,105881,131774,1,10.8,gemm|memset
react_tool,measured,plan,12,LinearOp,me,20,12696.7,12701.0,12542,12798,56.5,111591.4,110302.0,103709,132914,1,11.4,gemm|memset
react_tool,measured,plan,13,ViewOp,de,20,0,0.0,0,0,0.0,78353.6,72448.0,66993,138412,0,0.0,
react_tool,measured,plan,14,TransposeOp,de,20,9402.9,9406.0,9342,9502,46.1,129254.6,127066.5,112087,162854,1,7.3,copy
react_tool,measured,plan,,call_overhead,,20,79227.8,85599.0,58645,91117,11529.6,,,,,2,,elementwise_binary|memcpy|rng_init
react_tool,warmup,answer,6,RMSNormOp,ve,5,15874.6,15868,15709,16091,123.2,314001.2,292852,287286,404011,7,5.1,copy|elementwise_binary|elementwise_unary|reduce
react_tool,warmup,answer,7,AddOp,ve,5,1452.6,1440,1439,1472,15.8,110086.4,105877,101574,121797,1,1.3,elementwise_binary
react_tool,warmup,answer,8,RMSNormOp,ve,5,15381.8,15453,15131,15516,141.2,251172.6,256935,230519,278881,7,6.1,copy|elementwise_binary|elementwise_unary|reduce
react_tool,warmup,answer,10,LinearOp,me,5,12842.2,12862,12765,12893,51.9,174908.8,176097,155619,195428,1,7.3,gemm|memset
react_tool,warmup,answer,11,LinearOp,me,5,13527,12734,12702,16701,1587.1,127616.2,126918,120060,135609,1,10.6,gemm|memset
react_tool,warmup,answer,12,LinearOp,me,5,44119.4,12701,12637,169823,62851.8,154050.8,113552,110814,317038,1,28.6,gemm|memset
react_tool,warmup,answer,13,ViewOp,de,5,0,0,0,0,0.0,79942.8,77106,75997,89848,0,0.0,
react_tool,warmup,answer,14,TransposeOp,de,5,9399.6,9406,9374,9406,12.8,144191.4,132934,129864,168645,1,6.5,copy
react_tool,warmup,answer,,call_overhead,,5,266366,266794,263532,268843,2214.8,,,,,2,,elementwise_binary|memcpy|rng_init
react_tool,warmup,plan,6,RMSNormOp,ve,5,16118.4,15870,15836,17053,471.0,35574830.2,304357,272409,176716079,7,0.0,copy|elementwise_binary|elementwise_unary|reduce
react_tool,warmup,plan,7,AddOp,ve,5,1458.8,1471,1440,1472,15.4,150728.8,104631,99824,327344,1,1.0,elementwise_binary
react_tool,warmup,plan,8,RMSNormOp,ve,5,15587.4,15486,15358,16028,231.3,288495,251987,242276,450554,7,5.4,copy|elementwise_binary|elementwise_unary|reduce
react_tool,warmup,plan,10,LinearOp,me,5,12887,12894,12797,12926,47.2,50815856.2,158393,154824,253437190,1,0.0,gemm|memset
react_tool,warmup,plan,11,LinearOp,me,5,12708.2,12734,12637,12766,47.3,156613.8,120367,119958,300588,1,8.1,gemm|memset
react_tool,warmup,plan,12,LinearOp,me,5,12797,12829,12733,12829,40.5,122432.2,111895,110358,165347,1,10.5,gemm|memset
react_tool,warmup,plan,13,ViewOp,de,5,0,0,0,0,0.0,95968.8,75239,74878,176871,0,0.0,
react_tool,warmup,plan,14,TransposeOp,de,5,9399.6,9406,9374,9438,23.9,197888.2,137344,129536,450013,1,4.7,copy
react_tool,warmup,plan,,call_overhead,,5,86466.2,87119,83440,88015,1593.5,,,,,2,,elementwise_binary|memcpy|rng_init
