Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
69.8,205136237,900,227929.2,7424.5,5179,68906558,2937240.1,cudaLaunchKernel
15.6,45975035,14,3283931.1,2708438.5,937014,8934659,2560106.0,cuLibraryLoadData
2.8,8235538,150,54903.6,974.5,696,8044789,656750.0,cuKernelGetFunction
2.5,7200149,500,14400.3,2658.0,1597,205044,24885.6,cudaEventSynchronize
1.9,5578970,2,2789485.0,2789485.0,1626742,3952228,1644366.9,cudaGetDeviceProperties
1.7,5118263,1100,4653.0,4088.5,1354,79860,3431.8,cudaEventRecord
1.1,3281767,1,3281767.0,3281767.0,3281767,3281767,0.0,cudaFree
1.0,2908234,2,1454117.0,1454117.0,1423305,1484929,43574.7,cudaHostAlloc
0.8,2295523,150,15303.5,9830.5,7648,714583,57619.9,cuLaunchKernel
0.7,2070599,1020,2030.0,1616.5,513,16689,1454.6,cudaEventCreateWithFlags
0.5,1557759,100,15577.6,15613.5,10673,41262,3673.1,cudaMemcpyAsync
0.4,1199277,150,7995.2,6669.0,4684,32716,3332.5,cudaMemsetAsync
0.4,1147472,1000,1147.5,1126.0,673,11553,591.5,cudaEventDestroy
0.3,995791,5,199158.2,235027.0,9175,385726,147004.1,cudaMalloc
0.1,386315,98,3942.0,3049.0,773,9552,3042.8,cudaEventQuery
0.1,284397,838,339.4,244.0,148,2778,235.9,cuGetProcAddress_v2
0.1,166893,152,1098.0,786.0,517,17400,1462.7,cudaStreamIsCapturing
0.1,148922,25,5956.9,5927.0,4317,10316,1200.8,cudaDeviceSynchronize
0.0,70952,14,5068.0,6827.0,780,8172,3243.9,cuLibraryGetKernel
0.0,10669,3,3556.3,3360.0,2616,4693,1052.3,cuInit
0.0,8330,3,2776.7,228.0,216,7886,4424.8,cuModuleGetLoadingMode
0.0,3809,2,1904.5,1904.5,1095,2714,1144.8,cudaGetDriverEntryPoint
