workload,phase,iteration,wall_ns,gpu_busy_union_ns,gpu_busy_pct,operator_gpu_ns,call_overhead_gpu_ns,sum_attributed_gpu_ns,kernel_launches,memcpy_memset,operator_nvtx_cpu_ns
react_tool_L,warmup,0,706804790,102323587,14.48,98315087,4008500,102323587,1220,4,474412469
react_tool_L,warmup,1,277129183,101564740,36.65,98195129,3369611,101564740,1220,4,102358020
react_tool_L,warmup,2,268071998,99166934,36.99,95824460,3342474,99166934,1220,4,98712671
react_tool_L,measured,0,239444092,96535444,40.32,93163756,3371688,96535444,1220,4,95824667
react_tool_L,measured,1,236800914,96364830,40.69,92986516,3378314,96364830,1220,4,95875182
react_tool_L,measured,2,231283356,96219131,41.6,92859345,3359786,96219131,1220,4,95570466
react_tool_L,measured,3,234225893,96429621,41.17,93180614,3249007,96429621,1220,4,96075326
react_tool_L,measured,4,237510211,96993039,40.84,93661573,3331466,96993039,1220,4,96497602
react_tool_L,measured,5,237874807,96795090,40.69,93502884,3292206,96795090,1220,4,96148624
react_tool_L,measured,6,259322204,96401043,37.17,93029610,3371433,96401043,1220,4,97265469
react_tool_L,measured,7,239263615,96567468,40.36,92997033,3570435,96567468,1220,4,95693963
