workload,phase,iteration,call_id,op_index,op_type,engine,attribution_basis,nvtx_cpu_ns,nvtx_start,gpu_work_ns,kernel_ns,memcpy_memset_ns,kernel_count,memcpy_memset_count,launch_to_gpu_start_ns,gpu_span_ns,kernel_families,kernel_names
react_tool_L,measured,0,plan,,call_overhead,,gap_before_operator,,,806339,28895,777444,2,1,23374,992221,elementwise_binary|memcpy|rng_init,"memcpy_Host-to-Device|void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (|void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor"
react_tool_L,measured,0,answer,,call_overhead,,gap_before_operator,,,2565349,28863,2536486,2,3,20389,121754980,elementwise_binary|memcpy|rng_init,"memcpy_Device-to-Host|memcpy_Host-to-Device|void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (|void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor"
react_tool_L,measured,0,plan,6,RMSNormOp,ve,nvtx_operator_range,4297389,3828754460,4041075,4041075,0,224,0,8859,4185774,copy|elementwise_binary|elementwise_unary|reduce,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda|void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed|void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at:|void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOn|void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_|void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kerne|void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_"
react_tool_L,measured,0,plan,7,AddOp,ve,nvtx_operator_range,527238,3833064014,331701,331701,0,32,0,10080,432561,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctorOn"
react_tool_L,measured,0,plan,8,RMSNormOp,ve,nvtx_operator_range,4337788,3833598050,4128499,4128499,0,224,0,7474,4274378,copy|elementwise_binary|elementwise_unary|reduce,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda|void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed|void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at:|void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOn|void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_|void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kerne|void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_"
react_tool_L,measured,0,plan,10,LinearOp,me,nvtx_operator_range,11232470,3837944639,11076638,11076638,0,32,0,28367,11096093,gemm,ampere_fp16_s1688gemm_fp16_64x128_sliced1x2_ldg8_f2f_nn
react_tool_L,measured,0,plan,11,LinearOp,me,nvtx_operator_range,11532864,3849184690,11445169,11445169,0,32,0,7625,11465488,gemm,ampere_fp16_s1688gemm_fp16_64x128_sliced1x2_ldg8_f2f_nn
react_tool_L,measured,0,plan,12,LinearOp,me,nvtx_operator_range,11701436,3860724906,11612715,11612715,0,32,0,7313,11633034,gemm,ampere_fp16_s1688gemm_fp16_64x128_sliced1x2_ldg8_f2f_nn
react_tool_L,measured,0,plan,13,ViewOp,de,nvtx_operator_range,155015,3872443166,0,0,0,0,0,,,,
react_tool_L,measured,0,plan,14,TransposeOp,de,nvtx_operator_range,4430599,3872603766,4303594,4303594,0,32,0,11764,4324905,copy,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kerne"
