workload,phase,call_id,op_index,op_type,engine,instances,gpu_ns_mean,gpu_ns_median,gpu_ns_min,gpu_ns_max,gpu_ns_stdev,nvtx_cpu_ns_mean,nvtx_cpu_ns_median,nvtx_cpu_ns_min,nvtx_cpu_ns_max,kernels_per_instance,gpu_over_cpu_pct,kernel_families
react_tool_L,measured,answer,6,RMSNormOp,ve,8,4163797.1,4150364.5,4043187,4528514,146579.2,4510695.6,4413786.0,4307874,4932295,224,92.3,copy|elementwise_binary|elementwise_unary|reduce
react_tool_L,measured,answer,7,AddOp,ve,8,323963.6,324214.0,321461,325490,1361.8,591380,570460.5,547908,742503,32,54.8,elementwise_binary
react_tool_L,measured,answer,8,RMSNormOp,ve,8,4032611.5,4020196.5,4010292,4088245,28118.6,4323913.2,4239965.0,4223918,4841657,224,93.3,copy|elementwise_binary|elementwise_unary|reduce
react_tool_L,measured,answer,10,LinearOp,me,8,11373350.8,11431776.5,11126171,11458928,121124.0,11531643.5,11603750.5,11289721,11625110,32,98.6,gemm
react_tool_L,measured,answer,11,LinearOp,me,8,11221440,11094301.0,11064574,11474798,185127.3,11339131.2,11235293.5,11177926,11564999,32,99.0,gemm
react_tool_L,measured,answer,12,LinearOp,me,8,11364695.4,11456417.0,11095421,11493358,156283.0,11471099.9,11545017.0,11187317,11647550,32,99.1,gemm
react_tool_L,measured,answer,13,ViewOp,de,8,0,0.0,0,0,0.0,153709.2,153209.0,142272,170450,0,0.0,
react_tool_L,measured,answer,14,TransposeOp,de,8,4133667.5,4061330.5,3987124,4399943,151083.7,4261208.9,4187321.0,4122430,4525181,32,97.0,copy
react_tool_L,measured,answer,,call_overhead,,8,2527499.5,2512583.5,2409804,2730657,88240.8,,,,,2,,elementwise_binary|memcpy|rng_init
react_tool_L,measured,plan,6,RMSNormOp,ve,8,4136240.2,4126014.5,4041075,4376138,102583.5,4399886.9,4392584.0,4297389,4644389,224,94.0,copy|elementwise_binary|elementwise_unary|reduce
react_tool_L,measured,plan,7,AddOp,ve,8,323612.1,323074.0,319571,331701,3490.5,557144.4,561429.0,527238,578176,32,58.1,elementwise_binary
react_tool_L,measured,plan,8,RMSNormOp,ve,8,4049419.9,4017269.5,4011250,4140461,50988.7,4280295.5,4239160.5,4218289,4498962,224,94.6,copy|elementwise_binary|elementwise_unary|reduce
react_tool_L,measured,plan,10,LinearOp,me,8,11281794.4,11318901.5,11076638,11440145,153876.3,11432704.2,11460603.5,11232470,11613572,32,98.7,gemm
react_tool_L,measured,plan,11,LinearOp,me,8,11230692.1,11152969.5,11051071,11466192,172124.9,11338110.4,11279510.0,11141953,11556012,32,99.1,gemm
react_tool_L,measured,plan,12,LinearOp,me,8,11414937.4,11473967.5,11097885,11638281,192272.3,11521353.4,11568363.5,11209666,11736838,32,99.1,gemm
react_tool_L,measured,plan,13,ViewOp,de,8,0,0.0,0,0,0.0,159153.8,154784.5,137690,189933,0,0.0,
react_tool_L,measured,plan,14,TransposeOp,de,8,4122444.4,4081585.0,3987285,4303594,126889.0,4247482.2,4202558.0,4099368,4430599,32,97.1,copy
react_tool_L,measured,plan,,call_overhead,,8,838042.4,839490.5,806339,864738,17338.1,,,,,2,,elementwise_binary|memcpy|rng_init
react_tool_L,warmup,answer,6,RMSNormOp,ve,3,4086341.3,4087793,4039473,4131758,37689.2,4697330,4468564,4293814,5329612,224,87.0,copy|elementwise_binary|elementwise_unary|reduce
