Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
72.3,873073955,220,3968518.0,1140055.5,1693,11394677,4599511.5,cudaEventSynchronize
20.6,249495071,13420,18591.3,4571.0,3749,62930528,699736.6,cudaLaunchKernel
3.2,38289450,14,2734960.7,2277051.0,782829,6988689,1965797.4,cuLibraryLoadData
2.8,33462299,2,16731149.5,16731149.5,15920599,17541700,1146291.5,cudaHostAlloc
0.3,3723338,2,1861669.0,1861669.0,1592665,2130673,380429.1,cudaGetDeviceProperties
0.2,2692242,1,2692242.0,2692242.0,2692242,2692242,0.0,cudaFree
0.2,2360098,484,4876.2,3587.5,1253,39899,4809.2,cudaEventRecord
0.1,1707845,10,170784.5,190946.5,7542,302744,86482.0,cudaMalloc
0.1,1154019,44,26227.7,25732.5,20364,37306,3421.0,cudaMemcpyAsync
0.1,1113576,460,2420.8,1728.0,532,13937,2425.2,cudaEventCreateWithFlags
0.1,621132,440,1411.7,1213.0,536,9123,824.6,cudaEventDestroy
0.0,244792,838,292.1,249.0,160,2379,148.9,cuGetProcAddress_v2
0.0,205119,42,4883.8,4238.5,1100,10157,3654.0,cudaEventQuery
0.0,101787,73,1394.3,656.0,377,17161,2115.9,cudaStreamIsCapturing
0.0,82251,11,7477.4,7213.0,6685,9158,809.2,cudaDeviceSynchronize
0.0,55706,14,3979.0,5208.0,686,6723,2519.4,cuLibraryGetKernel
0.0,8585,3,2861.7,2998.0,2093,3494,710.4,cuInit
0.0,5526,3,1842.0,256.0,242,5028,2759.2,cuModuleGetLoadingMode
0.0,2921,2,1460.5,1460.5,768,2153,979.3,cudaGetDriverEntryPoint
