Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
15.3,706804790,1,706804790.0,706804790.0,706804790,706804790,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=0
7.3,337107101,11,30646100.1,11581812.0,11232470,221274306,63225121.2,PushPop,:agentsys.mllm::plan::10::LinearOp
6.0,277129183,1,277129183.0,277129183.0,277129183,277129183,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=1
5.8,268071998,1,268071998.0,268071998.0,268071998,268071998,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=2
5.6,259322204,1,259322204.0,259322204.0,259322204,259322204,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=6
5.2,239444092,1,239444092.0,239444092.0,239444092,239444092,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=0
5.2,239263615,1,239263615.0,239263615.0,239263615,239263615,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=7
5.2,237874807,1,237874807.0,237874807.0,237874807,237874807,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=5
5.1,237510211,1,237510211.0,237510211.0,237510211,237510211,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=4
5.1,236800914,1,236800914.0,236800914.0,236800914,236800914,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=1
5.1,234225893,1,234225893.0,234225893.0,234225893,234225893,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=3
5.0,231283356,1,231283356.0,231283356.0,231283356,231283356,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=2
4.6,211770496,11,19251863.3,4418343.0,4297389,167700951,49235089.6,PushPop,:agentsys.mllm::plan::6::RMSNormOp
2.8,128604609,11,11691328.1,11643930.0,11209666,12264083,344632.8,PushPop,:agentsys.mllm::plan::12::LinearOp
2.8,128054580,11,11641325.5,11605743.0,11289721,12296076,272555.1,PushPop,:agentsys.mllm::answer::10::LinearOp
2.8,127216116,11,11565101.5,11554731.0,11187317,12277134,312409.1,PushPop,:agentsys.mllm::answer::12::LinearOp
2.8,127013546,11,11546686.0,11506260.0,11141953,12251871,390612.1,PushPop,:agentsys.mllm::plan::11::LinearOp
2.7,126757385,11,11523398.6,11535760.0,11177926,12258492,394527.4,PushPop,:agentsys.mllm::answer::11::LinearOp
1.1,50177555,11,4561595.9,4416010.0,4293814,5329612,329306.3,PushPop,:agentsys.mllm::answer::6::RMSNormOp
1.0,48142374,11,4376579.5,4386639.0,4099368,5202584,312653.0,PushPop,:agentsys.mllm::plan::14::TransposeOp
1.0,47651543,11,4331958.5,4240125.0,4114780,4961838,261901.4,PushPop,:agentsys.mllm::answer::14::TransposeOp
1.0,47613792,11,4328526.5,4285087.0,4223918,4841657,180700.7,PushPop,:agentsys.mllm::answer::8::RMSNormOp
1.0,47291217,11,4299201.5,4266488.0,4218289,4498962,88631.9,PushPop,:agentsys.mllm::plan::8::RMSNormOp
0.1,6732561,11,612051.0,569241.0,527238,850831,102393.3,PushPop,:agentsys.mllm::plan::7::AddOp
0.1,6637154,11,603377.6,570464.0,547908,742503,64786.3,PushPop,:agentsys.mllm::answer::7::AddOp
0.0,1905890,11,173262.7,162389.0,137690,247586,32113.2,PushPop,:agentsys.mllm::plan::13::ViewOp
0.0,1758540,11,159867.3,154555.0,142272,187651,15423.2,PushPop,:agentsys.mllm::answer::13::ViewOp
