workload,phase,iteration,wall_ns,gpu_busy_union_ns,gpu_busy_pct,operator_gpu_ns,call_overhead_gpu_ns,sum_attributed_gpu_ns,kernel_launches,memcpy_memset,operator_nvtx_cpu_ns
react_tool_L_it1,warmup,0,586366329,6298921,1.07,3076965,3221956,6298921,42,4,358443979
react_tool_L_it1,warmup,1,180866571,6499046,3.59,3089991,3409055,6499046,42,4,4806446
react_tool_L_it1,warmup,2,180144455,6427911,3.57,3058121,3369790,6427911,42,4,4662631
react_tool_L_it1,measured,0,181479628,6463207,3.56,3051561,3411646,6463207,42,4,4736924
react_tool_L_it1,measured,1,181141327,6403178,3.53,3052425,3350753,6403178,42,4,4984049
react_tool_L_it1,measured,2,180531213,6448550,3.57,3093128,3355422,6448550,42,4,4653648
react_tool_L_it1,measured,3,180242811,6358222,3.53,3049804,3308418,6358222,42,4,4689129
react_tool_L_it1,measured,4,181102257,6374732,3.52,3053548,3321184,6374732,42,4,4802702
react_tool_L_it1,measured,5,180968530,6546945,3.62,3112196,3434749,6546945,42,4,4853194
react_tool_L_it1,measured,6,182983301,6844991,3.74,3107115,3737876,6844991,42,4,6495833
react_tool_L_it1,measured,7,181581629,6438437,3.55,3055751,3382686,6438437,42,4,4775930
