workload,phase,iteration,call_id,op_index,op_type,engine,attribution_basis,nvtx_cpu_ns,nvtx_start,gpu_work_ns,kernel_ns,memcpy_memset_ns,kernel_count,memcpy_memset_count,launch_to_gpu_start_ns,gpu_span_ns,kernel_families,kernel_names
react_tool_L_it1,measured,0,plan,,call_overhead,,gap_before_operator,,,852807,31807,821000,2,1,23222,1055362,elementwise_binary|memcpy|rng_init,"memcpy_Host-to-Device|void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (|void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor"
react_tool_L_it1,measured,0,answer,,call_overhead,,gap_before_operator,,,2558839,31711,2527128,2,3,12150,93164985,elementwise_binary|memcpy|rng_init,"memcpy_Device-to-Host|memcpy_Host-to-Device|void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (|void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor"
react_tool_L_it1,measured,0,plan,6,RMSNormOp,ve,nvtx_operator_range,326728,3452246995,143517,143517,0,7,0,10066,184827,copy|elementwise_binary|elementwise_unary|reduce,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda|void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed|void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at:|void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOn|void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_|void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kerne|void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_"
react_tool_L_it1,measured,0,plan,7,AddOp,ve,nvtx_operator_range,123215,3452587145,11391,11391,0,1,0,8690,11391,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctorOn"
react_tool_L_it1,measured,0,plan,8,RMSNormOp,ve,nvtx_operator_range,221555,3452718404,126653,126653,0,7,0,9334,133148,copy|elementwise_binary|elementwise_unary|reduce,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda|void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed|void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at:|void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOn|void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_|void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kerne|void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_"
react_tool_L_it1,measured,0,plan,10,LinearOp,me,nvtx_operator_range,515478,3452948050,371893,371893,0,1,0,10512,371893,gemm,ampere_fp16_s1688gemm_fp16_64x128_sliced1x2_ldg8_f2f_nn
react_tool_L_it1,measured,0,plan,11,LinearOp,me,nvtx_operator_range,447172,3453470642,370230,370230,0,1,0,8592,370230,gemm,ampere_fp16_s1688gemm_fp16_64x128_sliced1x2_ldg8_f2f_nn
react_tool_L_it1,measured,0,plan,12,LinearOp,me,nvtx_operator_range,439176,3453924878,370261,370261,0,1,0,7355,370261,gemm,ampere_fp16_s1688gemm_fp16_64x128_sliced1x2_ldg8_f2f_nn
react_tool_L_it1,measured,0,plan,13,ViewOp,de,nvtx_operator_range,83220,3454371752,0,0,0,0,0,,,,
react_tool_L_it1,measured,0,plan,14,TransposeOp,de,nvtx_operator_range,233558,3454461423,132957,132957,0,1,0,11233,132957,copy,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kerne"
