workload,phase,call_id,op_index,op_type,engine,instances,gpu_ns_mean,gpu_ns_median,gpu_ns_min,gpu_ns_max,gpu_ns_stdev,nvtx_cpu_ns_mean,nvtx_cpu_ns_median,nvtx_cpu_ns_min,nvtx_cpu_ns_max,kernels_per_instance,gpu_over_cpu_pct,kernel_families
react_tool_L_it1,measured,answer,6,RMSNormOp,ve,8,145183.9,142508.5,141404,160155,5879.7,331050.9,328266.5,299891,352560,7,43.9,copy|elementwise_binary|elementwise_unary|reduce
react_tool_L_it1,measured,answer,7,AddOp,ve,8,11463.6,11455.0,11360,11616,82.6,115280.8,105549.0,101422,169719,1,9.9,elementwise_binary
react_tool_L_it1,measured,answer,8,RMSNormOp,ve,8,126688.5,126700.0,125148,128605,930.6,224224.9,218606.0,208452,254161,7,56.5,copy|elementwise_binary|elementwise_unary|reduce
react_tool_L_it1,measured,answer,10,LinearOp,me,8,371325.4,371509.5,370102,372213,729.0,513141.6,511992.0,494681,526363,1,72.4,gemm
react_tool_L_it1,measured,answer,11,LinearOp,me,8,377537.4,370885.5,369845,425204,18022.6,459253.6,449508.0,445254,516064,1,82.2,gemm
react_tool_L_it1,measured,answer,12,LinearOp,me,8,370345.5,370374.0,369653,371094,497.8,448758.1,442646.5,438582,481990,1,82.5,gemm
react_tool_L_it1,measured,answer,13,ViewOp,de,8,0,0.0,0,0,0.0,80127,78449.5,75366,87292,0,0.0,
react_tool_L_it1,measured,answer,14,TransposeOp,de,8,133044.1,133020.5,132892,133276,134.6,238567.1,235784.0,227465,257939,1,55.8,copy
react_tool_L_it1,measured,answer,,call_overhead,,8,2546606.8,2502119.5,2469305,2809711,104925.1,,,,,2,,elementwise_binary|memcpy|rng_init
react_tool_L_it1,measured,plan,6,RMSNormOp,ve,8,147623.9,143484.0,142235,177340,11242.8,524368.2,326308.0,298101,1948640,7,28.2,copy|elementwise_binary|elementwise_unary|reduce
react_tool_L_it1,measured,plan,7,AddOp,ve,8,11407.8,11423.5,11360,11456,32.0,111416.8,105046.5,102417,134470,1,10.2,elementwise_binary
react_tool_L_it1,measured,plan,8,RMSNormOp,ve,8,129444.4,127244.0,125660,146908,6633.5,225595.4,222333.5,211355,265876,7,57.4,copy|elementwise_binary|elementwise_unary|reduce
