Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
54.3,169535613,462,366960.2,7687.0,5194,55198534,3348428.7,cudaLaunchKernel
19.4,60660053,220,275727.5,165859.5,1703,964668,302963.3,cudaEventSynchronize
11.9,37184882,14,2656063.0,2206614.5,802636,6962756,1915955.6,cuLibraryLoadData
9.6,29832500,2,14916250.0,14916250.0,13995120,15837380,1302674.5,cudaHostAlloc
1.5,4735459,2,2367729.5,2367729.5,2188006,2547453,254167.4,cudaGetDeviceProperties
1.0,3039648,1,3039648.0,3039648.0,3039648,3039648,0.0,cudaFree
0.7,2304805,484,4762.0,3594.0,1311,30944,4478.1,cudaEventRecord
0.5,1518197,10,151819.7,174604.5,7019,218280,71447.0,cudaMalloc
0.3,1020152,460,2217.7,1532.0,509,15201,2474.6,cudaEventCreateWithFlags
0.3,883617,44,20082.2,18766.5,11210,31229,6867.7,cudaMemcpyAsync
0.2,512495,440,1164.8,1059.5,650,9453,637.3,cudaEventDestroy
0.1,260700,838,311.1,239.0,155,8323,323.4,cuGetProcAddress_v2
0.1,210759,42,5018.1,6615.5,1198,10342,3560.0,cudaEventQuery
0.0,106094,73,1453.3,728.0,517,16375,1990.2,cudaStreamIsCapturing
0.0,90170,11,8197.3,8229.0,7368,9751,734.6,cudaDeviceSynchronize
0.0,52893,14,3778.1,5127.0,469,6232,2418.2,cuLibraryGetKernel
0.0,8555,3,2851.7,2882.0,2437,3236,400.4,cuInit
0.0,5301,3,1767.0,180.0,172,4949,2755.7,cuModuleGetLoadingMode
0.0,2994,2,1497.0,1497.0,979,2015,732.6,cudaGetDriverEntryPoint
