Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Style,Range
20.9,586366329,1,586366329.0,586366329.0,586366329,586366329,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=0
7.6,212077799,11,19279799.9,512125.0,496583,206985673,62254995.6,PushPop,:agentsys.mllm::plan::10::LinearOp
6.5,182983301,1,182983301.0,182983301.0,182983301,182983301,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=6
6.5,181581629,1,181581629.0,181581629.0,181581629,181581629,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=7
6.5,181479628,1,181479628.0,181479628.0,181479628,181479628,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=0
6.5,181141327,1,181141327.0,181141327.0,181141327,181141327,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=1
6.5,181102257,1,181102257.0,181102257.0,181102257,181102257,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=4
6.5,180968530,1,180968530.0,180968530.0,180968530,180968530,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=5
6.4,180866571,1,180866571.0,180866571.0,180866571,180866571,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=1
6.4,180531213,1,180531213.0,180531213.0,180531213,180531213,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=2
6.4,180242811,1,180242811.0,180242811.0,180242811,180242811,0.0,PushPop,:agentsys.autotrace::phase=measured::iter=3
6.4,180144455,1,180144455.0,180144455.0,180144455,180144455,0.0,PushPop,:agentsys.autotrace::phase=warmup::iter=2
5.4,151426832,11,13766075.6,326728.0,272624,146623244,44066459.9,PushPop,:agentsys.mllm::plan::6::RMSNormOp
0.2,5633476,11,512134.2,511008.0,494681,526363,8992.0,PushPop,:agentsys.mllm::answer::10::LinearOp
0.2,5049230,11,459020.9,447172.0,445775,540543,28220.1,PushPop,:agentsys.mllm::plan::11::LinearOp
0.2,5012457,11,455677.9,448929.0,445254,516064,20614.3,PushPop,:agentsys.mllm::answer::11::LinearOp
0.2,4919173,11,447197.5,443213.0,438582,481990,12441.8,PushPop,:agentsys.mllm::answer::12::LinearOp
0.2,4875406,11,443218.7,442952.0,438806,455190,4472.8,PushPop,:agentsys.mllm::plan::12::LinearOp
0.1,3949586,11,359053.3,334941.0,299891,607499,84129.6,PushPop,:agentsys.mllm::answer::6::RMSNormOp
0.1,2823210,11,256655.5,236409.0,227481,415820,53945.6,PushPop,:agentsys.mllm::plan::14::TransposeOp
0.1,2603062,11,236642.0,235455.0,225753,257939,8624.7,PushPop,:agentsys.mllm::answer::14::TransposeOp
0.1,2579299,11,234481.7,223112.0,211059,332813,35992.1,PushPop,:agentsys.mllm::plan::8::RMSNormOp
0.1,2514031,11,228548.3,222069.0,208452,254161,16904.9,PushPop,:agentsys.mllm::answer::8::RMSNormOp
0.0,1376323,11,125120.3,105683.0,100546,274451,50598.1,PushPop,:agentsys.mllm::plan::7::AddOp
0.0,1254903,11,114082.1,108499.0,101422,169719,19265.4,PushPop,:agentsys.mllm::answer::7::AddOp
0.0,940955,11,85541.4,77101.0,74444,136882,18839.3,PushPop,:agentsys.mllm::plan::13::ViewOp
0.0,868723,11,78974.8,78027.0,73292,87292,4255.1,PushPop,:agentsys.mllm::answer::13::ViewOp
