workload,phase,iteration,call_id,call_kind,process,op_index,op_type,engine,basis,start,end,host_ns,gpu_work_ns,gpu_busy_union_ns,kernel_launches,memcpy_memset,cuda_api_ns,cuda_api_calls,cuda_api_top,host_minus_api_ns,kernel_families
planner_debate,measured,0,,dag,dag_schedule_gap,,,,gap_between_markers,3622889945,3622903216,13271,0,0,0,0,0,0,,13271,
planner_debate,measured,0,planner-seed,llm,adapter_dispatch,,,,gap_between_markers,3622903216,3624100521,1197305,0,0,0,0,0,0,,1197305,
planner_debate,measured,0,planner-seed,llm,token_preprocess_cpu,,,,host_event,3624100521,3624434879,334358,0,0,0,0,0,0,,334358,
planner_debate,measured,0,planner-seed,llm,host_input_generate,,,,gap_between_markers,3624434879,3634332467,9897588,0,0,0,0,11173,2,cudaEventQuery,9886415,
planner_debate,measured,0,planner-seed,llm,h2d_stage,,,,host_event,3634332467,3634484475,152008,70739,70739,0,1,77233,6,cudaEventSynchronize,74775,memcpy
planner_debate,measured,0,planner-seed,llm,weight_init,,,,gap_between_markers,3634484475,3634618550,134075,6783,6783,2,0,31859,7,cudaLaunchKernel,102216,elementwise_binary|rng_init
planner_debate,measured,0,planner-seed,llm,mir_operator:RMSNormOp,6,RMSNormOp,ve,nvtx_range,3634618550,3634858469,239919,17821,17821,7,0,62101,14,cudaLaunchKernel,177818,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,measured,0,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,3634858469,3634868003,9534,0,0,0,0,0,0,,9534,
planner_debate,measured,0,planner-seed,llm,mir_operator:AddOp,7,AddOp,ve,nvtx_range,3634868003,3634964449,96446,1759,1759,1,0,23253,8,cudaLaunchKernel,73193,elementwise_binary
planner_debate,measured,0,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,3634964449,3634971520,7071,0,0,0,0,0,0,,7071,
planner_debate,measured,0,planner-seed,llm,mir_operator:RMSNormOp,8,RMSNormOp,ve,nvtx_range,3634971520,3635187784,216264,17181,17181,7,0,58883,14,cudaLaunchKernel,157381,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,measured,0,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,3635187784,3635196002,8218,0,0,0,0,0,0,,8218,
planner_debate,measured,0,planner-seed,llm,mir_operator:LinearOp,10,LinearOp,me,nvtx_range,3635196002,3635321346,125344,14557,14557,1,0,25721,8,cudaLaunchKernel,99623,gemm
planner_debate,measured,0,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,3635321346,3635328396,7050,0,0,0,0,0,0,,7050,
planner_debate,measured,0,planner-seed,llm,mir_operator:LinearOp,11,LinearOp,me,nvtx_range,3635328396,3635423465,95069,14526,14526,1,0,22678,8,cudaLaunchKernel,72391,gemm
planner_debate,measured,0,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,3635423465,3635430050,6585,0,0,0,0,0,0,,6585,
planner_debate,measured,0,planner-seed,llm,mir_operator:LinearOp,12,LinearOp,me,nvtx_range,3635430050,3635522309,92259,14525,14525,1,0,23116,8,cudaLaunchKernel,69143,gemm
planner_debate,measured,0,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,3635522309,3635528899,6590,0,0,0,0,0,0,,6590,
planner_debate,measured,0,planner-seed,llm,mir_operator:ViewOp,13,ViewOp,de,nvtx_range,3635528899,3635598264,69365,0,0,0,0,12539,7,cudaEventRecord,56826,
planner_debate,measured,0,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,3635598264,3635604965,6701,0,0,0,0,0,0,,6701,
planner_debate,measured,0,planner-seed,llm,mir_operator:TransposeOp,14,TransposeOp,de,nvtx_range,3635604965,3635718488,113523,12222,12222,1,0,24067,8,cudaLaunchKernel,89456,copy
planner_debate,measured,0,planner-seed,llm,pre_d2h_alloc,,,,gap_between_markers,3635718488,3635728136,9648,0,0,0,0,0,0,,9648,
planner_debate,measured,0,planner-seed,llm,d2h_stage,,,,host_event,3635728136,3635845481,117345,69940,69940,0,1,69793,6,cudaEventSynchronize,47552,memcpy
planner_debate,measured,0,planner-seed,llm,checksum_complete,,,,gap_between_markers,3635845481,3635905724,60243,0,0,0,0,1754,2,cudaEventDestroy,58489,
planner_debate,measured,0,,dag,dag_schedule_gap,,,,gap_between_markers,3635905724,3635932100,26376,0,0,0,0,3906,2,cudaEventRecord,22470,
planner_debate,measured,0,critic-a,llm,adapter_dispatch,,,,gap_between_markers,3635932100,3637077525,1145425,0,0,0,0,0,0,,1145425,
planner_debate,measured,0,critic-a,llm,token_preprocess_cpu,,,,host_event,3637077525,3637374099,296574,0,0,0,0,0,0,,296574,
planner_debate,measured,0,critic-a,llm,host_input_generate,,,,gap_between_markers,3637374099,3649316971,11942872,0,0,0,0,7277,2,cudaEventQuery,11935595,
planner_debate,measured,0,critic-a,llm,h2d_stage,,,,host_event,3649316971,3649488763,171792,92400,92400,0,1,98969,6,cudaEventSynchronize,72823,memcpy
planner_debate,measured,0,critic-a,llm,weight_init,,,,gap_between_markers,3649488763,3649616404,127641,7071,7071,2,0,28746,7,cudaLaunchKernel,98895,elementwise_binary|rng_init
planner_debate,measured,0,critic-a,llm,mir_operator:RMSNormOp,6,RMSNormOp,ve,nvtx_range,3649616404,3649858248,241844,19485,19485,7,0,64293,14,cudaLaunchKernel,177551,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,measured,0,critic-a,llm,inter_operator_dispatch,,,,gap_between_markers,3649858248,3649867337,9089,0,0,0,0,0,0,,9089,
planner_debate,measured,0,critic-a,llm,mir_operator:AddOp,7,AddOp,ve,nvtx_range,3649867337,3649965196,97859,2048,2048,1,0,24818,8,cudaLaunchKernel,73041,elementwise_binary
planner_debate,measured,0,critic-a,llm,inter_operator_dispatch,,,,gap_between_markers,3649965196,3649971869,6673,0,0,0,0,0,0,,6673,
planner_debate,measured,0,critic-a,llm,mir_operator:RMSNormOp,8,RMSNormOp,ve,nvtx_range,3649971869,3650192188,220319,19164,19164,7,0,70283,14,cudaLaunchKernel,150036,copy|elementwise_binary|elementwise_unary|reduce
planner_debate,measured,0,critic-a,llm,inter_operator_dispatch,,,,gap_between_markers,3650192188,3650200474,8286,0,0,0,0,0,0,,8286,
planner_debate,measured,0,critic-a,llm,mir_operator:LinearOp,10,LinearOp,me,nvtx_range,3650200474,3650325834,125360,19869,19869,1,0,28122,8,cudaLaunchKernel,97238,gemm
planner_debate,measured,0,critic-a,llm,inter_operator_dispatch,,,,gap_between_markers,3650325834,3650332675,6841,0,0,0,0,0,0,,6841,
planner_debate,measured,0,critic-a,llm,mir_operator:LinearOp,11,LinearOp,me,nvtx_range,3650332675,3650427728,95053,19612,19612,1,0,22757,8,cudaLaunchKernel,72296,gemm
planner_debate,measured,0,critic-a,llm,inter_operator_dispatch,,,,gap_between_markers,3650427728,3650433823,6095,0,0,0,0,0,0,,6095,
planner_debate,measured,0,critic-a,llm,mir_operator:LinearOp,12,LinearOp,me,nvtx_range,3650433823,3650532323,98500,19357,19357,1,0,28674,8,cudaEventRecord,69826,gemm
planner_debate,measured,0,critic-a,llm,inter_operator_dispatch,,,,gap_between_markers,3650532323,3650539935,7612,0,0,0,0,0,0,,7612,
