workload,iteration,launch_order,call_id,process,op_index,kind,family,name,api_name,api_start_rel_us,gpu_start_rel_us,gpu_ns,launch_latency_ns,grid,block,stream
planner_debate,12,1,planner-seed,h2d_stage,,memcpy,memcpy,memcpy_Host-to-Device,cudaMemcpyAsync_v3020,815690.7,815707.2,117515,16489,0x0x0,0x0x0,7
planner_debate,12,2,planner-seed,weight_init,,kernel,rng_init,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda:",cudaLaunchKernel_v7000,815915.7,815935.8,4991,20126,768x1x1,256x1x1,7
planner_debate,12,3,planner-seed,weight_init,,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor<c10::Half, c10::Half, c10::Half, at::na",cudaLaunchKernel_v7000,815973.5,815983.3,1792,9771,784x1x1,128x1x1,7
planner_debate,12,4,planner-seed,mir_operator:RMSNormOp,6,kernel,copy,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (i,cudaLaunchKernel_v7000,816070.8,816081.0,3968,10200,784x1x1,128x1x1,7
planner_debate,12,5,planner-seed,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, ",cudaLaunchKernel_v7000,816100.4,816108.1,2559,7665,784x1x1,128x1x1,7
planner_debate,12,6,planner-seed,mir_operator:RMSNormOp,6,kernel,reduce,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, fl",cudaLaunchKernel_v7000,816127.4,816136.3,3263,8872,56x1x1,32x16x1,7
planner_debate,12,7,planner-seed,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (uns",cudaLaunchKernel_v7000,816150.5,816157.8,1152,7344,1x1x1,128x1x1,7
planner_debate,12,8,planner-seed,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda(",cudaLaunchKernel_v7000,816170.7,816178.1,1216,7413,1x1x1,128x1x1,7
planner_debate,12,9,planner-seed,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<",cudaLaunchKernel_v7000,816194.1,816201.8,3391,7617,3136x1x1,128x1x1,7
planner_debate,12,10,planner-seed,mir_operator:RMSNormOp,6,kernel,copy,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[",cudaLaunchKernel_v7000,816218.9,816226.8,1983,7841,784x1x1,128x1x1,7
planner_debate,12,11,planner-seed,mir_operator:AddOp,7,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctorOnSelf_add<c10::Half>, std::array<char *, ",cudaLaunchKernel_v7000,816385.1,816397.3,1696,12260,784x1x1,128x1x1,7
planner_debate,12,12,planner-seed,mir_operator:RMSNormOp,8,kernel,copy,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (i,cudaLaunchKernel_v7000,816536.2,816547.9,4032,11733,784x1x1,128x1x1,7
planner_debate,12,13,planner-seed,mir_operator:RMSNormOp,8,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, ",cudaLaunchKernel_v7000,816564.5,816572.3,2560,7809,784x1x1,128x1x1,7
planner_debate,12,14,planner-seed,mir_operator:RMSNormOp,8,kernel,reduce,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, fl",cudaLaunchKernel_v7000,816590.6,816598.9,3200,8335,56x1x1,32x16x1,7
planner_debate,12,15,planner-seed,mir_operator:RMSNormOp,8,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (uns",cudaLaunchKernel_v7000,816611.9,816619.3,1184,7442,1x1x1,128x1x1,7
planner_debate,12,16,planner-seed,mir_operator:RMSNormOp,8,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda(",cudaLaunchKernel_v7000,816631.4,816638.5,1216,7146,1x1x1,128x1x1,7
planner_debate,12,17,planner-seed,mir_operator:RMSNormOp,8,kernel,elementwise_binary,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<",cudaLaunchKernel_v7000,816652.5,816660.7,3392,8210,3136x1x1,128x1x1,7
planner_debate,12,18,planner-seed,mir_operator:RMSNormOp,8,kernel,copy,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[",cudaLaunchKernel_v7000,816676.2,816683.8,1984,7571,784x1x1,128x1x1,7
planner_debate,12,19,planner-seed,mir_operator:LinearOp,10,kernel,gemm,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_32x6_nn,cudaLaunchKernel_v7000,816835.8,816848.1,14590,12328,7x14x1,128x1x1,7
planner_debate,12,20,planner-seed,mir_operator:LinearOp,11,kernel,gemm,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_32x6_nn,cudaLaunchKernel_v7000,816969.7,816979.9,14589,10207,7x14x1,128x1x1,7
planner_debate,12,21,planner-seed,mir_operator:LinearOp,12,kernel,gemm,ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_32x6_nn,cudaLaunchKernel_v7000,817079.7,817089.5,14526,9861,7x14x1,128x1x1,7
planner_debate,12,22,planner-seed,mir_operator:TransposeOp,14,kernel,copy,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_ke",cudaLaunchKernel_v7000,817309.6,817322.8,12062,13241,1568x1x1,128x1x1,7
planner_debate,12,23,planner-seed,d2h_stage,,memcpy,memcpy,memcpy_Device-to-Host,cudaMemcpyAsync_v3020,817451.5,817467.2,123594,15662,0x0x0,0x0x0,7
