workload,process,instances,host_ns_total,host_share_pct,host_ns_per_instance,gpu_ns_total,gpu_share_pct,cuda_api_ns_total,cuda_api_share_of_host_pct,kernel_launches,gpu_over_host_pct
planner_debate,host_input_generate,100,922181036,69.9,9221810.4,0,0.0,916445,0.1,0,0.0
planner_debate,adapter_dispatch,100,123846691,9.39,1238466.9,0,0.0,0,0.0,0,0.0
planner_debate,mir_operator:RMSNormOp,200,55676489,4.22,278382.4,3874864,9.99,15794725,28.4,1400,7.0
planner_debate,mir_operator:LinearOp,300,36880538,2.8,122935.1,5634621,14.53,9096229,24.7,300,15.3
planner_debate,dag_schedule_gap,120,30606805,2.32,255056.7,0,0.0,386432,1.3,0,0.0
planner_debate,token_preprocess_cpu,100,30574035,2.32,305740.3,0,0.0,0,0.0,0,0.0
planner_debate,h2d_stage,100,24936536,1.89,249365.4,13093770,33.76,15369305,61.6,0,52.5
planner_debate,d2h_stage,100,19930285,1.51,199302.9,14010883,36.13,14650870,73.5,0,70.3
planner_debate,weight_init,100,17358345,1.32,173583.5,693763,1.79,3924884,22.6,200,4.0
planner_debate,mir_operator:TransposeOp,100,13430059,1.02,134300.6,1229916,3.17,2953351,22.0,100,9.2
planner_debate,mir_operator:AddOp,100,11077291,0.84,110772.9,241528,0.62,2911972,26.3,100,2.2
planner_debate,mir_operator:ViewOp,100,8373273,0.63,83732.7,0,0.0,1968420,23.5,0,0.0
planner_debate,checksum_complete,100,7896728,0.6,78967.3,0,0.0,219624,2.8,0,0.0
planner_debate,agent_tool_execute_cpu,20,7089556,0.54,354477.8,0,0.0,0,0.0,0,0.0
planner_debate,inter_operator_dispatch,700,6513842,0.49,9305.5,0,0.0,0,0.0,0,0.0
planner_debate,pre_d2h_alloc,100,1420993,0.11,14209.9,0,0.0,0,0.0,0,0.0
planner_debate,iteration_tail_sync,20,1399924,0.11,69996.2,0,0.0,305469,21.8,0,0.0
