workload,call_id,process,op_index,op_type,engine,instances,host_ns_median,host_ns_min,host_ns_max,gpu_ns_median,cuda_api_ns_median,cuda_api_top,kernel_families,kernels_per_instance
planner_debate_L,planner-seed,adapter_dispatch,,,,8,914101.0,833447,942250,0.0,0.0,,,0
planner_debate_L,planner-seed,token_preprocess_cpu,,,,8,386753.0,321990,406660,0.0,0.0,,,0
planner_debate_L,planner-seed,host_input_generate,,,,8,88650031.0,85825851,100023651,0.0,8913.0,cudaEventQuery,,0
planner_debate_L,planner-seed,h2d_stage,,,,8,1225737.5,1176461,1877817,1060636.5,1099562.5,cudaEventSynchronize,memcpy,0
planner_debate_L,planner-seed,weight_init,,,,8,208735.0,182747,496662,39102.0,49426.0,cudaLaunchKernel,elementwise_binary|rng_init,2
planner_debate_L,planner-seed,mir_operator:RMSNormOp,6,RMSNormOp,ve,8,9417885.5,9299808,9806013,9107854.0,7233199.5,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,224
planner_debate_L,planner-seed,inter_operator_dispatch,,,,56,14663.0,5643,41740,0.0,0.0,,,0
planner_debate_L,planner-seed,mir_operator:AddOp,7,AddOp,ve,8,595208.0,541878,823177,431922.5,174313.0,cudaLaunchKernel,elementwise_binary,32
planner_debate_L,planner-seed,mir_operator:RMSNormOp,8,RMSNormOp,ve,8,9218713.5,9187807,9271260,8992020.0,7089964.0,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,224
planner_debate_L,planner-seed,mir_operator:LinearOp,10,LinearOp,me,8,20077921.0,20050762,20438979,19901095.0,19426427.0,cudaEventSynchronize,gemm,32
planner_debate_L,planner-seed,mir_operator:LinearOp,11,LinearOp,me,8,20136827.0,19927177,20462926,20024159.0,19566606.0,cudaEventSynchronize,gemm,32
planner_debate_L,planner-seed,mir_operator:LinearOp,12,LinearOp,me,8,20560279.5,19793178,21218997,20449405.5,20010577.0,cudaEventSynchronize,gemm,32
planner_debate_L,planner-seed,mir_operator:ViewOp,13,ViewOp,de,8,167172.0,138749,219874,0.0,14311.0,cudaEventRecord,,0
planner_debate_L,planner-seed,mir_operator:TransposeOp,14,TransposeOp,de,8,5858674.0,5420797,6370152,5719807.0,5215732.0,cudaEventSynchronize,copy,32
planner_debate_L,planner-seed,pre_d2h_alloc,,,,8,23508.5,17656,32909,0.0,0.0,,,0
planner_debate_L,planner-seed,d2h_stage,,,,8,1171432.5,1145991,1212155,1104811.0,1119713.0,cudaEventSynchronize,memcpy,0
planner_debate_L,planner-seed,checksum_complete,,,,8,92518.5,80004,109461,0.0,2061.0,cudaEventDestroy,,0
planner_debate_L,critic-a,adapter_dispatch,,,,8,948868.5,834367,1121846,0.0,0.0,,,0
planner_debate_L,critic-a,token_preprocess_cpu,,,,8,354146.5,316290,410053,0.0,0.0,,,0
planner_debate_L,critic-a,host_input_generate,,,,8,113978415.5,108960176,117808646,0.0,9117.0,cudaEventQuery,,0
planner_debate_L,critic-a,h2d_stage,,,,8,1539820.0,1518320,1656208,1386417.5,1424824.0,cudaEventSynchronize,memcpy,0
planner_debate_L,critic-a,weight_init,,,,8,211995.0,182131,220836,52862.0,49140.5,cudaLaunchKernel,elementwise_binary|rng_init,2
planner_debate_L,critic-a,mir_operator:RMSNormOp,6,RMSNormOp,ve,8,16533393.5,16099679,16602684,16258573.0,14346440.0,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,224
planner_debate_L,critic-a,inter_operator_dispatch,,,,56,14757.5,5381,165844,0.0,0.0,,,0
planner_debate_L,critic-a,mir_operator:AddOp,7,AddOp,ve,8,758066.0,746871,819249,646059.5,354912.5,cudaEventSynchronize,elementwise_binary,32
planner_debate_L,critic-a,mir_operator:RMSNormOp,8,RMSNormOp,ve,8,16034141.5,15993613,16204946,15802606.0,14003223.5,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,224
planner_debate_L,critic-a,mir_operator:LinearOp,10,LinearOp,me,8,26071345.5,25654265,26370544,25814974.0,25350166.0,cudaEventSynchronize,gemm|memset,32
planner_debate_L,critic-a,mir_operator:LinearOp,11,LinearOp,me,8,26432508.5,25840785,27223320,26283571.0,25803509.5,cudaEventSynchronize,gemm|memset,32
planner_debate_L,critic-a,mir_operator:LinearOp,12,LinearOp,me,8,26866858.5,26145443,27098276,26721732.5,26252306.5,cudaEventSynchronize,gemm|memset,32
planner_debate_L,critic-a,mir_operator:ViewOp,13,ViewOp,de,8,172809.0,146437,207640,0.0,14216.0,cudaEventRecord,,0
planner_debate_L,critic-a,mir_operator:TransposeOp,14,TransposeOp,de,8,7397623.0,7314199,7876480,7250445.0,6781362.5,cudaEventSynchronize,copy,32
planner_debate_L,critic-a,pre_d2h_alloc,,,,8,21081.0,16744,25263,0.0,0.0,,,0
planner_debate_L,critic-a,d2h_stage,,,,8,1493185.5,1481831,1611088,1435071.5,1446642.5,cudaEventSynchronize,memcpy,0
planner_debate_L,critic-a,checksum_complete,,,,8,88465.0,75696,108210,0.0,1788.5,cudaEventDestroy,,0
planner_debate_L,critic-b,adapter_dispatch,,,,8,944298.5,851572,1182479,0.0,0.0,,,0
planner_debate_L,critic-b,token_preprocess_cpu,,,,8,320560.0,251197,387978,0.0,0.0,,,0
planner_debate_L,critic-b,host_input_generate,,,,8,113853532.0,109978645,117498441,0.0,8436.0,cudaEventQuery,,0
planner_debate_L,critic-b,h2d_stage,,,,8,1544017.5,1512807,2058724,1397345.5,1436086.0,cudaEventSynchronize,memcpy,0
planner_debate_L,critic-b,weight_init,,,,8,195669.5,189525,220959,53646.0,47611.5,cudaLaunchKernel,elementwise_binary|rng_init,2
planner_debate_L,critic-b,mir_operator:RMSNormOp,6,RMSNormOp,ve,8,16341741.5,16080551,16509478,15988843.5,14018840.5,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,224
planner_debate_L,critic-b,inter_operator_dispatch,,,,56,14861.5,5509,36304,0.0,0.0,,,0
planner_debate_L,critic-b,mir_operator:AddOp,7,AddOp,ve,8,755786.0,733602,878770,643962.5,351616.0,cudaEventSynchronize,elementwise_binary,32
planner_debate_L,critic-b,mir_operator:RMSNormOp,8,RMSNormOp,ve,8,16301181.0,16024126,16468409,16076276.0,14226140.5,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,224
planner_debate_L,critic-b,mir_operator:LinearOp,10,LinearOp,me,8,26026549.5,25693219,26340531,25796593.5,25327984.0,cudaEventSynchronize,gemm|memset,32
planner_debate_L,critic-b,mir_operator:LinearOp,11,LinearOp,me,8,26772498.0,26051674,27091649,26637731.5,26186423.5,cudaEventSynchronize,gemm|memset,32
planner_debate_L,critic-b,mir_operator:LinearOp,12,LinearOp,me,8,27107516.5,26040530,27768337,26952410.5,26440457.5,cudaEventSynchronize,gemm|memset,32
planner_debate_L,critic-b,mir_operator:ViewOp,13,ViewOp,de,8,172157.5,160593,190116,0.0,15858.5,cudaEventRecord,,0
planner_debate_L,critic-b,mir_operator:TransposeOp,14,TransposeOp,de,8,7344443.5,6922728,7496768,7192911.0,6723498.0,cudaEventSynchronize,copy,32
planner_debate_L,critic-b,pre_d2h_alloc,,,,8,22603.0,15987,32561,0.0,0.0,,,0
planner_debate_L,critic-b,d2h_stage,,,,8,1515482.0,1480777,1587614,1455375.5,1468028.5,cudaEventSynchronize,memcpy,0
planner_debate_L,critic-b,checksum_complete,,,,8,88366.0,76156,105716,0.0,1810.5,cudaEventDestroy,,0
planner_debate_L,planner-tool,agent_tool_execute_cpu,,,,8,385884.5,300676,424909,0.0,0.0,,,0
planner_debate_L,critic-merge,adapter_dispatch,,,,8,1423731.5,1384581,1687681,0.0,0.0,,,0
planner_debate_L,critic-merge,token_preprocess_cpu,,,,8,246641.5,231673,279718,0.0,0.0,,,0
planner_debate_L,critic-merge,host_input_generate,,,,8,114651702.5,109007432,117049947,0.0,10494.5,cudaEventQuery,,0
planner_debate_L,critic-merge,h2d_stage,,,,8,1533548.5,1524838,1558964,1377345.5,1421028.5,cudaEventSynchronize,memcpy,0
planner_debate_L,critic-merge,weight_init,,,,8,197977.0,180239,220892,53470.0,46886.5,cudaLaunchKernel,elementwise_binary|rng_init,2
