workload,process,family,instances,gpu_ns_total,gpu_share_pct
planner_debate_L,mir_operator:LinearOp,gemm,3840,2855280210,66.18
planner_debate_L,mir_operator:RMSNormOp,copy,5120,382813547,8.87
planner_debate_L,mir_operator:RMSNormOp,elementwise_unary,5120,308146505,7.14
planner_debate_L,mir_operator:RMSNormOp,elementwise_binary,5120,292317053,6.78
planner_debate_L,mir_operator:TransposeOp,copy,1280,265052503,6.14
planner_debate_L,mir_operator:RMSNormOp,reduce,2560,78865072,1.83
planner_debate_L,d2h_stage,memcpy,40,53311177,1.24
planner_debate_L,h2d_stage,memcpy,40,51479908,1.19
planner_debate_L,mir_operator:AddOp,elementwise_binary,1280,22583017,0.52
planner_debate_L,mir_operator:LinearOp,memset,2304,2868757,0.07
planner_debate_L,weight_init,rng_init,40,1176470,0.03
planner_debate_L,weight_init,elementwise_binary,40,737637,0.02
