workload,process,instances,host_ns_total,host_share_pct,host_ns_per_instance,gpu_ns_total,gpu_share_pct,cuda_api_ns_total,cuda_api_share_of_host_pct,kernel_launches,gpu_over_host_pct
planner_debate_L,host_input_generate,40,4155143030,48.2,103878575.8,0,0.0,375228,0.0,0,0.0
planner_debate_L,mir_operator:LinearOp,120,2878961113,33.39,23991342.6,2858148967,66.24,2802482282,97.3,3840,99.3
planner_debate_L,mir_operator:RMSNormOp,80,1082436898,12.56,13530461.2,1062142177,24.62,913214350,84.4,17920,98.1
planner_debate_L,mir_operator:TransposeOp,40,270576622,3.14,6764415.5,265052503,6.14,246203539,91.0,1280,98.0
planner_debate_L,h2d_stage,40,58037774,0.67,1450944.4,51479908,1.19,53055116,91.4,0,88.7
planner_debate_L,d2h_stage,40,55809185,0.65,1395229.6,53311177,1.24,53851182,96.5,0,95.5
planner_debate_L,adapter_dispatch,40,41655787,0.48,1041394.7,0,0.0,0,0.0,0,0.0
planner_debate_L,mir_operator:AddOp,40,27947331,0.32,698683.3,22583017,0.52,11647158,41.7,1280,80.8
planner_debate_L,token_preprocess_cpu,40,13462585,0.16,336564.6,0,0.0,0,0.0,0,0.0
planner_debate_L,dag_schedule_gap,48,9240380,0.11,192507.9,0,0.0,166552,1.8,0,0.0
planner_debate_L,weight_init,40,8571735,0.1,214293.4,1914107,0.04,1953294,22.8,80,22.3
planner_debate_L,mir_operator:ViewOp,40,6781219,0.08,169530.5,0,0.0,594677,8.8,0,0.0
planner_debate_L,inter_operator_dispatch,280,4294947,0.05,15339.1,0,0.0,0,0.0,0,0.0
planner_debate_L,checksum_complete,40,3626570,0.04,90664.2,0,0.0,77002,2.1,0,0.0
planner_debate_L,agent_tool_execute_cpu,8,3014585,0.03,376823.1,0,0.0,0,0.0,0,0.0
planner_debate_L,pre_d2h_alloc,40,893990,0.01,22349.8,0,0.0,0,0.0,0,0.0
planner_debate_L,iteration_tail_sync,8,545201,0.01,68150.1,0,0.0,111910,20.5,0,0.0
