workload,phase,iteration,call_id,call_kind,process,op_index,op_type,engine,basis,start,end,host_ns,gpu_work_ns,gpu_busy_union_ns,kernel_launches,memcpy_memset,cuda_api_ns,cuda_api_calls,cuda_api_top,host_minus_api_ns,kernel_families
planner_debate_L_it1,measured,0,,dag,dag_schedule_gap,,,,gap_between_markers,4880590799,4880605260,14461,0,0,0,0,0,0,,14461,
planner_debate_L_it1,measured,0,planner-seed,llm,adapter_dispatch,,,,gap_between_markers,4880605260,4881522904,917644,0,0,0,0,0,0,,917644,
planner_debate_L_it1,measured,0,planner-seed,llm,token_preprocess_cpu,,,,host_event,4881522904,4881899966,377062,0,0,0,0,0,0,,377062,
planner_debate_L_it1,measured,0,planner-seed,llm,host_input_generate,,,,gap_between_markers,4881899966,4970986019,89086053,0,0,0,0,9848,2,cudaEventQuery,89076205,
planner_debate_L_it1,measured,0,planner-seed,llm,h2d_stage,,,,host_event,4970986019,4972303238,1317219,1146303,1146303,0,1,1195570,6,cudaEventSynchronize,121649,memcpy
planner_debate_L_it1,measured,0,planner-seed,llm,weight_init,,,,gap_between_markers,4972303238,4972515005,211767,42847,42847,2,0,48383,7,cudaLaunchKernel,163384,elementwise_binary|rng_init
planner_debate_L_it1,measured,0,planner-seed,llm,mir_operator:RMSNormOp,6,RMSNormOp,ve,nvtx_range,4972515005,4972954589,439584,322583,322583,7,0,204039,14,cudaEventSynchronize,235545,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,0,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,4972954589,4972966892,12303,0,0,0,0,0,0,,12303,
planner_debate_L_it1,measured,0,planner-seed,llm,mir_operator:AddOp,7,AddOp,ve,nvtx_range,4972966892,4973052840,85948,14848,14848,1,0,19586,8,cudaLaunchKernel,66362,elementwise_binary
planner_debate_L_it1,measured,0,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,4973052840,4973059065,6225,0,0,0,0,0,0,,6225,
planner_debate_L_it1,measured,0,planner-seed,llm,mir_operator:RMSNormOp,8,RMSNormOp,ve,nvtx_range,4973059065,4973413067,354002,286680,286680,7,0,223698,14,cudaEventSynchronize,130304,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,0,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,4973413067,4973420217,7150,0,0,0,0,0,0,,7150,
planner_debate_L_it1,measured,0,planner-seed,llm,mir_operator:LinearOp,10,LinearOp,me,nvtx_range,4973420217,4974185495,765278,637550,637550,1,0,640143,9,cudaEventSynchronize,125135,gemm
planner_debate_L_it1,measured,0,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,4974185495,4974192074,6579,0,0,0,0,0,0,,6579,
planner_debate_L_it1,measured,0,planner-seed,llm,mir_operator:LinearOp,11,LinearOp,me,nvtx_range,4974192074,4974897021,704947,635534,635534,1,0,635659,9,cudaEventSynchronize,69288,gemm
planner_debate_L_it1,measured,0,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,4974897021,4974903424,6403,0,0,0,0,0,0,,6403,
planner_debate_L_it1,measured,0,planner-seed,llm,mir_operator:LinearOp,12,LinearOp,me,nvtx_range,4974903424,4975600489,697065,634734,634734,1,0,633141,9,cudaEventSynchronize,63924,gemm
planner_debate_L_it1,measured,0,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,4975600489,4975607085,6596,0,0,0,0,0,0,,6596,
planner_debate_L_it1,measured,0,planner-seed,llm,mir_operator:ViewOp,13,ViewOp,de,nvtx_range,4975607085,4975679462,72377,0,0,0,0,10802,7,cudaEventRecord,61575,
planner_debate_L_it1,measured,0,planner-seed,llm,inter_operator_dispatch,,,,gap_between_markers,4975679462,4975685736,6274,0,0,0,0,0,0,,6274,
planner_debate_L_it1,measured,0,planner-seed,llm,mir_operator:TransposeOp,14,TransposeOp,de,nvtx_range,4975685736,4975953465,267729,177691,177691,1,0,174208,8,cudaEventSynchronize,93521,copy
planner_debate_L_it1,measured,0,planner-seed,llm,pre_d2h_alloc,,,,gap_between_markers,4975953465,4975968679,15214,0,0,0,0,0,0,,15214,
planner_debate_L_it1,measured,0,planner-seed,llm,d2h_stage,,,,host_event,4975968679,4977158395,1189716,1142240,1142240,0,1,1149624,6,cudaEventSynchronize,40092,memcpy
planner_debate_L_it1,measured,0,planner-seed,llm,checksum_complete,,,,gap_between_markers,4977158395,4977239832,81437,0,0,0,0,1742,2,cudaEventDestroy,79695,
planner_debate_L_it1,measured,0,,dag,dag_schedule_gap,,,,gap_between_markers,4977239832,4977274044,34212,0,0,0,0,4461,2,cudaEventRecord,29751,
planner_debate_L_it1,measured,0,critic-a,llm,adapter_dispatch,,,,gap_between_markers,4977274044,4978213985,939941,0,0,0,0,0,0,,939941,
planner_debate_L_it1,measured,0,critic-a,llm,token_preprocess_cpu,,,,host_event,4978213985,4978576048,362063,0,0,0,0,0,0,,362063,
planner_debate_L_it1,measured,0,critic-a,llm,host_input_generate,,,,gap_between_markers,4978576048,5091704493,113128445,0,0,0,0,9040,2,cudaEventQuery,113119405,
planner_debate_L_it1,measured,0,critic-a,llm,h2d_stage,,,,host_event,5091704493,5093311854,1607361,1445271,1445271,0,1,1490961,6,cudaEventSynchronize,116400,memcpy
planner_debate_L_it1,measured,0,critic-a,llm,weight_init,,,,gap_between_markers,5093311854,5093507261,195407,55934,55934,2,0,47096,7,cudaLaunchKernel,148311,elementwise_binary|rng_init
planner_debate_L_it1,measured,0,critic-a,llm,mir_operator:RMSNormOp,6,RMSNormOp,ve,nvtx_range,5093507261,5094139745,632484,518193,518193,7,0,410479,14,cudaEventSynchronize,222005,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,0,critic-a,llm,inter_operator_dispatch,,,,gap_between_markers,5094139745,5094151095,11350,0,0,0,0,0,0,,11350,
planner_debate_L_it1,measured,0,critic-a,llm,mir_operator:AddOp,7,AddOp,ve,nvtx_range,5094151095,5094241695,90600,27199,27199,1,0,27097,8,cudaEventSynchronize,63503,elementwise_binary
planner_debate_L_it1,measured,0,critic-a,llm,inter_operator_dispatch,,,,gap_between_markers,5094241695,5094248479,6784,0,0,0,0,0,0,,6784,
planner_debate_L_it1,measured,0,critic-a,llm,mir_operator:RMSNormOp,8,RMSNormOp,ve,nvtx_range,5094248479,5094808175,559696,494226,494226,7,0,435556,14,cudaEventSynchronize,124140,copy|elementwise_binary|elementwise_unary|reduce
planner_debate_L_it1,measured,0,critic-a,llm,inter_operator_dispatch,,,,gap_between_markers,5094808175,5094816282,8107,0,0,0,0,0,0,,8107,
planner_debate_L_it1,measured,0,critic-a,llm,mir_operator:LinearOp,10,LinearOp,me,nvtx_range,5094816282,5095802630,986348,852520,852520,1,1,865061,9,cudaEventSynchronize,121287,gemm|memset
planner_debate_L_it1,measured,0,critic-a,llm,inter_operator_dispatch,,,,gap_between_markers,5095802630,5095809567,6937,0,0,0,0,0,0,,6937,
planner_debate_L_it1,measured,0,critic-a,llm,mir_operator:LinearOp,11,LinearOp,me,nvtx_range,5095809567,5096736139,926572,852295,852295,1,1,856247,9,cudaEventSynchronize,70325,gemm|memset
planner_debate_L_it1,measured,0,critic-a,llm,inter_operator_dispatch,,,,gap_between_markers,5096736139,5096743070,6931,0,0,0,0,0,0,,6931,
planner_debate_L_it1,measured,0,critic-a,llm,mir_operator:LinearOp,12,LinearOp,me,nvtx_range,5096743070,5097712093,969023,898214,898214,1,1,901901,9,cudaEventSynchronize,67122,gemm|memset
planner_debate_L_it1,measured,0,critic-a,llm,inter_operator_dispatch,,,,gap_between_markers,5097712093,5097719119,7026,0,0,0,0,0,0,,7026,
planner_debate_L_it1,measured,0,critic-a,llm,mir_operator:ViewOp,13,ViewOp,de,nvtx_range,5097719119,5097788350,69231,0,0,0,0,11634,7,cudaEventRecord,57597,
planner_debate_L_it1,measured,0,critic-a,llm,inter_operator_dispatch,,,,gap_between_markers,5097788350,5097794502,6152,0,0,0,0,0,0,,6152,
planner_debate_L_it1,measured,0,critic-a,llm,mir_operator:TransposeOp,14,TransposeOp,de,nvtx_range,5097794502,5098115000,320498,226426,226426,1,0,223720,8,cudaEventSynchronize,96778,copy
planner_debate_L_it1,measured,0,critic-a,llm,pre_d2h_alloc,,,,gap_between_markers,5098115000,5098131798,16798,0,0,0,0,0,0,,16798,
planner_debate_L_it1,measured,0,critic-a,llm,d2h_stage,,,,host_event,5098131798,5099717746,1585948,1531860,1531860,0,1,1543460,6,cudaEventSynchronize,42488,memcpy
planner_debate_L_it1,measured,0,critic-a,llm,checksum_complete,,,,gap_between_markers,5099717746,5099805101,87355,0,0,0,0,2367,2,cudaEventDestroy,84988,
planner_debate_L_it1,measured,0,,dag,dag_schedule_gap,,,,gap_between_markers,5099805101,5099837426,32325,0,0,0,0,4367,2,cudaEventRecord,27958,
