workload,call_id,process,op_index,op_type,engine,instances,host_ns_median,host_ns_min,host_ns_max,gpu_ns_median,cuda_api_ns_median,cuda_api_top,kernel_families,kernels_per_instance
planner_debate_L_it1,planner-seed,adapter_dispatch,,,,8,917946.0,858817,1169940,0.0,0.0,,,0
planner_debate_L_it1,planner-seed,token_preprocess_cpu,,,,8,377055.5,328644,396428,0.0,0.0,,,0
planner_debate_L_it1,planner-seed,host_input_generate,,,,8,85546312.5,83590746,91617884,0.0,9959.5,cudaEventQuery,,0
planner_debate_L_it1,planner-seed,h2d_stage,,,,8,1263367.5,1200251,1649495,1090049.0,1124611.0,cudaEventSynchronize,memcpy,0
planner_debate_L_it1,planner-seed,weight_init,,,,8,200950.0,183947,346559,43006.5,47493.5,cudaLaunchKernel,elementwise_binary|rng_init,2
planner_debate_L_it1,planner-seed,mir_operator:RMSNormOp,6,RMSNormOp,ve,8,434605.5,424489,490637,321366.5,215729.0,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,7
planner_debate_L_it1,planner-seed,inter_operator_dispatch,,,,56,6653.5,4669,21254,0.0,0.0,,,0
planner_debate_L_it1,planner-seed,mir_operator:AddOp,7,AddOp,ve,8,83114.5,79668,93788,14800.0,19354.0,cudaLaunchKernel,elementwise_binary,1
planner_debate_L_it1,planner-seed,mir_operator:RMSNormOp,8,RMSNormOp,ve,8,357169.0,352599,388118,290519.0,227839.0,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,7
planner_debate_L_it1,planner-seed,mir_operator:LinearOp,10,LinearOp,me,8,761502.5,751165,774947,635773.5,639649.0,cudaEventSynchronize,gemm,1
planner_debate_L_it1,planner-seed,mir_operator:LinearOp,11,LinearOp,me,8,701493.0,696247,708449,635070.0,634553.5,cudaEventSynchronize,gemm,1
planner_debate_L_it1,planner-seed,mir_operator:LinearOp,12,LinearOp,me,8,698417.5,694003,702885,634910.0,634523.0,cudaEventSynchronize,gemm,1
planner_debate_L_it1,planner-seed,mir_operator:ViewOp,13,ViewOp,de,8,63206.5,60940,72377,0.0,10587.0,cudaEventRecord,,0
planner_debate_L_it1,planner-seed,mir_operator:TransposeOp,14,TransposeOp,de,8,264518.5,259449,277446,177675.0,174332.0,cudaEventSynchronize,copy,1
planner_debate_L_it1,planner-seed,pre_d2h_alloc,,,,8,14959.5,12038,16385,0.0,0.0,,,0
planner_debate_L_it1,planner-seed,d2h_stage,,,,8,1170122.5,1152756,1189716,1118496.0,1126464.0,cudaEventSynchronize,memcpy,0
planner_debate_L_it1,planner-seed,checksum_complete,,,,8,77612.0,70833,90565,0.0,1776.0,cudaEventDestroy,,0
planner_debate_L_it1,critic-a,adapter_dispatch,,,,8,896106.0,838357,939941,0.0,0.0,,,0
planner_debate_L_it1,critic-a,token_preprocess_cpu,,,,8,395299.0,362063,466585,0.0,0.0,,,0
planner_debate_L_it1,critic-a,host_input_generate,,,,8,113567655.5,108124450,117215307,0.0,9010.5,cudaEventQuery,,0
planner_debate_L_it1,critic-a,h2d_stage,,,,8,1575909.5,1515996,1615585,1406695.5,1450655.5,cudaEventSynchronize,memcpy,0
planner_debate_L_it1,critic-a,weight_init,,,,8,204526.5,181838,268117,55886.5,47006.0,cudaLaunchKernel,elementwise_binary|rng_init,2
planner_debate_L_it1,critic-a,mir_operator:RMSNormOp,6,RMSNormOp,ve,8,632726.5,619386,646685,517697.0,416337.5,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,7
planner_debate_L_it1,critic-a,inter_operator_dispatch,,,,56,6850.0,4710,20280,0.0,0.0,,,0
planner_debate_L_it1,critic-a,mir_operator:AddOp,7,AddOp,ve,8,93316.5,86795,106647,27135.0,27557.5,cudaEventSynchronize,elementwise_binary,1
planner_debate_L_it1,critic-a,mir_operator:RMSNormOp,8,RMSNormOp,ve,8,559782.5,555615,562487,490674.0,424026.5,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,7
planner_debate_L_it1,critic-a,mir_operator:LinearOp,10,LinearOp,me,8,983890.0,977546,990526,852839.5,865875.5,cudaEventSynchronize,gemm|memset,1
planner_debate_L_it1,critic-a,mir_operator:LinearOp,11,LinearOp,me,8,925429.5,922535,935870,852759.5,855392.5,cudaEventSynchronize,gemm|memset,1
