workload,iteration,launch_order,call_id,process,op_index,kind,family,name,api_name,api_start_rel_us,gpu_start_rel_us,gpu_ns,launch_latency_ns,grid,block,stream
planner_debate_L_it1,7,1,planner-seed,h2d_stage,,memcpy,memcpy,memcpy_Host-to-Device,cudaMemcpyAsync_v3020,4005521.4,4005547.9,1043907,26564,0x0x0,0x0x0,7
planner_debate_L_it1,7,2,planner-seed,weight_init,,kernel,rng_init,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda:",cudaLaunchKernel_v7000,4006695.9,4006792.9,28063,96959,768x1x1,256x1x1,7
planner_debate_L_it1,7,3,planner-seed,weight_init,,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor<c10::Half, c10::Half, c10::Half, at::na",cudaLaunchKernel_v7000,4006772.3,4006821.6,14816,49296,12544x1x1,128x1x1,7
planner_debate_L_it1,7,4,planner-seed,mir_operator:RMSNormOp,6,kernel,copy,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (i,cudaLaunchKernel_v7000,4006881.1,4006890.1,85118,8997,12544x1x1,128x1x1,7
planner_debate_L_it1,7,5,planner-seed,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, ",cudaLaunchKernel_v7000,4006908.2,4006976.0,70654,67812,12544x1x1,128x1x1,7
planner_debate_L_it1,7,6,planner-seed,mir_operator:RMSNormOp,6,kernel,reduce,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, fl",cudaLaunchKernel_v7000,4006933.9,4007047.4,21087,113505,224x1x1,32x16x1,7
planner_debate_L_it1,7,7,planner-seed,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (uns",cudaLaunchKernel_v7000,4006957.7,4007069.1,1184,111377,4x1x1,128x1x1,7
planner_debate_L_it1,7,8,planner-seed,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda(",cudaLaunchKernel_v7000,4006977.4,4007071.0,1088,93602,4x1x1,128x1x1,7
planner_debate_L_it1,7,9,planner-seed,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<",cudaLaunchKernel_v7000,4006999.4,4007072.8,88061,73337,50176x1x1,128x1x1,7
planner_debate_L_it1,7,10,planner-seed,mir_operator:RMSNormOp,6,kernel,copy,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[",cudaLaunchKernel_v7000,4007026.3,4007161.5,54943,135155,12544x1x1,128x1x1,7
planner_debate_L_it1,7,11,planner-seed,mir_operator:AddOp,7,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctorOnSelf_add<c10::Half>, std::array<char *, ",cudaLaunchKernel_v7000,4007295.5,4007303.4,14688,7916,12544x1x1,128x1x1,7
planner_debate_L_it1,7,12,planner-seed,mir_operator:RMSNormOp,8,kernel,copy,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (i,cudaLaunchKernel_v7000,4007379.0,4007386.4,52671,7401,12544x1x1,128x1x1,7
planner_debate_L_it1,7,13,planner-seed,mir_operator:RMSNormOp,8,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, ",cudaLaunchKernel_v7000,4007396.7,4007439.7,70622,42983,12544x1x1,128x1x1,7
planner_debate_L_it1,7,14,planner-seed,mir_operator:RMSNormOp,8,kernel,reduce,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, fl",cudaLaunchKernel_v7000,4007417.1,4007511.0,22432,93957,224x1x1,32x16x1,7
planner_debate_L_it1,7,15,planner-seed,mir_operator:RMSNormOp,8,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (uns",cudaLaunchKernel_v7000,4007431.7,4007534.1,1152,102429,4x1x1,128x1x1,7
planner_debate_L_it1,7,16,planner-seed,mir_operator:RMSNormOp,8,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda(",cudaLaunchKernel_v7000,4007444.9,4007536.0,1088,91133,4x1x1,128x1x1,7
planner_debate_L_it1,7,17,planner-seed,mir_operator:RMSNormOp,8,kernel,elementwise_binary,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<",cudaLaunchKernel_v7000,4007459.5,4007537.8,88093,78322,50176x1x1,128x1x1,7
planner_debate_L_it1,7,18,planner-seed,mir_operator:RMSNormOp,8,kernel,copy,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[",cudaLaunchKernel_v7000,4007475.3,4007626.5,54975,151259,12544x1x1,128x1x1,7
planner_debate_L_it1,7,19,planner-seed,mir_operator:LinearOp,10,kernel,gemm,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_nn_align8>(T1::Params),cuLaunchKernel,4007797.9,4007806.4,636366,8545,448x7x1,128x1x1,7
planner_debate_L_it1,7,20,planner-seed,mir_operator:LinearOp,11,kernel,gemm,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_nn_align8>(T1::Params),cuLaunchKernel,4008511.8,4008518.6,635886,6816,448x7x1,128x1x1,7
planner_debate_L_it1,7,21,planner-seed,mir_operator:LinearOp,12,kernel,gemm,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_nn_align8>(T1::Params),cuLaunchKernel,4009220.7,4009227.4,635661,6689,448x7x1,128x1x1,7
planner_debate_L_it1,7,22,planner-seed,mir_operator:TransposeOp,14,kernel,copy,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_ke",cudaLaunchKernel_v7000,4010019.3,4010036.4,177851,17123,25088x1x1,128x1x1,7
planner_debate_L_it1,7,23,planner-seed,d2h_stage,,memcpy,memcpy,memcpy_Device-to-Host,cudaMemcpyAsync_v3020,4010274.5,4010293.6,1110560,19155,0x0x0,0x0x0,7
