workload,process,instances,host_ns_total,host_share_pct,host_ns_per_instance,gpu_ns_total,gpu_share_pct,cuda_api_ns_total,cuda_api_share_of_host_pct,kernel_launches,gpu_over_host_pct
planner_debate_L_it1,host_input_generate,40,4109523718,91.9,102738093.0,0,0.0,399476,0.0,0,0.0
planner_debate_L_it1,mir_operator:LinearOp,120,103267715,2.31,860564.3,92129727,37.75,92635726,89.7,120,89.2
planner_debate_L_it1,h2d_stage,40,59005002,1.32,1475125.1,51962037,21.29,53817363,91.2,0,88.1
planner_debate_L_it1,d2h_stage,40,56611637,1.27,1415290.9,54593006,22.37,54964610,97.1,0,96.4
planner_debate_L_it1,mir_operator:RMSNormOp,80,41747502,0.93,521843.8,34152140,13.99,27122420,65.0,560,81.8
planner_debate_L_it1,adapter_dispatch,40,41265963,0.92,1031649.1,0,0.0,0,0.0,0,0.0
planner_debate_L_it1,token_preprocess_cpu,40,14175790,0.32,354394.8,0,0.0,0,0.0,0,0.0
planner_debate_L_it1,mir_operator:TransposeOp,40,12047252,0.27,301181.3,8278034,3.39,8236448,68.4,40,68.7
planner_debate_L_it1,dag_schedule_gap,48,9334042,0.21,194459.2,0,0.0,155202,1.7,0,0.0
planner_debate_L_it1,weight_init,40,8733007,0.2,218325.2,2026248,0.83,1995612,22.9,80,23.2
planner_debate_L_it1,mir_operator:AddOp,40,3823580,0.09,95589.5,908967,0.37,1163183,30.4,40,23.8
planner_debate_L_it1,checksum_complete,40,3371731,0.08,84293.3,0,0.0,82798,2.5,0,0.0
planner_debate_L_it1,agent_tool_execute_cpu,8,2859553,0.06,357444.1,0,0.0,0,0.0,0,0.0
planner_debate_L_it1,mir_operator:ViewOp,40,2771500,0.06,69287.5,0,0.0,538018,19.4,0,0.0
planner_debate_L_it1,inter_operator_dispatch,280,2258659,0.05,8066.6,0,0.0,0,0.0,0,0.0
planner_debate_L_it1,pre_d2h_alloc,40,611544,0.01,15288.6,0,0.0,0,0.0,0,0.0
planner_debate_L_it1,iteration_tail_sync,8,560984,0.01,70123.0,0,0.0,105110,18.7,0,0.0
