workload,call_id,process,op_index,op_type,engine,instances,host_ns_median,host_ns_min,host_ns_max,gpu_ns_median,cuda_api_ns_median,cuda_api_top,kernel_families,kernels_per_instance
react_moa_mcts,react-plan,adapter_dispatch,,,,20,1098702.5,1081053,1264865,0.0,0.0,,,0
react_moa_mcts,react-plan,token_preprocess_cpu,,,,20,305600.0,271256,389271,0.0,0.0,,,0
react_moa_mcts,react-plan,host_input_generate,,,,20,8064394.0,5040545,8513234,0.0,6754.0,cudaEventQuery,,0
react_moa_mcts,react-plan,h2d_stage,,,,20,126419.5,121072,201758,53031.0,57817.5,cudaEventSynchronize,memcpy,0
react_moa_mcts,react-plan,weight_init,,,,20,124354.0,116526,197193,5023.0,28293.5,cudaLaunchKernel,elementwise_binary|rng_init,2
react_moa_mcts,react-plan,mir_operator:RMSNormOp,6,RMSNormOp,ve,20,244430.0,227224,297744,15949.5,61814.0,cudaLaunchKernel,copy|elementwise_binary|elementwise_unary|reduce,7
react_moa_mcts,react-plan,inter_operator_dispatch,,,,140,8065.5,5704,21956,0.0,0.0,,,0
react_moa_mcts,react-plan,mir_operator:AddOp,7,AddOp,ve,20,97074.5,94234,126884,1440.0,23932.0,cudaLaunchKernel,elementwise_binary,1
react_moa_mcts,react-plan,mir_operator:RMSNormOp,8,RMSNormOp,ve,20,221780.0,205780,256388,15341.5,62173.5,cudaLaunchKernel,copy|elementwise_binary|elementwise_unary|reduce,7
react_moa_mcts,react-plan,mir_operator:LinearOp,10,LinearOp,me,20,164323.0,149406,223599,12910.0,46628.5,cudaMemsetAsync,gemm|memset,1
react_moa_mcts,react-plan,mir_operator:LinearOp,11,LinearOp,me,20,117334.0,109657,152821,12734.0,31804.0,cuLaunchKernel,gemm|memset,1
react_moa_mcts,react-plan,mir_operator:LinearOp,12,LinearOp,me,20,108429.5,103234,122561,12685.5,29500.5,cuLaunchKernel,gemm|memset,1
react_moa_mcts,react-plan,mir_operator:ViewOp,13,ViewOp,de,20,68445.5,64856,75632,0.0,12402.5,cudaEventRecord,,0
react_moa_mcts,react-plan,mir_operator:TransposeOp,14,TransposeOp,de,20,118731.0,108889,145663,9374.0,26562.5,cudaLaunchKernel,copy,1
react_moa_mcts,react-plan,pre_d2h_alloc,,,,20,10986.5,9141,23488,0.0,0.0,,,0
react_moa_mcts,react-plan,d2h_stage,,,,20,104225.5,94651,148811,52871.5,54434.5,cudaEventSynchronize,memcpy,0
react_moa_mcts,react-plan,checksum_complete,,,,20,60073.0,55095,79169,0.0,1845.0,cudaEventDestroy,,0
react_moa_mcts,moa-map0,adapter_dispatch,,,,20,1122194.5,1082211,2009508,0.0,0.0,,,0
react_moa_mcts,moa-map0,token_preprocess_cpu,,,,20,295127.5,196317,356650,0.0,0.0,,,0
react_moa_mcts,moa-map0,host_input_generate,,,,20,11899684.5,8915097,11981225,0.0,6669.5,cudaEventQuery,,0
react_moa_mcts,moa-map0,h2d_stage,,,,20,195579.0,160301,573049,93473.0,113943.0,cudaEventSynchronize,memcpy,0
react_moa_mcts,moa-map0,weight_init,,,,20,130490.5,121139,306518,7022.5,29026.5,cudaLaunchKernel,elementwise_binary|rng_init,2
react_moa_mcts,moa-map0,mir_operator:RMSNormOp,6,RMSNormOp,ve,20,255816.0,230951,402330,19390.0,66493.0,cudaLaunchKernel,copy|elementwise_binary|elementwise_unary|reduce,7
react_moa_mcts,moa-map0,inter_operator_dispatch,,,,140,7366.5,5449,23195,0.0,0.0,,,0
react_moa_mcts,moa-map0,mir_operator:AddOp,7,AddOp,ve,20,101048.0,94063,134922,2079.5,24464.0,cudaLaunchKernel,elementwise_binary,1
react_moa_mcts,moa-map0,mir_operator:RMSNormOp,8,RMSNormOp,ve,20,219928.0,204344,279443,19101.5,60903.0,cudaLaunchKernel,copy|elementwise_binary|elementwise_unary|reduce,7
react_moa_mcts,moa-map0,mir_operator:LinearOp,10,LinearOp,me,20,114814.5,108696,198427,20140.5,25428.5,cudaLaunchKernel,gemm,1
react_moa_mcts,moa-map0,mir_operator:LinearOp,11,LinearOp,me,20,96984.0,92633,125049,20141.0,22992.0,cudaLaunchKernel,gemm,1
react_moa_mcts,moa-map0,mir_operator:LinearOp,12,LinearOp,me,20,95071.5,90317,106785,20061.0,23108.5,cudaLaunchKernel,gemm,1
react_moa_mcts,moa-map0,mir_operator:ViewOp,13,ViewOp,de,20,67996.5,65297,83831,0.0,12626.5,cudaEventRecord,,0
react_moa_mcts,moa-map0,mir_operator:TransposeOp,14,TransposeOp,de,20,114803.5,107394,155402,12366.0,25114.0,cudaLaunchKernel,copy,1
react_moa_mcts,moa-map0,pre_d2h_alloc,,,,20,11567.0,9163,30677,0.0,0.0,,,0
react_moa_mcts,moa-map0,d2h_stage,,,,20,138919.0,134002,240053,91201.0,91408.5,cudaEventSynchronize,memcpy,0
react_moa_mcts,moa-map0,checksum_complete,,,,20,59230.0,54943,113936,0.0,1844.5,cudaEventDestroy,,0
react_moa_mcts,moa-map1,adapter_dispatch,,,,20,1130090.0,1080606,1286920,0.0,0.0,,,0
react_moa_mcts,moa-map1,token_preprocess_cpu,,,,20,317468.5,285223,400269,0.0,0.0,,,0
react_moa_mcts,moa-map1,host_input_generate,,,,20,11894737.0,8912320,12097003,0.0,6428.0,cudaEventQuery,,0
react_moa_mcts,moa-map1,h2d_stage,,,,20,176132.0,158567,341814,93457.0,103000.0,cudaEventSynchronize,memcpy,0
react_moa_mcts,moa-map1,weight_init,,,,20,133951.5,120362,248802,7071.0,33557.0,cudaLaunchKernel,elementwise_binary|rng_init,2
react_moa_mcts,moa-map1,mir_operator:RMSNormOp,6,RMSNormOp,ve,20,243435.5,226875,394624,19388.5,63788.5,cudaLaunchKernel,copy|elementwise_binary|elementwise_unary|reduce,7
react_moa_mcts,moa-map1,inter_operator_dispatch,,,,140,7156.5,5491,23806,0.0,0.0,,,0
