workload,iteration,launch_order,call_id,process,op_index,kind,family,name,api_name,api_start_rel_us,gpu_start_rel_us,gpu_ns,launch_latency_ns,grid,block,stream
react_moa_mcts,3,1,react-plan,h2d_stage,,memcpy,memcpy,memcpy_Host-to-Device,cudaMemcpyAsync_v3020,448381.1,448391.9,49848,10781,0x0x0,0x0x0,7
react_moa_mcts,3,2,react-plan,weight_init,,kernel,rng_init,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda:",cudaLaunchKernel_v7000,448506.0,448519.6,3583,13632,768x1x1,256x1x1,7
react_moa_mcts,3,3,react-plan,weight_init,,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor<c10::Half, c10::Half, c10::Half, at::na",cudaLaunchKernel_v7000,448544.0,448551.0,1440,6989,576x1x1,128x1x1,7
react_moa_mcts,3,4,react-plan,mir_operator:RMSNormOp,6,kernel,copy,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (i,cudaLaunchKernel_v7000,448626.0,448634.7,3583,8741,576x1x1,128x1x1,7
react_moa_mcts,3,5,react-plan,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, ",cudaLaunchKernel_v7000,448648.7,448655.2,2111,6535,576x1x1,128x1x1,7
react_moa_mcts,3,6,react-plan,mir_operator:RMSNormOp,6,kernel,reduce,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, fl",cudaLaunchKernel_v7000,448670.3,448676.5,3168,6232,48x1x1,32x16x1,7
react_moa_mcts,3,7,react-plan,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (uns",cudaLaunchKernel_v7000,448687.1,448693.2,1151,6087,1x1x1,128x1x1,7
react_moa_mcts,3,8,react-plan,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda(",cudaLaunchKernel_v7000,448704.4,448710.3,1216,5949,1x1x1,128x1x1,7
react_moa_mcts,3,9,react-plan,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<",cudaLaunchKernel_v7000,448722.5,448728.8,2943,6258,2304x1x1,128x1x1,7
react_moa_mcts,3,10,react-plan,mir_operator:RMSNormOp,6,kernel,copy,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[",cudaLaunchKernel_v7000,448742.7,448749.2,1727,6439,576x1x1,128x1x1,7
react_moa_mcts,3,11,react-plan,mir_operator:AddOp,7,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctorOnSelf_add<c10::Half>, std::array<char *, ",cudaLaunchKernel_v7000,448854.3,448862.7,1440,8362,576x1x1,128x1x1,7
react_moa_mcts,3,12,react-plan,mir_operator:RMSNormOp,8,kernel,copy,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (i,cudaLaunchKernel_v7000,448963.4,448972.1,3487,8677,576x1x1,128x1x1,7
react_moa_mcts,3,13,react-plan,mir_operator:RMSNormOp,8,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, ",cudaLaunchKernel_v7000,448985.4,448991.6,2111,6265,576x1x1,128x1x1,7
react_moa_mcts,3,14,react-plan,mir_operator:RMSNormOp,8,kernel,reduce,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, fl",cudaLaunchKernel_v7000,449005.7,449011.7,3007,6040,48x1x1,32x16x1,7
react_moa_mcts,3,15,react-plan,mir_operator:RMSNormOp,8,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (uns",cudaLaunchKernel_v7000,449021.0,449026.8,1120,5756,1x1x1,128x1x1,7
react_moa_mcts,3,16,react-plan,mir_operator:RMSNormOp,8,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda(",cudaLaunchKernel_v7000,449037.2,449043.1,1183,5882,1x1x1,128x1x1,7
react_moa_mcts,3,17,react-plan,mir_operator:RMSNormOp,8,kernel,elementwise_binary,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<",cudaLaunchKernel_v7000,449054.4,449060.4,2911,5961,2304x1x1,128x1x1,7
react_moa_mcts,3,18,react-plan,mir_operator:RMSNormOp,8,kernel,copy,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[",cudaLaunchKernel_v7000,449073.7,449079.9,1727,6187,576x1x1,128x1x1,7
react_moa_mcts,3,19,react-plan,mir_operator:LinearOp,10,memset,memset,memset,cudaMemsetAsync_v3020,449218.1,449232.1,416,13925,0x0x0,0x0x0,7
react_moa_mcts,3,20,react-plan,mir_operator:LinearOp,10,kernel,gemm,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_nn_align8>(T1::Params),cuLaunchKernel,449231.4,449240.1,12414,8632,96x2x2,128x1x1,7
react_moa_mcts,3,21,react-plan,mir_operator:LinearOp,11,memset,memset,memset,cudaMemsetAsync_v3020,449359.8,449366.7,448,6931,0x0x0,0x0x0,7
react_moa_mcts,3,22,react-plan,mir_operator:LinearOp,11,kernel,gemm,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_nn_align8>(T1::Params),cuLaunchKernel,449366.1,449374.2,12446,8051,96x2x2,128x1x1,7
react_moa_mcts,3,23,react-plan,mir_operator:LinearOp,12,memset,memset,memset,cudaMemsetAsync_v3020,449474.2,449481.7,448,7450,0x0x0,0x0x0,7
react_moa_mcts,3,24,react-plan,mir_operator:LinearOp,12,kernel,gemm,void cutlass::Kernel2<cutlass_80_tensorop_f16_s16816gemm_relu_f16_64x64_32x6_nn_align8>(T1::Params),cuLaunchKernel,449481.0,449489.1,12190,8055,96x2x2,128x1x1,7
react_moa_mcts,3,25,react-plan,mir_operator:TransposeOp,14,kernel,copy,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_ke",cudaLaunchKernel_v7000,449668.8,449678.4,9342,9641,1152x1x1,128x1x1,7
react_moa_mcts,3,26,react-plan,d2h_stage,,memcpy,memcpy,memcpy_Device-to-Host,cudaMemcpyAsync_v3020,449769.9,449783.5,61398,13520,0x0x0,0x0x0,7
