workload,process,instances,host_ns_total,host_share_pct,host_ns_per_instance,gpu_ns_total,gpu_share_pct,cuda_api_ns_total,cuda_api_share_of_host_pct,kernel_launches,gpu_over_host_pct
react_moa_mcts,host_input_generate,200,2016623412,74.68,10083117.1,0,0.0,1410889,0.1,0,0.0
react_moa_mcts,adapter_dispatch,200,235764706,8.73,1178823.5,0,0.0,0,0.0,0,0.0
react_moa_mcts,mir_operator:RMSNormOp,400,97436210,3.61,243590.5,7775317,11.58,27349917,28.1,2800,8.0
react_moa_mcts,mir_operator:LinearOp,600,67037580,2.48,111729.3,11599644,17.28,16569565,24.7,600,17.3
react_moa_mcts,token_preprocess_cpu,200,59118017,2.19,295590.1,0,0.0,0,0.0,0,0.0
react_moa_mcts,h2d_stage,200,40168598,1.49,200843.0,21334626,31.78,24395370,60.7,0,53.1
react_moa_mcts,d2h_stage,200,32711629,1.21,163558.1,22087654,32.91,23071905,70.5,0,67.5
react_moa_mcts,dag_schedule_gap,220,29714397,1.1,135065.4,0,0.0,814604,2.7,0,0.0
react_moa_mcts,weight_init,200,28222565,1.05,141112.8,1362664,2.03,6431585,22.8,400,4.8
react_moa_mcts,mir_operator:TransposeOp,200,24017468,0.89,120087.3,2508523,3.74,5371652,22.4,200,10.4
react_moa_mcts,mir_operator:AddOp,200,20499153,0.76,102495.8,454674,0.68,5235662,25.5,200,2.2
react_moa_mcts,mir_operator:ViewOp,200,14316471,0.53,71582.4,0,0.0,2912411,20.3,0,0.0
react_moa_mcts,checksum_complete,200,13089314,0.48,65446.6,0,0.0,374325,2.9,0,0.0
react_moa_mcts,inter_operator_dispatch,1400,11259726,0.42,8042.7,0,0.0,0,0.0,0,0.0
react_moa_mcts,agent_tool_execute_cpu,20,6494730,0.24,324736.5,0,0.0,0,0.0,0,0.0
react_moa_mcts,pre_d2h_alloc,200,2583329,0.1,12916.6,0,0.0,0,0.0,0,0.0
react_moa_mcts,iteration_tail_sync,20,1238540,0.05,61927.0,0,0.0,261313,21.1,0,0.0
