workload,call_id,call_kind,wave,matrix_size,host_ns_per_iter,host_share_pct,gpu_ns_per_iter,gpu_share_pct,gpu_over_host_pct
react_moa_mcts_x3_L,react-plan#r0,llm,0,3072,115598764.8,1.74,48296550.1,1.45,41.78
react_moa_mcts_x3_L,moa-map0#r0,llm,0,4096,235950763.0,3.56,121903819.9,3.67,51.66
react_moa_mcts_x3_L,moa-map1#r0,llm,0,4096,237013731.1,3.58,121452793.5,3.65,51.24
react_moa_mcts_x3_L,moa-map2#r0,llm,0,4096,237399330.1,3.58,121802598.1,3.67,51.31
react_moa_mcts_x3_L,mcts-root#r0,llm,0,4096,239845753.1,3.62,121467657.6,3.65,50.64
react_moa_mcts_x3_L,react-tool#r0,tool,1,256,307900.6,0.0,0.0,0.0,0.0
react_moa_mcts_x3_L,mcts-actor0#r0,llm,1,4096,239704564.5,3.62,121497662.1,3.66,50.69
react_moa_mcts_x3_L,mcts-actor1#r0,llm,1,4096,238690732.5,3.6,121628445.1,3.66,50.96
react_moa_mcts_x3_L,moa-reduce#r0,llm,1,4096,242396498.4,3.66,121666391.2,3.66,50.19
react_moa_mcts_x3_L,react-answer#r0,llm,2,3584,176754712.1,2.67,86354298.6,2.6,48.86
react_moa_mcts_x3_L,mcts-critic#r0,llm,2,4096,237431053.6,3.58,121708814.0,3.66,51.26
react_moa_mcts_x3_L,react-plan#r1,llm,3,3072,118406794.2,1.79,48148346.9,1.45,40.66
react_moa_mcts_x3_L,moa-map0#r1,llm,3,4096,242478309.1,3.66,121688532.5,3.66,50.19
react_moa_mcts_x3_L,moa-map1#r1,llm,3,4096,241722547.9,3.65,122138791.2,3.68,50.53
react_moa_mcts_x3_L,moa-map2#r1,llm,3,4096,239562524.0,3.61,121647912.5,3.66,50.78
react_moa_mcts_x3_L,mcts-root#r1,llm,3,4096,240810727.4,3.63,121792288.0,3.66,50.58
react_moa_mcts_x3_L,react-tool#r1,tool,4,256,289235.0,0.0,0.0,0.0,0.0
react_moa_mcts_x3_L,mcts-actor0#r1,llm,4,4096,239994481.6,3.62,121526781.8,3.66,50.64
react_moa_mcts_x3_L,mcts-actor1#r1,llm,4,4096,238076275.0,3.59,121611563.6,3.66,51.08
react_moa_mcts_x3_L,moa-reduce#r1,llm,4,4096,237364050.4,3.58,121801404.8,3.66,51.31
react_moa_mcts_x3_L,react-answer#r1,llm,5,3584,176080777.8,2.66,86720990.5,2.61,49.25
react_moa_mcts_x3_L,mcts-critic#r1,llm,5,4096,239695874.8,3.62,121660881.0,3.66,50.76
react_moa_mcts_x3_L,react-plan#r2,llm,6,3072,116322013.8,1.75,48161550.1,1.45,41.4
react_moa_mcts_x3_L,moa-map0#r2,llm,6,4096,236628350.6,3.57,121175459.1,3.65,51.21
react_moa_mcts_x3_L,moa-map1#r2,llm,6,4096,242056428.6,3.65,121195675.1,3.65,50.07
react_moa_mcts_x3_L,moa-map2#r2,llm,6,4096,241605094.8,3.64,121474272.8,3.66,50.28
react_moa_mcts_x3_L,mcts-root#r2,llm,6,4096,241697487.8,3.65,121610013.4,3.66,50.31
react_moa_mcts_x3_L,react-tool#r2,tool,7,256,326099.5,0.0,0.0,0.0,0.0
react_moa_mcts_x3_L,mcts-actor0#r2,llm,7,4096,243509141.0,3.67,121871293.2,3.67,50.05
react_moa_mcts_x3_L,mcts-actor1#r2,llm,7,4096,237630630.0,3.58,121622674.2,3.66,51.18
react_moa_mcts_x3_L,moa-reduce#r2,llm,7,4096,236441502.2,3.57,121741152.9,3.66,51.49
react_moa_mcts_x3_L,react-answer#r2,llm,8,3584,176565423.8,2.66,86651235.1,2.61,49.08
react_moa_mcts_x3_L,mcts-critic#r2,llm,8,4096,235801863.5,3.56,121363988.5,3.65,51.47
react_moa_mcts_x3_L,<dag>,dag,,,4402486.1,0.07,0.0,0.0,0.0
