workload,call_id,process,op_index,op_type,engine,instances,host_ns_median,host_ns_min,host_ns_max,gpu_ns_median,cuda_api_ns_median,cuda_api_top,kernel_families,kernels_per_instance
react_moa_mcts_x3_L,react-plan#r0,adapter_dispatch,,,,8,815988.5,737642,916092,0.0,0.0,,,0
react_moa_mcts_x3_L,react-plan#r0,token_preprocess_cpu,,,,8,322016.5,195340,393496,0.0,0.0,,,0
react_moa_mcts_x3_L,react-plan#r0,host_input_generate,,,,8,64141687.5,62664769,67537267,0.0,9017.5,cudaEventQuery,,0
react_moa_mcts_x3_L,react-plan#r0,h2d_stage,,,,8,913182.0,868281,966613,775161.0,808618.0,cudaEventSynchronize,memcpy,0
react_moa_mcts_x3_L,react-plan#r0,weight_init,,,,8,180323.0,128514,197646,29807.0,44431.0,cudaLaunchKernel,elementwise_binary|rng_init,2
react_moa_mcts_x3_L,react-plan#r0,mir_operator:RMSNormOp,6,RMSNormOp,ve,8,4311771.5,4275360,4357836,4052053.5,2210132.5,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,224
react_moa_mcts_x3_L,react-plan#r0,inter_operator_dispatch,,,,56,9689.0,4855,26230,0.0,0.0,,,0
react_moa_mcts_x3_L,react-plan#r0,mir_operator:AddOp,7,AddOp,ve,8,555680.5,505092,575118,326200.0,163214.5,cudaLaunchKernel,elementwise_binary,32
react_moa_mcts_x3_L,react-plan#r0,mir_operator:RMSNormOp,8,RMSNormOp,ve,8,4250511.5,4226484,4323343,4038792.0,2264705.5,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,224
react_moa_mcts_x3_L,react-plan#r0,mir_operator:LinearOp,10,LinearOp,me,8,11628108.5,11293704,11663837,11489562.5,11034796.0,cudaEventSynchronize,gemm,32
react_moa_mcts_x3_L,react-plan#r0,mir_operator:LinearOp,11,LinearOp,me,8,11436816.0,11198231,11612061,11339486.5,10901477.5,cudaEventSynchronize,gemm,32
react_moa_mcts_x3_L,react-plan#r0,mir_operator:LinearOp,12,LinearOp,me,8,11320155.0,11247958,11667155,11230803.0,10782939.5,cudaEventSynchronize,gemm,32
react_moa_mcts_x3_L,react-plan#r0,mir_operator:ViewOp,13,ViewOp,de,8,141168.0,129991,156555,0.0,11839.5,cudaEventRecord,,0
react_moa_mcts_x3_L,react-plan#r0,mir_operator:TransposeOp,14,TransposeOp,de,8,4326417.5,4112936,4593848,4206498.0,3728718.0,cudaEventSynchronize,copy,32
react_moa_mcts_x3_L,react-plan#r0,pre_d2h_alloc,,,,8,16533.5,9177,26206,0.0,0.0,,,0
react_moa_mcts_x3_L,react-plan#r0,d2h_stage,,,,8,884577.5,856793,898651,828263.0,839037.0,cudaEventSynchronize,memcpy,0
react_moa_mcts_x3_L,react-plan#r0,checksum_complete,,,,8,77220.5,58302,83627,0.0,1592.0,cudaEventDestroy,,0
react_moa_mcts_x3_L,moa-map0#r0,adapter_dispatch,,,,8,796670.0,721779,865133,0.0,0.0,,,0
react_moa_mcts_x3_L,moa-map0#r0,token_preprocess_cpu,,,,8,345230.5,263353,362334,0.0,0.0,,,0
react_moa_mcts_x3_L,moa-map0#r0,host_input_generate,,,,8,110733698.5,109509362,113820288,0.0,7998.0,cudaEventQuery,,0
react_moa_mcts_x3_L,moa-map0#r0,h2d_stage,,,,8,1550125.0,1523001,1642992,1400693.5,1435684.0,cudaEventSynchronize,memcpy,0
react_moa_mcts_x3_L,moa-map0#r0,weight_init,,,,8,187009.0,140019,203702,51950.5,45828.0,cudaLaunchKernel,elementwise_binary|rng_init,2
react_moa_mcts_x3_L,moa-map0#r0,mir_operator:RMSNormOp,6,RMSNormOp,ve,8,16422692.0,16080418,16551610,16181040.0,14444910.5,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,224
react_moa_mcts_x3_L,moa-map0#r0,inter_operator_dispatch,,,,56,10640.5,4848,36148,0.0,0.0,,,0
react_moa_mcts_x3_L,moa-map0#r0,mir_operator:AddOp,7,AddOp,ve,8,696704.0,688970,707686,603630.5,321917.5,cudaLaunchKernel,elementwise_binary,32
react_moa_mcts_x3_L,moa-map0#r0,mir_operator:RMSNormOp,8,RMSNormOp,ve,8,16015575.5,15996431,16500358,15799703.5,14145103.0,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,224
react_moa_mcts_x3_L,moa-map0#r0,mir_operator:LinearOp,10,LinearOp,me,8,26070845.5,25692404,26369369,25873565.5,25372414.5,cudaEventSynchronize,gemm|memset,32
react_moa_mcts_x3_L,moa-map0#r0,mir_operator:LinearOp,11,LinearOp,me,8,26765615.0,25758352,27127466,26612408.5,26154833.5,cudaEventSynchronize,gemm|memset,32
react_moa_mcts_x3_L,moa-map0#r0,mir_operator:LinearOp,12,LinearOp,me,8,27209944.5,26182266,27389508,27038217.5,26583132.5,cudaEventSynchronize,gemm|memset,32
react_moa_mcts_x3_L,moa-map0#r0,mir_operator:ViewOp,13,ViewOp,de,8,145906.5,131267,171168,0.0,12293.5,cudaEventRecord,,0
react_moa_mcts_x3_L,moa-map0#r0,mir_operator:TransposeOp,14,TransposeOp,de,8,7329110.0,7294026,7806629,7201096.5,6742793.0,cudaEventSynchronize,copy,32
react_moa_mcts_x3_L,moa-map0#r0,pre_d2h_alloc,,,,8,22876.0,11699,24343,0.0,0.0,,,0
react_moa_mcts_x3_L,moa-map0#r0,d2h_stage,,,,8,1489074.0,1470041,1698672,1442405.0,1448948.0,cudaEventSynchronize,memcpy,0
react_moa_mcts_x3_L,moa-map0#r0,checksum_complete,,,,8,82296.5,62819,94629,0.0,1640.5,cudaEventDestroy,,0
react_moa_mcts_x3_L,moa-map1#r0,adapter_dispatch,,,,8,757228.5,708217,887645,0.0,0.0,,,0
react_moa_mcts_x3_L,moa-map1#r0,token_preprocess_cpu,,,,8,349406.0,284185,365356,0.0,0.0,,,0
react_moa_mcts_x3_L,moa-map1#r0,host_input_generate,,,,8,112577904.0,109812724,115202392,0.0,9749.5,cudaEventQuery,,0
react_moa_mcts_x3_L,moa-map1#r0,h2d_stage,,,,8,1531485.5,1465853,1681394,1376822.0,1416652.5,cudaEventSynchronize,memcpy,0
react_moa_mcts_x3_L,moa-map1#r0,weight_init,,,,8,196806.5,126263,244315,52718.5,47924.5,cudaLaunchKernel,elementwise_binary|rng_init,2
react_moa_mcts_x3_L,moa-map1#r0,mir_operator:RMSNormOp,6,RMSNormOp,ve,8,16101084.0,16070002,16579731,15836933.0,14105756.5,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,224
react_moa_mcts_x3_L,moa-map1#r0,inter_operator_dispatch,,,,56,13581.0,5144,30864,0.0,0.0,,,0
react_moa_mcts_x3_L,moa-map1#r0,mir_operator:AddOp,7,AddOp,ve,8,713370.0,686501,813240,604813.0,317237.5,cudaEventSynchronize,elementwise_binary,32
react_moa_mcts_x3_L,moa-map1#r0,mir_operator:RMSNormOp,8,RMSNormOp,ve,8,16220873.0,16015175,16540486,15963919.5,14223622.0,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,224
react_moa_mcts_x3_L,moa-map1#r0,mir_operator:LinearOp,10,LinearOp,me,8,26039186.5,25695873,26384160,25857599.0,25384048.0,cudaEventSynchronize,gemm|memset,32
react_moa_mcts_x3_L,moa-map1#r0,mir_operator:LinearOp,11,LinearOp,me,8,26256806.5,26031139,27033223,26095322.0,25606839.0,cudaEventSynchronize,gemm|memset,32
react_moa_mcts_x3_L,moa-map1#r0,mir_operator:LinearOp,12,LinearOp,me,8,26855491.5,25858905,27382573,26705934.0,26229693.5,cudaEventSynchronize,gemm|memset,32
react_moa_mcts_x3_L,moa-map1#r0,mir_operator:ViewOp,13,ViewOp,de,8,152840.5,126325,180129,0.0,12448.0,cudaEventRecord,,0
react_moa_mcts_x3_L,moa-map1#r0,mir_operator:TransposeOp,14,TransposeOp,de,8,7337846.0,6897842,7812300,7207193.5,6749757.0,cudaEventSynchronize,copy,32
react_moa_mcts_x3_L,moa-map1#r0,pre_d2h_alloc,,,,8,21418.0,14525,25528,0.0,0.0,,,0
react_moa_mcts_x3_L,moa-map1#r0,d2h_stage,,,,8,1506962.5,1479969,1545228,1446276.5,1456227.0,cudaEventSynchronize,memcpy,0
react_moa_mcts_x3_L,moa-map1#r0,checksum_complete,,,,8,84015.5,62198,93852,0.0,1706.0,cudaEventDestroy,,0
react_moa_mcts_x3_L,moa-map2#r0,adapter_dispatch,,,,8,750038.5,678762,958281,0.0,0.0,,,0
react_moa_mcts_x3_L,moa-map2#r0,token_preprocess_cpu,,,,8,328234.0,271595,365050,0.0,0.0,,,0
react_moa_mcts_x3_L,moa-map2#r0,host_input_generate,,,,8,112349813.0,106393872,116142229,0.0,8792.5,cudaEventQuery,,0
react_moa_mcts_x3_L,moa-map2#r0,h2d_stage,,,,8,1576143.5,1525229,1650523,1440725.5,1477348.5,cudaEventSynchronize,memcpy,0
react_moa_mcts_x3_L,moa-map2#r0,weight_init,,,,8,194152.0,134773,212207,52638.5,48039.5,cudaLaunchKernel,elementwise_binary|rng_init,2
