workload,iteration,launch_order,call_id,process,op_index,kind,family,name,api_name,api_start_rel_us,gpu_start_rel_us,gpu_ns,launch_latency_ns,grid,block,stream
react_moa_mcts_x3_L,6,1,react-plan#r0,h2d_stage,,memcpy,memcpy,memcpy_Host-to-Device,cudaMemcpyAsync_v3020,39969561.1,39969586.5,776873,25433,0x0x0,0x0x0,7
react_moa_mcts_x3_L,6,2,react-plan#r0,weight_init,,kernel,rng_init,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda:",cudaLaunchKernel_v7000,39970459.1,39970549.6,18656,90520,768x1x1,256x1x1,7
react_moa_mcts_x3_L,6,3,react-plan#r0,weight_init,,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor<c10::Half, c10::Half, c10::Half, at::na",cudaLaunchKernel_v7000,39970529.8,39970569.0,11167,39167,9216x1x1,128x1x1,7
react_moa_mcts_x3_L,6,4,react-plan#r0,mir_operator:RMSNormOp,6,kernel,copy,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (i,cudaLaunchKernel_v7000,39970648.9,39970658.6,60030,9695,9216x1x1,128x1x1,7
react_moa_mcts_x3_L,6,5,react-plan#r0,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, ",cudaLaunchKernel_v7000,39970677.4,39970719.3,37599,41893,9216x1x1,128x1x1,7
react_moa_mcts_x3_L,6,6,react-plan#r0,mir_operator:RMSNormOp,6,kernel,reduce,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, fl",cudaLaunchKernel_v7000,39970709.9,39970757.5,11456,47560,192x1x1,32x16x1,7
react_moa_mcts_x3_L,6,7,react-plan#r0,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (uns",cudaLaunchKernel_v7000,39970733.6,39970769.7,992,36135,3x1x1,128x1x1,7
react_moa_mcts_x3_L,6,8,react-plan#r0,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda(",cudaLaunchKernel_v7000,39970753.1,39970771.4,992,18257,3x1x1,128x1x1,7
react_moa_mcts_x3_L,6,9,react-plan#r0,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<",cudaLaunchKernel_v7000,39970774.9,39970781.3,30624,6372,36864x1x1,128x1x1,7
react_moa_mcts_x3_L,6,10,react-plan#r0,mir_operator:RMSNormOp,6,kernel,copy,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[",cudaLaunchKernel_v7000,39970796.8,39970812.6,12063,15776,9216x1x1,128x1x1,7
react_moa_mcts_x3_L,6,11,react-plan#r0,mir_operator:RMSNormOp,6,kernel,copy,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (i,cudaLaunchKernel_v7000,39970819.9,39970827.3,27871,7376,9216x1x1,128x1x1,7
react_moa_mcts_x3_L,6,12,react-plan#r0,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, ",cudaLaunchKernel_v7000,39970833.6,39970855.8,39455,22187,9216x1x1,128x1x1,7
react_moa_mcts_x3_L,6,13,react-plan#r0,mir_operator:RMSNormOp,6,kernel,reduce,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, fl",cudaLaunchKernel_v7000,39970847.8,39970895.9,10336,48176,192x1x1,32x16x1,7
react_moa_mcts_x3_L,6,14,react-plan#r0,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (uns",cudaLaunchKernel_v7000,39970859.5,39970906.9,960,47364,3x1x1,128x1x1,7
react_moa_mcts_x3_L,6,15,react-plan#r0,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda(",cudaLaunchKernel_v7000,39970871.5,39970908.5,992,37051,3x1x1,128x1x1,7
react_moa_mcts_x3_L,6,16,react-plan#r0,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<",cudaLaunchKernel_v7000,39970884.1,39970910.1,31391,26085,36864x1x1,128x1x1,7
react_moa_mcts_x3_L,6,17,react-plan#r0,mir_operator:RMSNormOp,6,kernel,copy,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[",cudaLaunchKernel_v7000,39970898.7,39970942.1,12287,43485,9216x1x1,128x1x1,7
react_moa_mcts_x3_L,6,18,react-plan#r0,mir_operator:RMSNormOp,6,kernel,copy,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (i,cudaLaunchKernel_v7000,39970919.2,39970955.1,28767,35912,9216x1x1,128x1x1,7
react_moa_mcts_x3_L,6,19,react-plan#r0,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, ",cudaLaunchKernel_v7000,39970932.1,39970984.5,40863,52410,9216x1x1,128x1x1,7
react_moa_mcts_x3_L,6,20,react-plan#r0,mir_operator:RMSNormOp,6,kernel,reduce,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, fl",cudaLaunchKernel_v7000,39970945.8,39971026.0,10112,80247,192x1x1,32x16x1,7
react_moa_mcts_x3_L,6,21,react-plan#r0,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (uns",cudaLaunchKernel_v7000,39970958.8,39971036.8,1344,77909,3x1x1,128x1x1,7
react_moa_mcts_x3_L,6,22,react-plan#r0,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda(",cudaLaunchKernel_v7000,39970970.7,39971038.7,992,68077,3x1x1,128x1x1,7
react_moa_mcts_x3_L,6,23,react-plan#r0,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<",cudaLaunchKernel_v7000,39970983.2,39971040.4,31999,57126,36864x1x1,128x1x1,7
react_moa_mcts_x3_L,6,24,react-plan#r0,mir_operator:RMSNormOp,6,kernel,copy,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[",cudaLaunchKernel_v7000,39970997.8,39971073.0,12255,75218,9216x1x1,128x1x1,7
react_moa_mcts_x3_L,6,25,react-plan#r0,mir_operator:RMSNormOp,6,kernel,copy,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (i,cudaLaunchKernel_v7000,39971017.5,39971085.9,29216,68381,9216x1x1,128x1x1,7
react_moa_mcts_x3_L,6,26,react-plan#r0,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, ",cudaLaunchKernel_v7000,39971030.2,39971115.7,39838,85520,9216x1x1,128x1x1,7
react_moa_mcts_x3_L,6,27,react-plan#r0,mir_operator:RMSNormOp,6,kernel,reduce,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, fl",cudaLaunchKernel_v7000,39971044.2,39971156.2,10272,112074,192x1x1,32x16x1,7
react_moa_mcts_x3_L,6,28,react-plan#r0,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (uns",cudaLaunchKernel_v7000,39971054.9,39971167.2,960,112271,3x1x1,128x1x1,7
react_moa_mcts_x3_L,6,29,react-plan#r0,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda(",cudaLaunchKernel_v7000,39971066.4,39971168.8,992,102342,3x1x1,128x1x1,7
react_moa_mcts_x3_L,6,30,react-plan#r0,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<",cudaLaunchKernel_v7000,39971078.9,39971170.4,31391,91493,36864x1x1,128x1x1,7
react_moa_mcts_x3_L,6,31,react-plan#r0,mir_operator:RMSNormOp,6,kernel,copy,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[",cudaLaunchKernel_v7000,39971093.4,39971202.4,12096,108976,9216x1x1,128x1x1,7
react_moa_mcts_x3_L,6,32,react-plan#r0,mir_operator:RMSNormOp,6,kernel,copy,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (i,cudaLaunchKernel_v7000,39971112.4,39971215.3,29343,102913,9216x1x1,128x1x1,7
react_moa_mcts_x3_L,6,33,react-plan#r0,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, ",cudaLaunchKernel_v7000,39971125.2,39971245.3,39647,120109,9216x1x1,128x1x1,7
react_moa_mcts_x3_L,6,34,react-plan#r0,mir_operator:RMSNormOp,6,kernel,reduce,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, fl",cudaLaunchKernel_v7000,39971138.8,39971285.6,10623,146771,192x1x1,32x16x1,7
react_moa_mcts_x3_L,6,35,react-plan#r0,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (uns",cudaLaunchKernel_v7000,39971149.8,39971296.9,960,147045,3x1x1,128x1x1,7
react_moa_mcts_x3_L,6,36,react-plan#r0,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda(",cudaLaunchKernel_v7000,39971163.1,39971298.4,992,135394,3x1x1,128x1x1,7
react_moa_mcts_x3_L,6,37,react-plan#r0,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<",cudaLaunchKernel_v7000,39971175.7,39971300.0,31999,124381,36864x1x1,128x1x1,7
react_moa_mcts_x3_L,6,38,react-plan#r0,mir_operator:RMSNormOp,6,kernel,copy,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[",cudaLaunchKernel_v7000,39971190.1,39971332.7,12096,142599,9216x1x1,128x1x1,7
react_moa_mcts_x3_L,6,39,react-plan#r0,mir_operator:RMSNormOp,6,kernel,copy,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (i,cudaLaunchKernel_v7000,39971209.1,39971345.5,29183,136470,9216x1x1,128x1x1,7
