workload,process,instances,host_ns_total,host_share_pct,host_ns_per_instance,gpu_ns_total,gpu_share_pct,cuda_api_ns_total,cuda_api_share_of_host_pct,kernel_launches,gpu_over_host_pct
react_moa_mcts_x3_L,host_input_generate,240,25652331944,48.37,106884716.4,0,0.0,2266832,0.0,0,0.0
react_moa_mcts_x3_L,mir_operator:LinearOp,720,17490508356,32.98,24292372.7,17375384552,65.35,17034000584,97.4,23040,99.3
react_moa_mcts_x3_L,mir_operator:RMSNormOp,480,6903717022,13.02,14382743.8,6786648105,25.53,5925393325,85.8,107520,98.3
react_moa_mcts_x3_L,mir_operator:TransposeOp,240,1665680274,3.14,6940334.5,1634155326,6.15,1521607817,91.4,7680,98.1
react_moa_mcts_x3_L,h2d_stage,240,352661291,0.67,1469422.0,316400156,1.19,326906476,92.7,0,89.7
react_moa_mcts_x3_L,d2h_stage,240,341434015,0.64,1422641.7,327187585,1.23,330262979,96.7,0,95.8
react_moa_mcts_x3_L,adapter_dispatch,240,207585749,0.39,864940.6,0,0.0,0,0.0,0,0.0
react_moa_mcts_x3_L,mir_operator:AddOp,240,164547592,0.31,685615.0,135464398,0.51,69815089,42.4,7680,82.3
react_moa_mcts_x3_L,token_preprocess_cpu,240,78080473,0.15,325335.3,0,0.0,0,0.0,0,0.0
react_moa_mcts_x3_L,weight_init,240,45079911,0.09,187833.0,11830579,0.04,11006700,24.4,480,26.2
react_moa_mcts_x3_L,mir_operator:ViewOp,240,37665310,0.07,156938.8,0,0.0,3762346,10.0,0,0.0
react_moa_mcts_x3_L,dag_schedule_gap,264,34610726,0.07,131101.2,0,0.0,942669,2.7,0,0.0
react_moa_mcts_x3_L,inter_operator_dispatch,1680,21733144,0.04,12936.4,0,0.0,0,0.0,0,0.0
react_moa_mcts_x3_L,checksum_complete,240,19829452,0.04,82622.7,0,0.0,447474,2.3,0,0.0
react_moa_mcts_x3_L,agent_tool_execute_cpu,24,7385881,0.01,307745.0,0,0.0,0,0.0,0,0.0
react_moa_mcts_x3_L,pre_d2h_alloc,240,5035078,0.01,20979.5,0,0.0,14494,0.3,0,0.0
react_moa_mcts_x3_L,iteration_tail_sync,8,609163,0.0,76145.4,0,0.0,106578,17.5,0,0.0
