workload,phase,iteration,call_id,call_kind,process,op_index,op_type,engine,basis,start,end,host_ns,gpu_work_ns,gpu_busy_union_ns,kernel_launches,memcpy_memset,cuda_api_ns,cuda_api_calls,cuda_api_top,host_minus_api_ns,kernel_families
react_tool,measured,0,,dag,dag_schedule_gap,,,,gap_between_markers,3388406371,3388416330,9959,0,0,0,0,0,0,,9959,
react_tool,measured,0,plan,llm,adapter_dispatch,,,,gap_between_markers,3388416330,3389585788,1169458,0,0,0,0,0,0,,1169458,
react_tool,measured,0,plan,llm,token_preprocess_cpu,,,,host_event,3389585788,3389937065,351277,0,0,0,0,0,0,,351277,
react_tool,measured,0,plan,llm,host_input_generate,,,,gap_between_markers,3389937065,3395073790,5136725,0,0,0,0,8223,2,cudaEventQuery,5128502,
react_tool,measured,0,plan,llm,h2d_stage,,,,host_event,3395073790,3395256312,182522,82448,82448,0,1,93361,6,cudaEventSynchronize,89161,memcpy
react_tool,measured,0,plan,llm,weight_init,,,,gap_between_markers,3395256312,3395415059,158747,4991,4991,2,0,35988,7,cudaLaunchKernel,122759,elementwise_binary|rng_init
react_tool,measured,0,plan,llm,mir_operator:RMSNormOp,6,RMSNormOp,ve,nvtx_range,3395415059,3395705599,290540,15902,15902,7,0,78939,14,cudaLaunchKernel,211601,copy|elementwise_binary|elementwise_unary|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3395705599,3395716792,11193,0,0,0,0,0,0,,11193,
react_tool,measured,0,plan,llm,mir_operator:AddOp,7,AddOp,ve,nvtx_range,3395716792,3395818144,101352,1440,1440,1,0,26048,8,cudaLaunchKernel,75304,elementwise_binary
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3395818144,3395825297,7153,0,0,0,0,0,0,,7153,
react_tool,measured,0,plan,llm,mir_operator:RMSNormOp,8,RMSNormOp,ve,nvtx_range,3395825297,3396057240,231943,15453,15453,7,0,71856,14,cudaLaunchKernel,160087,copy|elementwise_binary|elementwise_unary|reduce
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3396057240,3396065297,8057,0,0,0,0,0,0,,8057,
react_tool,measured,0,plan,llm,mir_operator:LinearOp,10,LinearOp,me,nvtx_range,3396065297,3396234519,169222,12893,12893,1,1,42342,10,cuLaunchKernel,126880,gemm|memset
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3396234519,3396243550,9031,0,0,0,0,0,0,,9031,
react_tool,measured,0,plan,llm,mir_operator:LinearOp,11,LinearOp,me,nvtx_range,3396243550,3396370759,127209,12765,12765,1,1,35361,10,cuLaunchKernel,91848,gemm|memset
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3396370759,3396378658,7899,0,0,0,0,0,0,,7899,
react_tool,measured,0,plan,llm,mir_operator:LinearOp,12,LinearOp,me,nvtx_range,3396378658,3396493448,114790,12669,12669,1,1,34792,10,cudaEventRecord,79998,gemm|memset
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3396493448,3396500830,7382,0,0,0,0,0,0,,7382,
react_tool,measured,0,plan,llm,mir_operator:ViewOp,13,ViewOp,de,nvtx_range,3396500830,3396575549,74719,0,0,0,0,14248,7,cudaEventRecord,60471,
react_tool,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3396575549,3396581429,5880,0,0,0,0,0,0,,5880,
react_tool,measured,0,plan,llm,mir_operator:TransposeOp,14,TransposeOp,de,nvtx_range,3396581429,3396710297,128868,9470,9470,1,0,28766,8,cudaLaunchKernel,100102,copy
react_tool,measured,0,plan,llm,pre_d2h_alloc,,,,gap_between_markers,3396710297,3396724158,13861,0,0,0,0,0,0,,13861,
react_tool,measured,0,plan,llm,d2h_stage,,,,host_event,3396724158,3396869827,145669,90511,90511,0,1,96862,6,cudaEventSynchronize,48807,memcpy
react_tool,measured,0,plan,llm,checksum_complete,,,,gap_between_markers,3396869827,3396942607,72780,0,0,0,0,1760,2,cudaEventDestroy,71020,
react_tool,measured,0,,dag,dag_schedule_gap,,,,gap_between_markers,3396942607,3398139513,1196906,0,0,0,0,4639,2,cudaEventRecord,1192267,
react_tool,measured,0,lookup,tool,agent_tool_execute_cpu,,,,host_event,3398139513,3398471431,331918,0,0,0,0,0,0,,331918,
react_tool,measured,0,,dag,dag_schedule_gap,,,,gap_between_markers,3398471431,3398534053,62622,0,0,0,0,0,0,,62622,
react_tool,measured,0,answer,llm,adapter_dispatch,,,,gap_between_markers,3398534053,3399892538,1358485,0,0,0,0,0,0,,1358485,
react_tool,measured,0,answer,llm,token_preprocess_cpu,,,,host_event,3399892538,3400070027,177489,0,0,0,0,0,0,,177489,
react_tool,measured,0,answer,llm,host_input_generate,,,,gap_between_markers,3400070027,3405189007,5118980,0,0,0,0,9328,2,cudaEventQuery,5109652,
react_tool,measured,0,answer,llm,h2d_stage,,,,host_event,3405189007,3405385210,196203,83343,83343,0,1,99702,6,cudaEventSynchronize,96501,memcpy
react_tool,measured,0,answer,llm,weight_init,,,,gap_between_markers,3405385210,3405539484,154274,4991,4991,2,0,36128,7,cudaLaunchKernel,118146,elementwise_binary|rng_init
react_tool,measured,0,answer,llm,mir_operator:RMSNormOp,6,RMSNormOp,ve,nvtx_range,3405539484,3405812551,273067,15804,15804,7,0,75872,14,cudaLaunchKernel,197195,copy|elementwise_binary|elementwise_unary|reduce
react_tool,measured,0,answer,llm,inter_operator_dispatch,,,,gap_between_markers,3405812551,3405822974,10423,0,0,0,0,0,0,,10423,
react_tool,measured,0,answer,llm,mir_operator:AddOp,7,AddOp,ve,nvtx_range,3405822974,3405925136,102162,1472,1472,1,0,26590,8,cudaLaunchKernel,75572,elementwise_binary
react_tool,measured,0,answer,llm,inter_operator_dispatch,,,,gap_between_markers,3405925136,3405932231,7095,0,0,0,0,0,0,,7095,
react_tool,measured,0,answer,llm,mir_operator:RMSNormOp,8,RMSNormOp,ve,nvtx_range,3405932231,3406162642,230411,15134,15134,7,0,70361,14,cudaLaunchKernel,160050,copy|elementwise_binary|elementwise_unary|reduce
react_tool,measured,0,answer,llm,inter_operator_dispatch,,,,gap_between_markers,3406162642,3406171159,8517,0,0,0,0,0,0,,8517,
react_tool,measured,0,answer,llm,mir_operator:LinearOp,10,LinearOp,me,nvtx_range,3406171159,3406345168,174009,12893,12893,1,1,59538,10,cudaEventRecord,114471,gemm|memset
react_tool,measured,0,answer,llm,inter_operator_dispatch,,,,gap_between_markers,3406345168,3406354220,9052,0,0,0,0,0,0,,9052,
