workload,call_id,process,op_index,op_type,engine,instances,host_ns_median,host_ns_min,host_ns_max,gpu_ns_median,cuda_api_ns_median,cuda_api_top,kernel_families,kernels_per_instance
react_tool,plan,adapter_dispatch,,,,20,1151479.0,971093,1203069,0.0,0.0,,,0
react_tool,plan,token_preprocess_cpu,,,,20,319523.0,288556,356139,0.0,0.0,,,0
react_tool,plan,host_input_generate,,,,20,5103529.5,5038908,8194767,0.0,7562.5,cudaEventQuery,,0
react_tool,plan,h2d_stage,,,,20,178811.5,125349,218783,80592.0,95008.0,cudaEventSynchronize,memcpy,0
react_tool,plan,weight_init,,,,20,149558.5,118392,177829,4991.0,35284.5,cudaLaunchKernel,elementwise_binary|rng_init,2
react_tool,plan,mir_operator:RMSNormOp,6,RMSNormOp,ve,20,272611.5,227844,297232,15902.0,74969.0,cudaLaunchKernel,copy|elementwise_binary|elementwise_unary|reduce,7
react_tool,plan,inter_operator_dispatch,,,,140,7754.5,5446,18743,0.0,0.0,,,0
react_tool,plan,mir_operator:AddOp,7,AddOp,ve,20,100434.5,92438,112812,1440.0,25668.0,cudaLaunchKernel,elementwise_binary,1
react_tool,plan,mir_operator:RMSNormOp,8,RMSNormOp,ve,20,229340.0,204826,255497,15484.5,69375.0,cudaLaunchKernel,copy|elementwise_binary|elementwise_unary|reduce,7
react_tool,plan,mir_operator:LinearOp,10,LinearOp,me,20,149917.5,126312,178098,12829.0,41100.0,cuLaunchKernel,gemm|memset,1
react_tool,plan,mir_operator:LinearOp,11,LinearOp,me,20,118251.0,105881,131774,12716.5,33803.0,cuLaunchKernel,gemm|memset,1
react_tool,plan,mir_operator:LinearOp,12,LinearOp,me,20,110302.0,103709,132914,12701.0,32130.0,cudaEventRecord,gemm|memset,1
react_tool,plan,mir_operator:ViewOp,13,ViewOp,de,20,72448.0,66993,138412,0.0,13910.0,cudaEventRecord,,0
react_tool,plan,mir_operator:TransposeOp,14,TransposeOp,de,20,127066.5,112087,162854,9406.0,29846.5,cudaLaunchKernel,copy,1
react_tool,plan,pre_d2h_alloc,,,,20,13856.0,10762,14912,0.0,0.0,,,0
react_tool,plan,d2h_stage,,,,20,144488.5,98695,241618,90190.0,96746.0,cudaEventSynchronize,memcpy,0
react_tool,plan,checksum_complete,,,,20,70410.5,55865,83010,0.0,2028.0,cudaEventDestroy,,0
react_tool,lookup,agent_tool_execute_cpu,,,,20,324128.5,275894,366488,0.0,0.0,,,0
react_tool,answer,adapter_dispatch,,,,20,1301387.5,1255556,1813024,0.0,0.0,,,0
react_tool,answer,token_preprocess_cpu,,,,20,156050.5,104100,186471,0.0,0.0,,,0
react_tool,answer,host_input_generate,,,,20,5090366.5,5031307,8124617,0.0,8354.0,cudaEventQuery,,0
react_tool,answer,h2d_stage,,,,20,181320.5,127403,317136,81616.0,95990.5,cudaEventSynchronize,memcpy,0
react_tool,answer,weight_init,,,,20,149888.5,118684,173973,4992.0,34577.5,cudaLaunchKernel,elementwise_binary|rng_init,2
react_tool,answer,mir_operator:RMSNormOp,6,RMSNormOp,ve,20,269621.0,228146,298271,15804.0,75482.5,cudaLaunchKernel,copy|elementwise_binary|elementwise_unary|reduce,7
react_tool,answer,inter_operator_dispatch,,,,140,7873.0,5349,26109,0.0,0.0,,,0
react_tool,answer,mir_operator:AddOp,7,AddOp,ve,20,101543.5,92876,161804,1440.0,26222.5,cudaLaunchKernel,elementwise_binary,1
react_tool,answer,mir_operator:RMSNormOp,8,RMSNormOp,ve,20,230706.0,207383,290823,15484.5,70414.0,cudaLaunchKernel,copy|elementwise_binary|elementwise_unary|reduce,7
react_tool,answer,mir_operator:LinearOp,10,LinearOp,me,20,152552.5,127645,174009,12829.0,41079.5,cudaEventRecord,gemm|memset,1
react_tool,answer,mir_operator:LinearOp,11,LinearOp,me,20,116908.0,105908,853409,12718.0,33297.0,cuLaunchKernel,gemm|memset,1
react_tool,answer,mir_operator:LinearOp,12,LinearOp,me,20,111256.5,102368,139423,12734.0,32391.5,cuLaunchKernel,gemm|memset,1
react_tool,answer,mir_operator:ViewOp,13,ViewOp,de,20,72565.0,65917,87675,0.0,13929.0,cudaEventRecord,,0
react_tool,answer,mir_operator:TransposeOp,14,TransposeOp,de,20,127761.5,110238,143947,9374.5,29391.5,cudaLaunchKernel,copy,1
react_tool,answer,pre_d2h_alloc,,,,20,13768.0,10783,18747,0.0,0.0,,,0
react_tool,answer,d2h_stage,,,,20,144903.5,97238,175760,90270.5,96965.5,cudaEventSynchronize,memcpy,0
react_tool,answer,checksum_complete,,,,20,69616.0,54883,83890,0.0,2180.0,cudaEventDestroy,,0
react_tool,,dag_schedule_gap,,,,60,61983.0,7241,1244536,0.0,0.0,,,0
react_tool,,iteration_tail_sync,,,,20,49537.5,42224,78264,0.0,10385.5,cudaDeviceSynchronize,,0
