workload,iteration,wall_ns,segment_sum_ns,segments,gpu_work_ns,cuda_api_ns,conservation_err_ns
react_tool,0,18689933,18689933,51,517370,1172572,0
react_tool,1,18774099,18774099,51,528250,1305960,0
react_tool,2,18643331,18643331,51,527449,1206884,0
react_tool,3,18675361,18675361,51,515550,1179092,0
react_tool,4,22167122,22167122,51,518331,1146363,0
react_tool,5,21781680,21781680,51,516918,1171972,0
react_tool,6,18482516,18482516,51,516793,1149269,0
react_tool,7,18485613,18485613,51,514679,1165090,0
react_tool,8,18220405,18220405,51,518010,1180597,0
react_tool,9,17480211,17480211,51,381392,860389,0
react_tool,10,17599478,17599478,51,381301,857385,0
react_tool,11,17517030,17517030,51,474338,977778,0
react_tool,12,18409739,18409739,51,448937,1713223,0
react_tool,13,17754793,17754793,51,404367,902385,0
react_tool,14,17997765,17997765,51,442444,995615,0
react_tool,15,18068260,18068260,51,482885,1083176,0
react_tool,16,18853060,18853060,51,517910,1167022,0
react_tool,17,18532810,18532810,51,518814,1192263,0
react_tool,18,18425678,18425678,51,512757,1126013,0
react_tool,19,18576726,18576726,51,514429,1162869,0
