workload,process,instances,host_ns_total,host_share_pct,host_ns_per_instance,gpu_ns_total,gpu_share_pct,cuda_api_ns_total,cuda_api_share_of_host_pct,kernel_launches,gpu_over_host_pct
react_tool,host_input_generate,40,209911710,56.26,5247792.8,0,0.0,306901,0.1,0,0.0
react_tool,adapter_dispatch,40,49043627,13.14,1226090.7,0,0.0,0,0.0,0,0.0
react_tool,dag_schedule_gap,60,25172754,6.75,419545.9,0,0.0,100276,0.4,0,0.0
react_tool,mir_operator:RMSNormOp,80,20041529,5.37,250519.1,1363569,13.98,5804703,29.0,560,6.8
react_tool,mir_operator:LinearOp,120,15899088,4.26,132492.4,1531559,15.7,4934401,31.0,120,9.6
react_tool,token_preprocess_cpu,40,9484938,2.54,237123.5,0,0.0,0,0.0,0,0.0
react_tool,h2d_stage,40,6920198,1.85,173005.0,2982006,30.58,3460593,50.0,0,43.1
react_tool,agent_tool_execute_cpu,20,6382657,1.71,319132.8,0,0.0,0,0.0,0,0.0
react_tool,weight_init,40,5908746,1.58,147718.6,218489,2.24,1353311,22.9,80,3.7
react_tool,d2h_stage,40,5491935,1.47,137298.4,3201134,32.82,3493833,63.6,0,58.3
react_tool,mir_operator:TransposeOp,40,5093801,1.37,127345.0,375830,3.85,1216195,23.9,40,7.4
react_tool,mir_operator:AddOp,40,4155918,1.11,103897.9,80337,0.82,1127354,27.1,40,1.9
react_tool,mir_operator:ViewOp,40,3021809,0.81,75545.2,0,0.0,617719,20.4,0,0.0
react_tool,checksum_complete,40,2716238,0.73,67905.9,0,0.0,83015,3.1,0,0.0
react_tool,inter_operator_dispatch,280,2306427,0.62,8237.2,0,0.0,0,0.0,0,0.0
react_tool,iteration_tail_sync,20,1044465,0.28,52223.2,0,0.0,217616,20.8,0,0.0
react_tool,pre_d2h_alloc,40,539770,0.14,13494.2,0,0.0,0,0.0,0,0.0
