workload,call_id,process,op_index,op_type,engine,instances,host_ns_median,host_ns_min,host_ns_max,gpu_ns_median,cuda_api_ns_median,cuda_api_top,kernel_families,kernels_per_instance
react_tool_L,plan,adapter_dispatch,,,,8,948625.5,884930,1023055,0.0,0.0,,,0
react_tool_L,plan,token_preprocess_cpu,,,,8,359624.0,301320,398987,0.0,0.0,,,0
react_tool_L,plan,host_input_generate,,,,8,66353476.0,62848785,67192661,0.0,9323.0,cudaEventQuery,,0
react_tool_L,plan,h2d_stage,,,,8,963943.5,940704,999541,810547.5,848936.0,cudaEventSynchronize,memcpy,0
react_tool_L,plan,weight_init,,,,8,194297.5,184897,197938,28894.5,46987.5,cudaLaunchKernel,elementwise_binary|rng_init,2
react_tool_L,plan,mir_operator:RMSNormOp,6,RMSNormOp,ve,8,4392584.0,4297389,4644389,4126014.5,2269772.0,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,224
react_tool_L,plan,inter_operator_dispatch,,,,56,9027.5,4981,23067,0.0,0.0,,,0
react_tool_L,plan,mir_operator:AddOp,7,AddOp,ve,8,561429.0,527238,578176,323074.0,167821.5,cudaLaunchKernel,elementwise_binary,32
react_tool_L,plan,mir_operator:RMSNormOp,8,RMSNormOp,ve,8,4239160.5,4218289,4498962,4017269.5,2169197.5,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,224
react_tool_L,plan,mir_operator:LinearOp,10,LinearOp,me,8,11460603.5,11232470,11613572,11318901.5,10890105.5,cudaEventSynchronize,gemm,32
react_tool_L,plan,mir_operator:LinearOp,11,LinearOp,me,8,11279510.0,11141953,11556012,11152969.5,10738593.0,cudaEventSynchronize,gemm,32
react_tool_L,plan,mir_operator:LinearOp,12,LinearOp,me,8,11568363.5,11209666,11736838,11473967.5,11020774.5,cudaEventSynchronize,gemm,32
react_tool_L,plan,mir_operator:ViewOp,13,ViewOp,de,8,154784.5,137690,189933,0.0,12864.5,cudaEventRecord,,0
react_tool_L,plan,mir_operator:TransposeOp,14,TransposeOp,de,8,4202558.0,4099368,4430599,4081585.0,3625280.0,cudaEventSynchronize,copy,32
react_tool_L,plan,pre_d2h_alloc,,,,8,20827.0,16548,26030,0.0,0.0,,,0
react_tool_L,plan,d2h_stage,,,,8,902310.5,857625,1118670,832851.0,856992.0,cudaEventSynchronize,memcpy,0
react_tool_L,plan,checksum_complete,,,,8,85471.0,75758,92717,0.0,2020.0,cudaEventDestroy,,0
react_tool_L,lookup,agent_tool_execute_cpu,,,,8,325819.0,310433,377153,0.0,0.0,,,0
react_tool_L,answer,adapter_dispatch,,,,8,1447566.5,1387847,1483513,0.0,0.0,,,0
react_tool_L,answer,token_preprocess_cpu,,,,8,252248.5,226318,283632,0.0,0.0,,,0
react_tool_L,answer,host_input_generate,,,,8,66401070.5,63862215,85877474,0.0,9391.0,cudaEventQuery,,0
react_tool_L,answer,h2d_stage,,,,8,958278.5,926269,990774,801540.0,845352.5,cudaEventSynchronize,memcpy,0
react_tool_L,answer,weight_init,,,,8,192416.0,183369,252449,28911.0,49305.5,cudaLaunchKernel,elementwise_binary|rng_init,2
react_tool_L,answer,mir_operator:RMSNormOp,6,RMSNormOp,ve,8,4413786.0,4307874,4932295,4150364.5,2217646.5,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,224
react_tool_L,answer,inter_operator_dispatch,,,,56,10314.5,4748,21117,0.0,0.0,,,0
react_tool_L,answer,mir_operator:AddOp,7,AddOp,ve,8,570460.5,547908,742503,324214.0,169488.0,cudaLaunchKernel,elementwise_binary,32
react_tool_L,answer,mir_operator:RMSNormOp,8,RMSNormOp,ve,8,4239965.0,4223918,4841657,4020196.5,2159121.5,cudaEventSynchronize,copy|elementwise_binary|elementwise_unary|reduce,224
react_tool_L,answer,mir_operator:LinearOp,10,LinearOp,me,8,11603750.5,11289721,11625110,11431776.5,10965350.5,cudaEventSynchronize,gemm,32
react_tool_L,answer,mir_operator:LinearOp,11,LinearOp,me,8,11235293.5,11177926,11564999,11094301.0,10663184.5,cudaEventSynchronize,gemm,32
react_tool_L,answer,mir_operator:LinearOp,12,LinearOp,me,8,11545017.0,11187317,11647550,11456417.0,11000830.0,cudaEventSynchronize,gemm,32
react_tool_L,answer,mir_operator:ViewOp,13,ViewOp,de,8,153209.0,142272,170450,0.0,12446.0,cudaEventRecord,,0
react_tool_L,answer,mir_operator:TransposeOp,14,TransposeOp,de,8,4187321.0,4122430,4525181,4061330.5,3618432.5,cudaEventSynchronize,copy,32
react_tool_L,answer,pre_d2h_alloc,,,,8,20659.0,18169,24239,0.0,0.0,,,0
react_tool_L,answer,d2h_stage,,,,8,907676.5,862920,953436,842722.5,864867.5,cudaEventSynchronize,memcpy,0
react_tool_L,answer,checksum_complete,,,,8,85259.5,81808,91903,0.0,2162.0,cudaEventDestroy,,0
react_tool_L,,dag_schedule_gap,,,,24,69304.0,11762,1017477,0.0,0.0,,,0
react_tool_L,,iteration_tail_sync,,,,8,56872.0,51882,64341,0.0,11646.0,cudaDeviceSynchronize,,0
