workload,process,instances,host_ns_total,host_share_pct,host_ns_per_instance,gpu_ns_total,gpu_share_pct,cuda_api_ns_total,cuda_api_share_of_host_pct,kernel_launches,gpu_over_host_pct
react_tool_L,host_input_generate,16,1075201359,56.13,67200084.9,0,0.0,151960,0.0,0,0.0
react_tool_L,mir_operator:LinearOp,48,549072341,28.66,11439007.1,543095280,70.32,521691567,95.0,1536,98.9
react_tool_L,mir_operator:RMSNormOp,32,140118330,7.31,4378697.8,131056550,16.97,70661912,50.4,7168,93.5
react_tool_L,mir_operator:TransposeOp,16,68069529,3.55,4254345.6,66048895,8.55,58515120,86.0,512,97.0
react_tool_L,adapter_dispatch,16,19059661,0.99,1191228.8,0,0.0,0,0.0,0,0.0
react_tool_L,h2d_stage,16,15375750,0.8,960984.4,12878332,1.67,13568649,88.2,0,83.8
react_tool_L,d2h_stage,16,14643739,0.76,915233.7,13583876,1.76,13921885,95.1,0,92.8
react_tool_L,mir_operator:AddOp,16,9188195,0.48,574262.2,5180606,0.67,2741390,29.8,512,56.4
react_tool_L,dag_schedule_gap,24,8483405,0.44,353475.2,0,0.0,43378,0.5,0,0.0
react_tool_L,token_preprocess_cpu,16,4827834,0.25,301739.6,0,0.0,0,0.0,0,0.0
react_tool_L,weight_init,16,3145783,0.16,196611.4,462127,0.06,783322,24.9,32,14.7
react_tool_L,agent_tool_execute_cpu,8,2680322,0.14,335040.2,0,0.0,0,0.0,0,0.0
react_tool_L,mir_operator:ViewOp,16,2502904,0.13,156431.5,0,0.0,248321,9.9,0,0.0
react_tool_L,checksum_complete,16,1363692,0.07,85230.8,0,0.0,33503,2.5,0,0.0
react_tool_L,inter_operator_dispatch,112,1206230,0.06,10769.9,0,0.0,0,0.0,0,0.0
react_tool_L,iteration_tail_sync,8,454006,0.02,56750.8,0,0.0,93398,20.6,0,0.0
react_tool_L,pre_d2h_alloc,16,332012,0.02,20750.8,0,0.0,0,0.0,0,0.0
