workload,phase,iteration,call_id,call_kind,process,op_index,op_type,engine,basis,start,end,host_ns,gpu_work_ns,gpu_busy_union_ns,kernel_launches,memcpy_memset,cuda_api_ns,cuda_api_calls,cuda_api_top,host_minus_api_ns,kernel_families
react_tool_L_it1,measured,0,,dag,dag_schedule_gap,,,,gap_between_markers,3366601133,3366616710,15577,0,0,0,0,0,0,,15577,
react_tool_L_it1,measured,0,plan,llm,adapter_dispatch,,,,gap_between_markers,3366616710,3367750148,1133438,0,0,0,0,0,0,,1133438,
react_tool_L_it1,measured,0,plan,llm,token_preprocess_cpu,,,,host_event,3367750148,3368091690,341542,0,0,0,0,0,0,,341542,
react_tool_L_it1,measured,0,plan,llm,host_input_generate,,,,gap_between_markers,3368091690,3451056990,82965300,0,0,0,0,9924,2,cudaEventQuery,82955376,
react_tool_L_it1,measured,0,plan,llm,h2d_stage,,,,host_event,3451056990,3452035291,978301,821000,821000,0,1,856734,6,cudaEventSynchronize,121567,memcpy
react_tool_L_it1,measured,0,plan,llm,weight_init,,,,gap_between_markers,3452035291,3452246995,211704,31807,31807,2,0,50169,7,cudaLaunchKernel,161535,elementwise_binary|rng_init
react_tool_L_it1,measured,0,plan,llm,mir_operator:RMSNormOp,6,RMSNormOp,ve,nvtx_range,3452246995,3452573723,326728,143517,143517,7,0,74933,14,cudaLaunchKernel,251795,copy|elementwise_binary|elementwise_unary|reduce
react_tool_L_it1,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3452573723,3452587145,13422,0,0,0,0,0,0,,13422,
react_tool_L_it1,measured,0,plan,llm,mir_operator:AddOp,7,AddOp,ve,nvtx_range,3452587145,3452710360,123215,11391,11391,1,0,43199,8,cudaEventRecord,80016,elementwise_binary
react_tool_L_it1,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3452710360,3452718404,8044,0,0,0,0,0,0,,8044,
react_tool_L_it1,measured,0,plan,llm,mir_operator:RMSNormOp,8,RMSNormOp,ve,nvtx_range,3452718404,3452939959,221555,126653,126653,7,0,60501,14,cudaLaunchKernel,161054,copy|elementwise_binary|elementwise_unary|reduce
react_tool_L_it1,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3452939959,3452948050,8091,0,0,0,0,0,0,,8091,
react_tool_L_it1,measured,0,plan,llm,mir_operator:LinearOp,10,LinearOp,me,nvtx_range,3452948050,3453463528,515478,371893,371893,1,0,374347,8,cudaEventSynchronize,141131,gemm
react_tool_L_it1,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3453463528,3453470642,7114,0,0,0,0,0,0,,7114,
react_tool_L_it1,measured,0,plan,llm,mir_operator:LinearOp,11,LinearOp,me,nvtx_range,3453470642,3453917814,447172,370230,370230,1,0,367174,8,cudaEventSynchronize,79998,gemm
react_tool_L_it1,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3453917814,3453924878,7064,0,0,0,0,0,0,,7064,
react_tool_L_it1,measured,0,plan,llm,mir_operator:LinearOp,12,LinearOp,me,nvtx_range,3453924878,3454364054,439176,370261,370261,1,0,366835,8,cudaEventSynchronize,72341,gemm
react_tool_L_it1,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3454364054,3454371752,7698,0,0,0,0,0,0,,7698,
react_tool_L_it1,measured,0,plan,llm,mir_operator:ViewOp,13,ViewOp,de,nvtx_range,3454371752,3454454972,83220,0,0,0,0,12063,7,cudaEventRecord,71157,
react_tool_L_it1,measured,0,plan,llm,inter_operator_dispatch,,,,gap_between_markers,3454454972,3454461423,6451,0,0,0,0,0,0,,6451,
react_tool_L_it1,measured,0,plan,llm,mir_operator:TransposeOp,14,TransposeOp,de,nvtx_range,3454461423,3454694981,233558,132957,132957,1,0,127899,8,cudaEventSynchronize,105659,copy
react_tool_L_it1,measured,0,plan,llm,pre_d2h_alloc,,,,gap_between_markers,3454694981,3454711225,16244,0,0,0,0,0,0,,16244,
