workload,call_id,process,op_index,op_type,engine,instances,host_ns_median,host_ns_min,host_ns_max,gpu_ns_median,cuda_api_ns_median,cuda_api_top,kernel_families,kernels_per_instance
react_tool_L_it1,plan,adapter_dispatch,,,,8,1134374.5,1052285,1167355,0.0,0.0,,,0
react_tool_L_it1,plan,token_preprocess_cpu,,,,8,424173.5,341542,436398,0.0,0.0,,,0
react_tool_L_it1,plan,host_input_generate,,,,8,82907237.5,82542080,83365455,0.0,9892.5,cudaEventQuery,,0
react_tool_L_it1,plan,h2d_stage,,,,8,993052.0,934601,1079971,824200.0,861417.0,cudaEventSynchronize,memcpy,0
react_tool_L_it1,plan,weight_init,,,,8,227652.0,176549,251187,31695.0,53108.5,cudaLaunchKernel,elementwise_binary|rng_init,2
react_tool_L_it1,plan,mir_operator:RMSNormOp,6,RMSNormOp,ve,8,326308.0,298101,1948640,143484.0,74642.0,cudaLaunchKernel,copy|elementwise_binary|elementwise_unary|reduce,7
react_tool_L_it1,plan,inter_operator_dispatch,,,,56,7648.0,5685,16487,0.0,0.0,,,0
react_tool_L_it1,plan,mir_operator:AddOp,7,AddOp,ve,8,105046.5,102417,134470,11423.5,25234.0,cudaEventRecord,elementwise_binary,1
react_tool_L_it1,plan,mir_operator:RMSNormOp,8,RMSNormOp,ve,8,222333.5,211355,265876,127244.0,60618.0,cudaLaunchKernel,copy|elementwise_binary|elementwise_unary|reduce,7
react_tool_L_it1,plan,mir_operator:LinearOp,10,LinearOp,me,8,511206.0,496583,517976,371173.5,369082.0,cudaEventSynchronize,gemm,1
react_tool_L_it1,plan,mir_operator:LinearOp,11,LinearOp,me,8,448220.0,446519,473921,370358.0,368679.5,cudaEventSynchronize,gemm,1
react_tool_L_it1,plan,mir_operator:LinearOp,12,LinearOp,me,8,442966.0,439176,445890,370405.5,367926.5,cudaEventSynchronize,gemm,1
react_tool_L_it1,plan,mir_operator:ViewOp,13,ViewOp,de,8,76796.5,74444,103411,0.0,12433.0,cudaEventRecord,,0
react_tool_L_it1,plan,mir_operator:TransposeOp,14,TransposeOp,de,8,240214.0,227481,257131,133004.5,127915.5,cudaEventSynchronize,copy,1
react_tool_L_it1,plan,pre_d2h_alloc,,,,8,17051.5,14671,18714,0.0,0.0,,,0
react_tool_L_it1,plan,d2h_stage,,,,8,877562.5,866176,893495,826184.5,830411.0,cudaEventSynchronize,memcpy,0
react_tool_L_it1,plan,checksum_complete,,,,8,92132.0,76833,103290,0.0,2049.0,cudaEventDestroy,,0
react_tool_L_it1,lookup,agent_tool_execute_cpu,,,,8,406627.0,364076,461238,0.0,0.0,,,0
react_tool_L_it1,answer,adapter_dispatch,,,,8,1795671.0,1764784,1907511,0.0,0.0,,,0
react_tool_L_it1,answer,token_preprocess_cpu,,,,8,247582.5,199893,284959,0.0,0.0,,,0
react_tool_L_it1,answer,host_input_generate,,,,8,83383260.0,83046094,83964018,0.0,10034.0,cudaEventQuery,,0
react_tool_L_it1,answer,h2d_stage,,,,8,1012048.5,944925,1148022,817496.5,858150.0,cudaEventSynchronize,memcpy,0
react_tool_L_it1,answer,weight_init,,,,8,230672.0,191064,258757,31711.0,54116.0,cudaLaunchKernel,elementwise_binary|rng_init,2
react_tool_L_it1,answer,mir_operator:RMSNormOp,6,RMSNormOp,ve,8,328266.5,299891,352560,142508.5,77861.0,cudaLaunchKernel,copy|elementwise_binary|elementwise_unary|reduce,7
react_tool_L_it1,answer,inter_operator_dispatch,,,,56,7882.5,5489,18649,0.0,0.0,,,0
react_tool_L_it1,answer,mir_operator:AddOp,7,AddOp,ve,8,105549.0,101422,169719,11455.0,24773.0,cudaLaunchKernel,elementwise_binary,1
react_tool_L_it1,answer,mir_operator:RMSNormOp,8,RMSNormOp,ve,8,218606.0,208452,254161,126700.0,60447.0,cudaLaunchKernel,copy|elementwise_binary|elementwise_unary|reduce,7
react_tool_L_it1,answer,mir_operator:LinearOp,10,LinearOp,me,8,511992.0,494681,526363,371509.5,369436.5,cudaEventSynchronize,gemm,1
react_tool_L_it1,answer,mir_operator:LinearOp,11,LinearOp,me,8,449508.0,445254,516064,370885.5,369097.5,cudaEventSynchronize,gemm,1
react_tool_L_it1,answer,mir_operator:LinearOp,12,LinearOp,me,8,442646.5,438582,481990,370374.0,367436.5,cudaEventSynchronize,gemm,1
react_tool_L_it1,answer,mir_operator:ViewOp,13,ViewOp,de,8,78449.5,75366,87292,0.0,12890.0,cudaEventRecord,,0
react_tool_L_it1,answer,mir_operator:TransposeOp,14,TransposeOp,de,8,235784.0,227465,257939,133020.5,128323.5,cudaEventSynchronize,copy,1
react_tool_L_it1,answer,pre_d2h_alloc,,,,8,16801.0,15321,20254,0.0,0.0,,,0
react_tool_L_it1,answer,d2h_stage,,,,8,885402.5,865274,1041154,831656.0,835266.0,cudaEventSynchronize,memcpy,0
react_tool_L_it1,answer,checksum_complete,,,,8,91368.0,80230,101287,0.0,2057.5,cudaEventDestroy,,0
react_tool_L_it1,,dag_schedule_gap,,,,24,76760.0,14692,1242118,0.0,0.0,,,0
react_tool_L_it1,,iteration_tail_sync,,,,8,64821.0,62927,68125,0.0,13418.0,cudaDeviceSynchronize,,0
