workload,iteration,launch_order,call_id,process,op_index,kind,family,name,api_name,api_start_rel_us,gpu_start_rel_us,gpu_ns,launch_latency_ns,grid,block,stream
react_tool_L_it1,1,1,plan,h2d_stage,,memcpy,memcpy,memcpy_Host-to-Device,cudaMemcpyAsync_v3020,266102.8,266128.3,810953,25473,0x0x0,0x0x0,7
react_tool_L_it1,1,2,plan,weight_init,,kernel,rng_init,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda:",cudaLaunchKernel_v7000,267073.3,267171.1,20544,97802,768x1x1,256x1x1,7
react_tool_L_it1,1,3,plan,weight_init,,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor<c10::Half, c10::Half, c10::Half, at::na",cudaLaunchKernel_v7000,267159.4,267192.3,11360,32890,9216x1x1,128x1x1,7
react_tool_L_it1,1,4,plan,mir_operator:RMSNormOp,6,kernel,copy,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (i,cudaLaunchKernel_v7000,267292.4,267303.3,53918,10865,9216x1x1,128x1x1,7
react_tool_L_it1,1,5,plan,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, ",cudaLaunchKernel_v7000,267325.9,267357.8,36959,31978,9216x1x1,128x1x1,7
react_tool_L_it1,1,6,plan,mir_operator:RMSNormOp,6,kernel,reduce,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, fl",cudaLaunchKernel_v7000,267359.4,267395.6,11584,36128,192x1x1,32x16x1,7
react_tool_L_it1,1,7,plan,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (uns",cudaLaunchKernel_v7000,267390.1,267407.8,1728,17713,3x1x1,128x1x1,7
react_tool_L_it1,1,8,plan,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda(",cudaLaunchKernel_v7000,267414.3,267421.1,1120,6811,3x1x1,128x1x1,7
react_tool_L_it1,1,9,plan,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<",cudaLaunchKernel_v7000,267440.8,267448.1,24639,7338,36864x1x1,128x1x1,7
react_tool_L_it1,1,10,plan,mir_operator:RMSNormOp,6,kernel,copy,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[",cudaLaunchKernel_v7000,267466.9,267474.8,13503,7896,9216x1x1,128x1x1,7
react_tool_L_it1,1,11,plan,mir_operator:AddOp,7,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::CUDAFunctorOnSelf_add<c10::Half>, std::array<char *, ",cudaLaunchKernel_v7000,267598.7,267607.9,11424,9125,9216x1x1,128x1x1,7
react_tool_L_it1,1,12,plan,mir_operator:RMSNormOp,8,kernel,copy,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (i,cudaLaunchKernel_v7000,267705.3,267714.4,36127,9115,9216x1x1,128x1x1,7
react_tool_L_it1,1,13,plan,mir_operator:RMSNormOp,8,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, ",cudaLaunchKernel_v7000,267727.3,267751.2,37823,23953,9216x1x1,128x1x1,7
react_tool_L_it1,1,14,plan,mir_operator:RMSNormOp,8,kernel,reduce,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, fl",cudaLaunchKernel_v7000,267748.1,267789.7,11295,41667,192x1x1,32x16x1,7
react_tool_L_it1,1,15,plan,mir_operator:RMSNormOp,8,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (uns",cudaLaunchKernel_v7000,267764.6,267801.8,1824,37229,3x1x1,128x1x1,7
react_tool_L_it1,1,16,plan,mir_operator:RMSNormOp,8,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda(",cudaLaunchKernel_v7000,267780.6,267804.3,1088,23667,3x1x1,128x1x1,7
react_tool_L_it1,1,17,plan,mir_operator:RMSNormOp,8,kernel,elementwise_binary,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<",cudaLaunchKernel_v7000,267798.6,267806.0,25152,7368,36864x1x1,128x1x1,7
react_tool_L_it1,1,18,plan,mir_operator:RMSNormOp,8,kernel,copy,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[",cudaLaunchKernel_v7000,267817.9,267831.9,13151,14010,9216x1x1,128x1x1,7
react_tool_L_it1,1,19,plan,mir_operator:LinearOp,10,kernel,gemm,ampere_fp16_s1688gemm_fp16_64x128_sliced1x2_ldg8_f2f_nn,cudaLaunchKernel_v7000,268000.9,268012.2,371798,11314,48x24x1,128x1x1,7
react_tool_L_it1,1,20,plan,mir_operator:LinearOp,11,kernel,gemm,ampere_fp16_s1688gemm_fp16_64x128_sliced1x2_ldg8_f2f_nn,cudaLaunchKernel_v7000,268494.4,268504.2,370486,9827,48x24x1,128x1x1,7
react_tool_L_it1,1,21,plan,mir_operator:LinearOp,12,kernel,gemm,ampere_fp16_s1688gemm_fp16_64x128_sliced1x2_ldg8_f2f_nn,cudaLaunchKernel_v7000,268951.0,268959.5,369366,8532,48x24x1,128x1x1,7
react_tool_L_it1,1,22,plan,mir_operator:TransposeOp,14,kernel,copy,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_ke",cudaLaunchKernel_v7000,269518.6,269530.0,132700,11443,18432x1x1,128x1x1,7
react_tool_L_it1,1,23,plan,d2h_stage,,memcpy,memcpy,memcpy_Device-to-Host,cudaMemcpyAsync_v3020,269733.6,269746.1,823912,12463,0x0x0,0x0x0,7
react_tool_L_it1,1,24,answer,h2d_stage,,memcpy,memcpy,memcpy_Host-to-Device,cudaMemcpyAsync_v3020,357875.3,357902.0,819625,26710,0x0x0,0x0x0,7
react_tool_L_it1,1,25,answer,weight_init,,kernel,rng_init,"void at::native::<unnamed>::distribution_elementwise_grid_stride_kernel<float, (int)4, void at::native::templates::cuda:",cudaLaunchKernel_v7000,358832.5,358936.8,20543,104303,768x1x1,256x1x1,7
react_tool_L_it1,1,26,answer,weight_init,,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::BUnaryFunctor<c10::Half, c10::Half, c10::Half, at::na",cudaLaunchKernel_v7000,358920.2,358958.1,11072,37841,9216x1x1,128x1x1,7
react_tool_L_it1,1,27,answer,mir_operator:RMSNormOp,6,kernel,copy,void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (i,cudaLaunchKernel_v7000,359045.3,359056.7,52159,11455,9216x1x1,128x1x1,7
react_tool_L_it1,1,28,answer,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, ",cudaLaunchKernel_v7000,359079.5,359109.6,36607,30152,9216x1x1,128x1x1,7
react_tool_L_it1,1,29,answer,mir_operator:RMSNormOp,6,kernel,reduce,"void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, fl",cudaLaunchKernel_v7000,359113.2,359146.9,11615,33679,192x1x1,32x16x1,7
react_tool_L_it1,1,30,answer,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char *, (uns",cudaLaunchKernel_v7000,359142.1,359159.3,1568,17223,3x1x1,128x1x1,7
react_tool_L_it1,1,31,answer,mir_operator:RMSNormOp,6,kernel,elementwise_unary,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase &)::[lambda(",cudaLaunchKernel_v7000,359164.3,359172.0,1120,7631,3x1x1,128x1x1,7
react_tool_L_it1,1,32,answer,mir_operator:RMSNormOp,6,kernel,elementwise_binary,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<",cudaLaunchKernel_v7000,359191.2,359198.3,24799,7130,36864x1x1,128x1x1,7
react_tool_L_it1,1,33,answer,mir_operator:RMSNormOp,6,kernel,copy,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase &)::[",cudaLaunchKernel_v7000,359216.9,359224.7,13536,7744,9216x1x1,128x1x1,7
