workload,process,instances,host_ns_total,host_share_pct,host_ns_per_instance,gpu_ns_total,gpu_share_pct,cuda_api_ns_total,cuda_api_share_of_host_pct,kernel_launches,gpu_over_host_pct
react_tool_L_it1,host_input_generate,16,1330547053,91.76,83159190.8,0,0.0,163466,0.0,0,0.0
react_tool_L_it1,adapter_dispatch,16,23458181,1.62,1466136.3,0,0.0,0,0.0,0,0.0
react_tool_L_it1,mir_operator:LinearOp,48,22596974,1.56,470770.3,17852486,34.41,17745988,78.5,48,79.0
react_tool_L_it1,h2d_stage,16,16156961,1.11,1009810.1,13387165,25.8,14024889,86.8,0,82.9
react_tool_L_it1,d2h_stage,16,14254525,0.98,890907.8,13408031,25.85,13466718,94.5,0,94.1
react_tool_L_it1,mir_operator:RMSNormOp,32,10441915,0.72,326309.8,4391525,8.47,2223433,21.3,224,42.1
react_tool_L_it1,dag_schedule_gap,24,10249173,0.71,427048.9,0,0.0,40739,0.4,0,0.0
react_tool_L_it1,token_preprocess_cpu,16,5244751,0.36,327796.9,0,0.0,0,0.0,0,0.0
react_tool_L_it1,mir_operator:TransposeOp,16,3850156,0.27,240634.8,2148546,4.14,1973481,51.3,16,55.8
react_tool_L_it1,weight_init,16,3638184,0.25,227386.5,507538,0.98,842489,23.2,32,14.0
react_tool_L_it1,agent_tool_execute_cpu,8,3283183,0.23,410397.9,0,0.0,0,0.0,0,0.0
react_tool_L_it1,mir_operator:AddOp,16,1813580,0.13,113348.8,182971,0.35,444215,24.5,16,10.1
react_tool_L_it1,checksum_complete,16,1457015,0.1,91063.4,0,0.0,33271,2.3,0,0.0
react_tool_L_it1,mir_operator:ViewOp,16,1288784,0.09,80549.0,0,0.0,230120,17.9,0,0.0
react_tool_L_it1,inter_operator_dispatch,112,955082,0.07,8527.5,0,0.0,0,0.0,0,0.0
react_tool_L_it1,iteration_tail_sync,8,521528,0.04,65191.0,0,0.0,108905,20.9,0,0.0
react_tool_L_it1,pre_d2h_alloc,16,273651,0.02,17103.2,0,0.0,0,0.0,0,0.0
